0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1TroyT GlausGlaus3B1‌‌‌,2000,ANA,159,563,120,160,37,1,47,102,112,163,14,11,.284,.404,.604,1.008
2ShoheiS OhtaniOhtaniDH2‌‌‌,2021,LAA,158,537,103,138,26,8,46,100,96,189,26,10,.257,.372,.592,.964
3MikeM TroutTroutCF3‌‌‌,2019,LAA,134,470,110,137,27,2,45,104,110,120,11,2,.291,.438,.645,1.083
4ShoheiS OhtaniOhtaniDH4‌‌‌,2023,LAA,135,497,102,151,26,8,44,95,91,143,20,6,.304,.412,.654,1.066
5MikeM TroutTroutCF5‌‌‌,2015,LAA,159,575,104,172,32,6,41,90,92,158,11,7,.299,.402,.590,.992
5TroyT GlausGlaus3B5‌‌‌,2001,ANA,161,588,100,147,38,2,41,108,107,158,10,3,.250,.367,.531,.898
7AlbertA PujolsPujols1B7‌‌‌,2015,LAA,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787
7MikeM TroutTroutCF7‌‌‌,2022,LAA,119,438,85,124,28,2,40,80,54,139,1,0,.283,.369,.630,.999
9ReggieR JacksonJacksonRF9‌‌‌,1982,CAL,153,530,92,146,17,1,39,101,85,156,4,5,.275,.375,.532,.907
9VladimirV GuerreroGuerreroRF9‌‌‌,2004,ANA,156,612,124,206,39,2,39,126,52,74,15,3,.337,.391,.598,.989
9MikeM TroutTroutCF9‌‌‌,2018,LAA,140,471,101,147,24,4,39,79,122,124,24,2,.312,.460,.628,1.088
12BobbyB BondsBondsRF12‌‌‌,1977,CAL,158,592,103,156,23,9,37,115,74,141,41,18,.264,.342,.520,.862
12LeonL WagnerWagnerLF12‌‌‌,1962,LAA,160,612,96,164,21,5,37,107,50,87,7,5,.268,.326,.500,.826
14MikeM TroutTroutCF14‌‌‌,2014,LAA,157,602,115,173,39,9,36,111,83,184,16,2,.287,.377,.561,.938
14MoM VaughnVaughn1B14‌‌‌,2000,ANA,161,614,93,167,31,0,36,117,79,181,2,0,.272,.365,.498,.863
14DonD BaylorBaylorLF14‌‌‌,1979,CAL,162,628,120,186,33,3,36,139,71,51,22,12,.296,.371,.530,.901
17GarretG AndersonAndersonCF17‌‌‌,2000,ANA,159,647,92,185,40,3,35,117,24,87,7,6,.286,.307,.519,.826
18TimT SalmonSalmonRF18‌‌‌,2000,ANA,158,568,108,165,36,2,34,97,104,139,0,2,.290,.404,.540,.944
18MarkM TrumboTrumbo1B18‌‌‌,2013,LAA,159,620,85,145,30,2,34,100,54,184,5,2,.234,.294,.453,.747
18KendrysK MoralesMorales1B18‌‌‌,2009,LAA,152,566,86,173,43,2,34,108,46,117,3,7,.306,.355,.569,.924
18WallyW JoynerJoyner1B18‌‌‌,1987,CAL,149,564,100,161,33,1,34,117,72,64,8,2,.285,.366,.528,.894
18DonD BaylorBaylorDH18‌‌‌,1978,CAL,158,591,103,151,26,0,34,99,56,71,22,9,.255,.332,.472,.804
18ShoheiS OhtaniOhtaniDH18‌‌‌,2022,LAA,157,586,90,160,30,6,34,95,72,161,11,9,.273,.356,.519,.875
18TimT SalmonSalmonRF18‌‌‌,1995,CAL,143,537,111,177,34,3,34,105,91,111,5,5,.330,.429,.594,1.023
25VladimirV GuerreroGuerreroRF25‌‌‌,2006,LAA,156,607,92,200,34,1,33,116,50,68,15,5,.329,.382,.552,.934
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
25JimJ EdmondsEdmondsCF25‌‌‌,1995,CAL,141,558,120,162,30,4,33,107,51,130,1,4,.290,.352,.536,.888
25MoM VaughnVaughn1B25‌‌‌,1999,ANA,139,524,63,147,20,0,33,108,54,127,0,0,.281,.358,.508,.866
25TimT SalmonSalmonRF25‌‌‌,1997,ANA,157,582,95,172,28,1,33,129,95,142,9,12,.296,.394,.517,.911
25MikeM TroutTroutCF25‌‌‌,2017,LAA,114,402,92,123,25,3,33,72,94,90,22,4,.306,.442,.629,1.071
25KoleK CalhounCalhounRF25‌‌‌,2019,LAA,152,552,92,128,29,1,33,74,70,162,4,1,.232,.325,.467,.792
31MarkM TrumboTrumboLF31‌‌‌,2012,LAA,144,544,66,146,19,3,32,95,36,153,4,5,.268,.317,.491,.808
31VladimirV GuerreroGuerreroRF31‌‌‌,2005,LAA,141,520,95,165,29,2,32,108,61,48,13,1,.317,.394,.565,.959
33AlbertA PujolsPujolsDH33‌‌‌,2016,LAA,152,593,71,159,19,0,31,119,49,75,4,0,.268,.323,.457,.780
33TimT SalmonSalmonRF33‌‌‌,1993,CAL,142,515,93,146,35,1,31,95,82,135,5,6,.283,.382,.536,.918
35TimT SalmonSalmonRF35‌‌‌,1996,CAL,156,581,90,166,27,4,30,98,93,125,4,2,.286,.386,.501,.887
35DougD DeCincesDeCinces3B35‌‌‌,1982,CAL,153,575,94,173,42,5,30,97,66,80,7,5,.301,.369,.548,.917
35MikeM TroutTroutCF35‌‌‌,2012,LAA,139,559,129,182,27,8,30,83,67,139,49,5,.326,.399,.564,.963
35TroyT GlausGlaus3B35‌‌‌,2002,ANA,156,569,99,142,24,1,30,111,88,144,10,3,.250,.352,.453,.805
35BobbyB GrichGrich2B35‌‌‌,1979,CAL,153,534,78,157,30,5,30,101,59,84,1,0,.294,.365,.537,.902
35JustinJ UptonUptonLF35‌‌‌,2018,LAA,145,533,80,137,18,1,30,85,64,176,8,2,.257,.344,.463,.807
35FrankF RobinsonRobinsonDH35‌‌‌,1973,CAL,147,534,85,142,29,0,30,97,82,93,1,1,.266,.372,.489,.861
35AlbertA PujolsPujols1B35‌‌‌,2012,LAA,154,607,85,173,50,0,30,105,52,76,8,1,.285,.343,.516,.859
43GarretG AndersonAndersonLF43‌‌‌,2003,ANA,159,638,80,201,49,4,29,116,31,83,6,3,.315,.345,.541,.886
43MarkM TrumboTrumbo1B43‌‌‌,2011,LAA,149,539,65,137,31,1,29,87,25,120,9,4,.254,.291,.477,.768
43TroyT GlausGlaus3B43‌‌‌,1999,ANA,154,551,85,132,29,0,29,79,71,143,5,1,.240,.331,.450,.781
43MikeM TroutTroutCF43‌‌‌,2016,LAA,159,549,123,173,32,5,29,100,116,137,30,7,.315,.441,.550,.991
43GarretG AndersonAndersonLF43‌‌‌,2002,ANA,158,638,93,195,56,3,29,123,30,80,6,4,.306,.332,.539,.871
43BrianB DowningDowningDH43‌‌‌,1987,CAL,155,567,110,154,29,3,29,77,106,85,5,5,.272,.400,.487,.887
43JaredJ WalshWalsh1B43‌‌‌,2021,LAA,144,530,70,147,34,1,29,98,48,152,2,1,.277,.340,.509,.849
50LeonL WagnerWagnerLF50‌‌‌,1961,LAA,133,453,74,127,19,2,28,79,48,65,5,1,.280,.348,.517,.865
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
50BrianB DowningDowningLF50‌‌‌,1982,CAL,158,623,109,175,37,2,28,84,86,58,2,1,.281,.368,.482,.850
50AlbertA PujolsPujols1B50‌‌‌,2014,LAA,159,633,89,172,37,1,28,105,48,71,5,1,.272,.324,.466,.790
50ChiliC DavisDavisDH50‌‌‌,1996,CAL,145,530,73,155,24,0,28,95,86,99,5,2,.292,.387,.496,.883
50GarretG AndersonAndersonLF50‌‌‌,2001,ANA,161,672,83,194,39,2,28,123,27,100,13,6,.289,.314,.478,.792
50DaveD WinfieldWinfieldRF50‌‌‌,1991,CAL,150,568,75,149,27,4,28,86,56,109,7,2,.262,.326,.472,.798
56VladimirV GuerreroGuerreroRF56‌‌‌,2008,LAA,143,541,85,164,31,3,27,91,51,77,5,3,.303,.365,.521,.886
56JimJ EdmondsEdmondsCF56‌‌‌,1996,CAL,114,431,73,131,28,3,27,66,46,101,4,0,.304,.375,.571,.946
56JoseJ GuillenGuillenLF56‌‌‌,2004,ANA,148,565,88,166,28,3,27,104,37,92,5,4,.294,.352,.497,.849
56ReggieR JacksonJacksonRF56‌‌‌,1985,CAL,143,460,64,116,27,0,27,85,78,138,1,2,.252,.360,.487,.847
56MikeM TroutTroutCF56‌‌‌,2013,LAA,157,589,109,190,39,9,27,97,110,136,33,7,.323,.432,.557,.989
56ChiliC DavisDavisDH56‌‌‌,1993,CAL,153,573,74,139,32,0,27,112,71,135,4,1,.243,.327,.440,.767
56VladimirV GuerreroGuerreroRF56‌‌‌,2007,LAA,150,574,89,186,45,1,27,125,71,62,2,3,.324,.403,.547,.950
56TonyT PhillipsPhillips3B56‌‌‌,1995,CAL,139,525,119,137,21,1,27,61,113,135,13,10,.261,.394,.459,.853
64DougD DeCincesDeCinces3B64‌‌‌,1986,CAL,140,512,69,131,20,3,26,96,52,74,2,2,.256,.325,.459,.784
64LeonL WagnerWagnerLF64‌‌‌,1963,LAA,149,550,73,160,11,1,26,90,49,73,5,7,.291,.352,.456,.808
64MikeM NapoliNapoli1B64‌‌‌,2010,LAA,140,453,60,108,24,1,26,68,42,137,4,2,.238,.316,.468,.784
64TimT SalmonSalmonDH64‌‌‌,1998,ANA,136,463,84,139,28,1,26,88,90,100,0,1,.300,.410,.533,.943
64KoleK CalhounCalhounRF64‌‌‌,2015,LAA,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.730
64JimJ EdmondsEdmondsCF64‌‌‌,1997,ANA,133,502,82,146,27,0,26,80,60,80,5,7,.291,.368,.500,.868
64LeeL ThomasThomas1B64‌‌‌,1962,LAA,160,583,88,169,21,2,26,104,55,74,6,1,.290,.355,.467,.822
64BrandonB DruryDrury2B64‌‌‌,2023,LAA,125,485,61,127,30,3,26,83,25,136,0,2,.262,.306,.497,.803
64ChiliC DavisDavisDH64‌‌‌,1994,CAL,108,392,72,122,18,1,26,84,69,84,3,2,.311,.410,.561,.971
73DarinD ErstadErstadLF73‌‌‌,2000,ANA,157,676,121,240,39,6,25,100,64,82,28,8,.355,.409,.541,.950
73DonD MincherMincher1B73‌‌‌,1967,CAL,147,487,81,133,23,3,25,76,69,69,0,3,.273,.367,.487,.854
73KenK HuntHuntCF73‌‌‌,1961,LAA,149,479,70,122,29,3,25,84,49,120,8,2,.255,.325,.484,.809
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
73JuanJ RiveraRiveraLF73‌‌‌,2009,LAA,138,529,72,152,24,1,25,88,36,57,0,1,.287,.332,.478,.810
73VernonV WellsWellsLF73‌‌‌,2011,LAA,131,505,60,110,15,4,25,66,20,86,9,4,.218,.248,.412,.660
73ReggieR JacksonJacksonDH73‌‌‌,1984,CAL,143,525,67,117,17,2,25,81,55,141,8,4,.223,.300,.406,.706
73DonD BaylorBaylorDH73‌‌‌,1977,CAL,154,561,87,141,27,0,25,75,62,76,26,12,.251,.334,.433,.767
73BrianB DowningDowningDH73‌‌‌,1988,CAL,135,484,80,117,18,2,25,64,81,63,3,4,.242,.362,.442,.804
73JimJ EdmondsEdmondsCF73‌‌‌,1998,ANA,154,599,115,184,42,1,25,91,57,114,7,5,.307,.368,.506,.874
82DonD BaylorBaylorDH82‌‌‌,1982,CAL,157,608,80,160,24,1,24,93,57,69,10,4,.263,.329,.424,.753
82LeeL ThomasThomasRF82‌‌‌,1961,LAA,130,450,77,128,11,5,24,70,47,74,0,5,.284,.353,.491,.844
