0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1JeffJ BagwellBagwell1B1‌‌‌,2000,HOU,159,590,152,183,37,1,47,132,107,116,9,6,.310,.424,.615,1.039
2LanceL BerkmanBerkman1B2‌‌‌,2006,HOU,152,536,95,169,29,0,45,136,98,106,3,2,.315,.420,.621,1.041
3RichardR HidalgoHidalgoCF3‌‌‌,2000,HOU,153,558,118,175,42,3,44,122,56,110,13,6,.314,.391,.636,1.027
4JeffJ BagwellBagwell1B4‌‌‌,1997,HOU,162,566,109,162,40,2,43,135,127,122,31,10,.286,.425,.592,1.017
5JeffJ BagwellBagwell1B5‌‌‌,1999,HOU,162,562,143,171,35,0,42,126,149,127,30,11,.304,.454,.591,1.045
5LanceL BerkmanBerkmanCF5‌‌‌,2002,HOU,158,578,106,169,35,2,42,128,107,118,8,4,.292,.405,.578,.983
7AlexA BregmanBregman3B7‌‌‌,2019,HOU,156,554,122,164,37,2,41,112,119,83,5,1,.296,.423,.592,1.015
8JeffJ BagwellBagwell1B8‌‌‌,2003,HOU,160,605,109,168,28,2,39,100,88,119,11,4,.278,.373,.524,.897
8GeorgeG SpringerSpringerCF8‌‌‌,2019,HOU,122,479,96,140,20,3,39,96,67,113,6,2,.292,.383,.591,.974
8JeffJ BagwellBagwell1B8‌‌‌,1994,HOU,110,400,104,147,32,2,39,116,65,65,15,4,.368,.451,.750,1.201
8JeffJ BagwellBagwell1B8‌‌‌,2001,HOU,161,600,126,173,43,4,39,130,106,135,11,3,.288,.397,.568,.965
12MoisesM AlouAlouLF12‌‌‌,1998,HOU,159,584,104,182,34,5,38,124,84,87,11,3,.312,.399,.582,.981
13ChrisC CarterCarterDH13‌‌‌,2014,HOU,145,507,68,115,21,1,37,88,56,182,5,2,.227,.308,.491,.799
13JimmyJ WynnWynnCF13‌‌‌,1967,HOU,158,594,102,148,29,3,37,107,74,137,16,4,.249,.331,.495,.826
13YordanY AlvarezAlvarezDH13‌‌‌,2022,HOU,135,470,95,144,29,2,37,97,78,106,1,1,.306,.406,.613,1.019
16MorganM EnsbergEnsberg3B16‌‌‌,2005,HOU,150,526,86,149,30,3,36,101,85,119,6,7,.283,.388,.557,.945
17LanceL BerkmanBerkmanLF17‌‌‌,2001,HOU,156,577,110,191,55,5,34,126,92,121,7,9,.331,.430,.620,1.050
17GlennG DavisDavis1B17‌‌‌,1989,HOU,158,581,87,156,26,1,34,89,69,123,4,2,.269,.350,.492,.842
17GeorgeG SpringerSpringerCF17‌‌‌,2017,HOU,140,548,112,155,29,0,34,85,64,111,5,7,.283,.367,.522,.889
17LanceL BerkmanBerkman1B17‌‌‌,2007,HOU,153,561,95,156,24,2,34,102,94,125,7,3,.278,.386,.510,.896
17JeffJ BagwellBagwell1B17‌‌‌,1998,HOU,147,540,124,164,33,1,34,111,109,90,19,7,.304,.424,.557,.981
22JimmyJ WynnWynnCF22‌‌‌,1969,HOU,149,495,113,133,17,1,33,87,148,142,23,7,.269,.436,.507,.943
22YordanY AlvarezAlvarezDH22‌‌‌,2021,HOU,144,537,92,149,35,1,33,104,50,145,1,0,.277,.346,.531,.877
24EvanE GattisGattisDH24‌‌‌,2016,HOU,128,447,58,112,19,0,32,72,43,127,2,1,.251,.319,.508,.827
24CarlosC LeeLeeLF24‌‌‌,2007,HOU,162,627,93,190,43,1,32,119,53,63,10,5,.303,.354,.528,.882
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
26GlennG DavisDavis1B26‌‌‌,1986,HOU,158,574,91,152,32,3,31,101,64,72,3,1,.265,.344,.493,.837
26JeffJ BagwellBagwell1B26‌‌‌,1996,HOU,162,568,111,179,48,2,31,120,135,114,21,7,.315,.451,.570,1.021
26JoseJ AltuveAltuve2B26‌‌‌,2021,HOU,146,601,117,167,32,1,31,83,66,91,5,3,.278,.350,.489,.839
26YordanY AlvarezAlvarezDH26‌‌‌,2023,HOU,114,410,77,120,24,1,31,97,69,92,0,0,.293,.407,.583,.990
26YuliY GurrielGurriel1B26‌‌‌,2019,HOU,144,564,85,168,40,2,31,104,37,65,5,3,.298,.343,.541,.884
26AlexA BregmanBregman3B26‌‌‌,2018,HOU,157,594,105,170,51,1,31,103,96,85,10,4,.286,.394,.532,.926
26JeffJ BagwellBagwell1B26‌‌‌,2002,HOU,158,571,94,166,33,2,31,98,101,130,7,3,.291,.401,.518,.919
26JoseJ AltuveAltuve2B26‌‌‌,2019,HOU,124,500,89,149,27,3,31,74,41,82,6,5,.298,.353,.550,.903
