0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1JimmieJ FoxxFoxx1B1‌‌‌,1932,PHA,154,585,151,213,33,9,58,169,116,96,3,7,.364,.469,.749,1.218
2MarkM McGwireMcGwire1B2‌‌‌,1996,OAK,130,423,104,132,21,0,52,113,116,112,0,0,.312,.467,.730,1.197
3MarkM McGwireMcGwire1B3‌‌‌,1987,OAK,151,557,97,161,28,4,49,118,71,131,1,1,.289,.370,.618,.988
4JimmieJ FoxxFoxx1B4‌‌‌,1933,PHA,149,573,125,204,37,9,48,163,96,93,2,2,.356,.449,.703,1.152
4KhrisK DavisDavisDH4‌‌‌,2018,OAK,151,576,98,142,28,1,48,123,59,175,0,0,.247,.326,.549,.875
6ReggieR JacksonJacksonRF6‌‌‌,1969,OAK,152,549,123,151,36,3,47,118,114,142,13,5,.275,.410,.608,1.018
7JimmieJ FoxxFoxx1B7‌‌‌,1934,PHA,150,539,120,180,28,6,44,130,111,75,11,2,.334,.449,.653,1.102
7JoseJ CansecoCansecoRF7‌‌‌,1991,OAK,154,572,115,152,32,1,44,122,78,152,26,6,.266,.359,.556,.915
9KhrisK DavisDavisLF9‌‌‌,2017,OAK,153,566,91,140,28,1,43,110,73,195,4,0,.247,.336,.528,.864
9JasonJ GiambiGiambi1B9‌‌‌,2000,OAK,152,510,108,170,29,1,43,137,137,96,2,0,.333,.476,.647,1.123
11KhrisK DavisDavisLF11‌‌‌,2016,OAK,150,555,85,137,24,2,42,102,42,166,1,2,.247,.307,.524,.831
11JoseJ CansecoCansecoRF11‌‌‌,1988,OAK,158,610,120,187,34,0,42,124,78,128,40,16,.307,.391,.569,.960
11MarkM McGwireMcGwire1B11‌‌‌,1992,OAK,139,467,87,125,22,0,42,104,90,105,0,1,.268,.385,.585,.970
11GusG ZernialZernialLF11‌‌‌,1953,PHA,147,556,85,158,21,3,42,108,57,79,4,0,.284,.355,.559,.914
15MattM OlsonOlson1B15‌‌‌,2021,OAK,156,565,101,153,35,0,39,111,88,113,4,1,.271,.371,.540,.911
15MarkM McGwireMcGwire1B15‌‌‌,1995,OAK,104,317,75,87,13,0,39,90,88,77,1,1,.274,.441,.685,1.126
15MarkM McGwireMcGwire1B15‌‌‌,1990,OAK,156,523,87,123,16,0,39,108,110,116,2,1,.235,.370,.489,.859
15FrankF ThomasThomasDH15‌‌‌,2006,OAK,137,466,77,126,11,0,39,114,81,81,0,0,.270,.381,.545,.926
19BobB CervCervLF19‌‌‌,1958,KCA,141,515,93,157,20,7,38,104,50,82,3,3,.305,.371,.592,.963
19MattM StairsStairsRF19‌‌‌,1999,OAK,146,531,94,137,26,3,38,102,89,124,2,7,.258,.366,.533,.899
19JasonJ GiambiGiambi1B19‌‌‌,2001,OAK,154,520,109,178,47,2,38,120,129,83,2,0,.342,.477,.660,1.137
22TillyT WalkerWalkerLF22‌‌‌,1922,PHA,153,565,111,160,31,4,37,99,61,67,4,3,.283,.357,.549,.906
22JimmieJ FoxxFoxx1B22‌‌‌,1930,PHA,153,562,127,188,33,13,37,156,93,66,7,7,.335,.429,.637,1.066
22JoseJ CansecoCansecoRF22‌‌‌,1990,OAK,131,481,83,132,14,2,37,101,72,158,19,10,.274,.371,.543,.914
25AlA SimmonsSimmonsLF25‌‌‌,1930,PHA,138,554,152,211,41,16,36,165,39,34,9,2,.381,.423,.708,1.131
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
25JimmieJ FoxxFoxx1B25‌‌‌,1935,PHA,147,535,118,185,33,7,36,115,114,99,6,4,.346,.461,.636,1.097
25MattM ChapmanChapman3B25‌‌‌,2019,OAK,156,583,102,145,36,3,36,91,73,147,1,1,.249,.342,.506,.848
25ReggieR JacksonJacksonRF25‌‌‌,1975,OAK,157,593,91,150,39,3,36,104,67,133,17,8,.253,.329,.511,.840
25MattM OlsonOlson1B25‌‌‌,2019,OAK,127,483,73,129,26,0,36,91,51,138,0,0,.267,.351,.545,.896
25GeronimoG BerroaBerroaDH25‌‌‌,1996,OAK,153,586,101,170,32,1,36,106,47,122,0,3,.290,.344,.532,.876
31JohnJ JahaJahaDH31‌‌‌,1999,OAK,142,457,93,126,23,0,35,111,101,129,2,0,.276,.414,.556,.970
31AlA SimmonsSimmonsLF31‌‌‌,1932,PHA,154,670,144,216,28,9,35,151,47,76,4,2,.322,.368,.548,.916
31TerryT SteinbachSteinbachC31‌‌‌,1996,OAK,145,514,79,140,25,1,35,100,49,115,0,1,.272,.342,.529,.871
31TonyT ArmasArmasRF31‌‌‌,1980,OAK,158,628,87,175,18,8,35,109,29,128,5,3,.279,.310,.500,.810
31DaveD KingmanKingmanDH31‌‌‌,1986,OAK,144,561,70,118,19,0,35,94,33,126,3,3,.210,.255,.431,.686
31NickN SwisherSwisher1B31‌‌‌,2006,OAK,157,556,106,141,24,2,35,95,97,152,1,2,.254,.372,.493,.865
31DaveD KingmanKingmanDH31‌‌‌,1984,OAK,147,549,68,147,23,1,35,118,44,119,2,1,.268,.321,.505,.826
38MiguelM TejadaTejadaSS38‌‌‌,2002,OAK,162,662,108,204,30,0,34,131,38,84,7,2,.308,.354,.508,.862
38RockyR ColavitoColavitoRF38‌‌‌,1964,KCA,160,588,89,161,31,2,34,102,83,56,3,1,.274,.366,.507,.873
38MarkM McGwireMcGwire1B38‌‌‌,1997,OAK,105,366,48,104,24,0,34,81,58,98,1,0,.284,.383,.628,1.011
38AlA SimmonsSimmonsLF38‌‌‌,1929,PHA,143,581,114,212,41,9,34,157,31,38,4,2,.365,.398,.642,1.040
38EricE ChavezChavez3B38‌‌‌,2002,OAK,153,585,87,161,31,3,34,109,65,119,8,3,.275,.348,.513,.861
38BobB JohnsonJohnsonLF38‌‌‌,1934,PHA,141,547,111,168,26,6,34,92,58,60,12,8,.307,.375,.563,.938
44MarcusM SemienSemienSS44‌‌‌,2019,OAK,162,657,123,187,43,7,33,92,87,102,10,8,.285,.369,.522,.891
44JasonJ GiambiGiambi1B44‌‌‌,1999,OAK,158,575,115,181,36,1,33,123,105,106,1,1,.315,.422,.553,.975
44JoseJ CansecoCansecoLF44‌‌‌,1986,OAK,157,600,85,144,29,1,33,117,65,175,15,7,.240,.318,.457,.775
44JimmieJ FoxxFoxx1B44‌‌‌,1929,PHA,149,517,123,183,23,9,33,118,103,70,9,7,.354,.463,.625,1.088
44GusG ZernialZernialLF44‌‌‌,1951,PHA,139,552,90,151,30,5,33,125,61,99,2,2,.274,.350,.525,.875
44DwayneD MurphyMurphyCF44‌‌‌,1984,OAK,153,559,93,143,18,2,33,88,74,111,4,5,.256,.342,.472,.814
44MarkM McGwireMcGwire1B44‌‌‌,1989,OAK,143,490,74,113,17,0,33,95,83,94,1,1,.231,.339,.467,.806
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
44JackJ CustCustLF44‌‌‌,2008,OAK,148,481,77,111,19,0,33,77,111,197,0,0,.231,.375,.476,.851
52JoshJ ReddickReddickRF52‌‌‌,2012,OAK,156,611,85,148,29,5,32,85,55,151,11,1,.242,.305,.463,.768
52MarkM McGwireMcGwire1B52‌‌‌,1988,OAK,155,550,87,143,22,1,32,99,76,117,0,0,.260,.352,.478,.830
52ReggieR JacksonJacksonRF52‌‌‌,1973,OAK,151,539,99,158,28,2,32,117,76,111,22,8,.293,.383,.531,.914
