0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1JoséJ BautistaBautistaRF1‌‌‌,2010,TOR,161,569,109,148,35,3,54,124,100,116,9,2,.260,.378,.617,.995
2VladimirV Guerrero Jr.Guerrero1B2‌‌‌,2021,TOR,161,604,123,188,29,1,48,111,86,110,4,1,.311,.401,.601,1.002
3GeorgeG BellBellLF3‌‌‌,1987,TOR,156,610,111,188,32,4,47,134,39,75,5,1,.308,.352,.605,.957
4JoseJ CansecoCansecoDH4‌‌‌,1998,TOR,151,583,98,138,26,0,46,107,65,159,29,17,.237,.318,.518,.836
5MarcusM SemienSemien2B5‌‌‌,2021,TOR,162,652,115,173,39,2,45,102,66,146,15,1,.265,.334,.538,.872
6CarlosC DelgadoDelgado1B6‌‌‌,1999,TOR,152,573,113,156,39,0,44,134,86,141,1,1,.272,.377,.571,.948
7JoséJ BautistaBautistaRF7‌‌‌,2011,TOR,149,513,105,155,24,2,43,103,132,111,9,5,.302,.447,.608,1.055
8CarlosC DelgadoDelgado1B8‌‌‌,2003,TOR,161,570,117,172,38,1,42,145,109,137,0,0,.302,.426,.593,1.019
8ShawnS GreenGreenRF8‌‌‌,1999,TOR,153,614,134,190,45,0,42,123,66,117,20,7,.309,.384,.588,.972
8EdwinE EncarnaciónEncarnaciónDH8‌‌‌,2012,TOR,151,542,93,152,24,0,42,110,84,94,13,3,.280,.384,.557,.941
8EdwinE EncarnaciónEncarnaciónDH8‌‌‌,2016,TOR,160,601,99,158,34,0,42,127,87,138,2,0,.263,.357,.529,.886
12JoshJ DonaldsonDonaldson3B12‌‌‌,2015,TOR,158,620,122,184,41,2,41,123,73,133,6,0,.297,.371,.568,.939
12TonyT BatistaBatista3B12‌‌‌,2000,TOR,154,620,96,163,32,2,41,114,35,121,5,4,.263,.307,.519,.826
12CarlosC DelgadoDelgado1B12‌‌‌,2000,TOR,162,569,115,196,57,1,41,137,123,104,0,1,.344,.470,.664,1.134
15JoséJ BautistaBautistaRF15‌‌‌,2015,TOR,153,543,108,136,29,3,40,114,110,106,8,2,.250,.377,.536,.913
15JesseJ BarfieldBarfieldRF15‌‌‌,1986,TOR,158,589,107,170,35,2,40,108,69,146,8,8,.289,.368,.559,.927
17CarlosC DelgadoDelgado1B17‌‌‌,2001,TOR,162,574,102,160,31,1,39,102,111,136,3,0,.279,.408,.540,.948
17EdwinE EncarnaciónEncarnaciónDH17‌‌‌,2015,TOR,146,528,94,146,31,0,39,111,77,98,3,2,.277,.372,.557,.929
19CarlosC DelgadoDelgado1B19‌‌‌,1998,TOR,142,530,94,155,43,1,38,115,73,139,3,0,.292,.385,.592,.977
19JustinJ SmoakSmoak1B19‌‌‌,2017,TOR,158,560,85,151,29,1,38,90,73,128,0,1,.270,.355,.529,.884
19TroyT GlausGlaus3B19‌‌‌,2006,TOR,153,540,105,136,27,0,38,104,86,134,3,2,.252,.355,.513,.868
22JoshJ DonaldsonDonaldson3B22‌‌‌,2016,TOR,155,577,122,164,32,5,37,99,109,119,7,1,.284,.404,.549,.953
23EdwinE EncarnaciónEncarnación1B23‌‌‌,2013,TOR,142,530,90,144,29,1,36,104,82,62,7,1,.272,.370,.534,.904
23FredF McGriffMcGriff1B23‌‌‌,1989,TOR,161,551,98,148,27,3,36,92,119,132,7,4,.269,.399,.525,.924
23AaronA HillHill2B23‌‌‌,2009,TOR,158,682,103,195,37,0,36,108,42,98,6,2,.286,.330,.499,.829
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
23EdE SpragueSprague3B23‌‌‌,1996,TOR,159,591,88,146,35,2,36,101,60,146,0,0,.247,.325,.496,.821
27ShawnS GreenGreenRF27‌‌‌,1998,TOR,158,630,106,175,33,4,35,100,50,142,35,12,.278,.334,.510,.844
27FredF McGriffMcGriff1B27‌‌‌,1990,TOR,153,557,91,167,21,1,35,88,94,108,5,3,.300,.400,.530,.930
27JoséJ BautistaBautistaRF27‌‌‌,2014,TOR,155,553,101,158,27,0,35,103,104,96,6,2,.286,.403,.524,.927
27AdamA LindLindDH27‌‌‌,2009,TOR,151,587,93,179,46,0,35,114,58,110,1,1,.305,.370,.562,.932
31JoséJ Cruz Jr.CruzCF31‌‌‌,2001,TOR,146,577,92,158,38,4,34,88,45,138,32,5,.274,.326,.530,.856
