0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1MattM OlsonOlson1B1‌‌‌,2023,ATL,162,608,127,172,27,3,54,139,104,167,1,0,.283,.389,.604,.993
2AndruwA JonesJonesCF2‌‌‌,2005,ATL,160,586,95,154,24,3,51,128,64,112,5,3,.263,.347,.575,.922
3HankH AaronAaron1B3‌‌‌,1971,ATL,139,495,95,162,22,3,47,118,71,58,1,1,.327,.410,.669,1.079
3EddieE MathewsMathews3B3‌‌‌,1953,MIL,157,579,110,175,31,8,47,135,99,83,1,3,.302,.406,.627,1.033
5EddieE MathewsMathews3B5‌‌‌,1959,MIL,148,594,118,182,16,8,46,114,80,71,2,1,.306,.390,.593,.983
6ChipperC JonesJones3B6‌‌‌,1999,ATL,157,567,116,181,41,1,45,110,126,94,25,3,.319,.441,.633,1.074
6HankH AaronAaronCF6‌‌‌,1962,MIL,156,592,127,191,28,6,45,128,66,73,15,7,.323,.390,.618,1.008
8DaleD MurphyMurphyRF8‌‌‌,1987,ATL,159,566,115,167,27,1,44,105,115,136,16,6,.295,.417,.580,.997
8HankH AaronAaronRF8‌‌‌,1963,MIL,161,631,121,201,29,4,44,130,78,94,31,5,.319,.391,.586,.977
8HankH AaronAaronRF8‌‌‌,1957,MIL,151,615,118,198,27,6,44,132,57,58,1,1,.322,.378,.600,.978
8AndresA GalarragaGalarraga1B8‌‌‌,1998,ATL,153,555,103,169,27,1,44,121,63,146,7,6,.305,.397,.595,.992
8HankH AaronAaronRF8‌‌‌,1966,ATL,158,603,117,168,23,1,44,127,76,96,21,3,.279,.356,.539,.895
8HankH AaronAaronRF8‌‌‌,1969,ATL,147,547,100,164,30,3,44,97,87,47,9,10,.300,.396,.607,1.003
14DaveyD JohnsonJohnson2B14‌‌‌,1973,ATL,157,559,84,151,25,0,43,99,81,93,5,3,.270,.370,.546,.916
14JavyJ LopezLopezC14‌‌‌,2003,ATL,129,457,89,150,29,3,43,109,33,90,0,1,.328,.378,.687,1.065
16DarrellD EvansEvans3B16‌‌‌,1973,ATL,161,595,114,167,25,8,41,104,124,104,6,3,.281,.403,.556,.959
