PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1PrinceP FielderFielder1B1‌‌‌,2007,MIL,158,573,109,165,35,2,50,119,90,121,2,2,.288,.395,.618,1.013
2PrinceP FielderFielder1B2‌‌‌,2009,MIL,162,591,103,177,35,3,46,141,110,138,2,3,.299,.412,.602,1.014
3RichieR SexsonSexson1B3‌‌‌,2001,MIL,158,598,94,162,24,3,45,125,60,178,2,4,.271,.342,.547,.889
3GormanG ThomasThomasCF3‌‌‌,1979,MIL,156,557,97,136,29,0,45,123,98,175,1,5,.244,.356,.539,.895
3RichieR SexsonSexson1B3‌‌‌,2003,MIL,162,606,97,165,28,2,45,124,98,151,2,3,.272,.379,.548,.927
6ChristianC YelichYelichRF6‌‌‌,2019,MIL,130,489,100,161,29,3,44,97,80,118,30,2,.329,.429,.671,1.100
7ChrisC CarterCarter1B7‌‌‌,2016,MIL,160,549,84,122,27,1,41,94,76,206,3,1,.222,.321,.499,.820
7BenB OglivieOglivieLF7‌‌‌,1980,MIL,156,592,94,180,26,2,41,118,54,71,11,9,.304,.362,.563,.925
7RyanR BraunBraunLF7‌‌‌,2012,MIL,154,598,108,191,36,3,41,112,63,128,30,7,.319,.391,.595,.986
10GormanG ThomasThomasCF10‌‌‌,1982,MIL,158,567,96,139,29,1,39,112,84,143,3,7,.245,.343,.506,.849
11GormanG ThomasThomasCF11‌‌‌,1980,MIL,162,628,78,150,26,3,38,105,58,170,8,5,.239,.303,.471,.774
11PrinceP FielderFielder1B11‌‌‌,2011,MIL,162,569,95,170,36,1,38,120,107,106,1,1,.299,.415,.566,.981
11JeromyJ BurnitzBurnitzRF11‌‌‌,1998,MIL,161,609,92,160,28,1,38,125,70,158,7,4,.263,.339,.499,.838
14RyanR BraunBraunLF14‌‌‌,2008,MIL,151,611,92,174,39,7,37,106,42,129,14,4,.285,.335,.553,.888
15ChristianC YelichYelichLF15‌‌‌,2018,MIL,147,574,118,187,34,7,36,110,68,135,22,4,.326,.402,.598,1.000
15GeorgeG ScottScott1B15‌‌‌,1975,MIL,158,617,86,176,26,4,36,109,51,97,6,5,.285,.341,.515,.856
17RowdyR TellezTellez1B17‌‌‌,2022,MIL,153,529,67,116,23,0,35,89,62,121,2,1,.219,.306,.461,.767
17MikeM MoustakasMoustakas3B17‌‌‌,2019,MIL,143,523,80,133,30,1,35,87,53,98,3,0,.254,.329,.516,.845
17BillB HallHallSS17‌‌‌,2006,MIL,148,537,101,145,39,4,35,85,63,162,8,9,.270,.345,.553,.898
17JesúsJ AguilarAguilar1B17‌‌‌,2018,MIL,149,492,80,135,25,0,35,108,58,143,0,0,.274,.352,.539,.891
21GeoffG JenkinsJenkinsLF21‌‌‌,2000,MIL,135,512,100,155,36,4,34,94,33,135,11,1,.303,.360,.588,.948
21PrinceP FielderFielder1B21‌‌‌,2008,MIL,159,588,86,162,30,2,34,102,84,134,3,2,.276,.372,.507,.879
21JohnJ JahaJaha1B21‌‌‌,1996,MIL,148,543,108,163,28,1,34,118,85,118,3,1,.300,.398,.543,.941
21BenB OglivieOglivieLF21‌‌‌,1982,MIL,159,602,92,147,22,1,34,102,70,81,3,5,.244,.326,.453,.779
21LarryL HisleHisleLF21‌‌‌,1978,MIL,142,520,96,151,24,0,34,115,67,90,10,6,.290,.374,.533,.907
21RyanR BraunBraun3B21‌‌‌,2007,MIL,113,451,91,146,26,6,34,97,29,112,15,5,.324,.370,.634,1.004
21JeromyJ BurnitzBurnitzRF21‌‌‌,2001,MIL,154,562,104,141,32,4,34,100,80,150,0,4,.251,.347,.504,.851
28RyanR BraunBraunLF28‌‌‌,2011,MIL,150,563,109,187,38,6,33,111,58,93,33,6,.332,.397,.597,.994
