0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1SammyS SosaSosaRF1‌‌‌,1998,CHC,159,643,134,198,20,0,66,158,73,171,18,9,.308,.377,.647,1.024
2SammyS SosaSosaRF2‌‌‌,2001,CHC,160,577,146,189,34,5,64,160,116,153,0,2,.328,.437,.737,1.174
3SammyS SosaSosaRF3‌‌‌,1999,CHC,162,625,114,180,24,2,63,141,78,171,7,8,.288,.367,.635,1.002
4HackH WilsonWilsonCF4‌‌‌,1930,CHC,155,585,146,208,35,6,56,191,105,84,3,--,.356,.454,.723,1.177
5SammyS SosaSosaRF5‌‌‌,2000,CHC,156,604,106,193,38,1,50,138,91,168,7,4,.320,.406,.634,1.040
6SammyS SosaSosaRF6‌‌‌,2002,CHC,150,556,122,160,19,2,49,108,103,144,2,0,.288,.399,.594,.993
6AndreA DawsonDawsonRF6‌‌‌,1987,CHC,153,621,90,178,24,2,49,137,32,103,11,3,.287,.328,.568,.896
8DaveD KingmanKingmanLF8‌‌‌,1979,CHC,145,532,97,153,19,5,48,115,45,131,4,2,.288,.343,.613,.956
9ErnieE BanksBanksSS9‌‌‌,1958,CHC,154,617,119,193,23,11,47,129,52,87,4,4,.313,.366,.614,.980
10DerrekD LeeLee1B10‌‌‌,2005,CHC,158,594,120,199,50,3,46,107,85,109,15,3,.335,.418,.662,1.080
11ErnieE BanksBanksSS11‌‌‌,1959,CHC,155,589,97,179,25,6,45,143,64,72,2,4,.304,.374,.596,.970
12ErnieE BanksBanksSS12‌‌‌,1955,CHC,154,596,98,176,29,9,44,117,45,72,9,3,.295,.345,.596,.941
13ErnieE BanksBanksSS13‌‌‌,1957,CHC,156,594,113,169,34,6,43,102,70,85,8,4,.285,.360,.579,.939
14BillyB WilliamsWilliamsLF14‌‌‌,1970,CHC,161,636,137,205,34,4,42,129,72,65,7,1,.322,.391,.586,.977
15ErnieE BanksBanksSS15‌‌‌,1960,CHC,156,597,94,162,32,7,41,117,71,69,1,3,.271,.350,.554,.904
15HankH SauerSauerRF15‌‌‌,1954,CHC,142,520,98,150,18,1,41,103,70,68,2,1,.288,.375,.563,.938
17SammyS SosaSosaRF17‌‌‌,2003,CHC,137,517,99,144,22,0,40,103,62,143,0,1,.279,.358,.553,.911
