0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1LuisL GonzalezGonzalezLF1‌‌‌,2001,AZ,162,609,128,198,36,7,57,142,100,83,1,1,.325,.429,.688,1.117
2MarkM ReynoldsReynolds3B2‌‌‌,2009,AZ,155,578,98,150,30,1,44,102,76,223,24,9,.260,.349,.543,.892
3JayJ BellBell2B3‌‌‌,1999,AZ,151,589,132,170,32,6,38,112,82,132,7,4,.289,.374,.557,.931
4TroyT GlausGlaus3B4‌‌‌,2005,AZ,149,538,78,139,29,1,37,97,84,145,4,2,.258,.363,.522,.885
5PaulP GoldschmidtGoldschmidt1B5‌‌‌,2017,AZ,155,558,117,166,34,3,36,120,94,147,18,5,.297,.404,.563,.967
5ChristianC WalkerWalker1B5‌‌‌,2022,AZ,160,583,84,141,25,2,36,94,69,131,2,2,.242,.327,.477,.804
5PaulP GoldschmidtGoldschmidt1B5‌‌‌,2013,AZ,160,602,103,182,36,3,36,125,99,145,15,7,.302,.401,.551,.952
8SteveS FinleyFinleyCF8‌‌‌,2000,AZ,152,539,100,151,27,5,35,96,65,87,12,6,.280,.361,.544,.905
8MattM WilliamsWilliams3B8‌‌‌,1999,AZ,154,627,98,190,37,2,35,142,41,93,2,0,.303,.344,.536,.880
8EduardoE EscobarEscobar3B8‌‌‌,2019,AZ,158,636,94,171,29,10,35,118,50,130,5,1,.269,.320,.511,.831
11SteveS FinleyFinleyCF11‌‌‌,1999,AZ,156,590,100,156,32,10,34,103,63,94,8,4,.264,.336,.525,.861
12PaulP GoldschmidtGoldschmidt1B12‌‌‌,2015,AZ,159,567,103,182,38,2,33,110,118,151,21,5,.321,.435,.570,1.005
12ReggieR SandersSandersRF12‌‌‌,2001,AZ,126,441,84,116,21,3,33,90,46,126,14,10,.263,.337,.549,.886
12PaulP GoldschmidtGoldschmidt1B12‌‌‌,2018,AZ,158,593,95,172,35,5,33,83,90,173,7,4,.290,.389,.533,.922
12ChristianC WalkerWalker1B12‌‌‌,2023,AZ,157,582,86,150,36,2,33,103,62,127,11,0,.258,.333,.497,.830
16MarkM ReynoldsReynolds3B16‌‌‌,2010,AZ,145,499,79,99,17,2,32,85,83,211,7,4,.198,.320,.433,.753
16KetelK MarteMarteCF16‌‌‌,2019,AZ,144,569,97,187,36,9,32,92,53,86,10,2,.329,.389,.592,.981
16ChrisC YoungYoungCF16‌‌‌,2007,AZ,148,569,85,135,29,3,32,68,43,141,27,6,.237,.295,.467,.762
19LuisL GonzalezGonzalezLF19‌‌‌,2000,AZ,162,618,106,192,47,2,31,114,78,85,2,4,.311,.392,.544,.936
19JustinJ UptonUptonRF19‌‌‌,2011,AZ,159,592,105,171,39,5,31,88,59,126,21,9,.289,.369,.529,.898
19YasmanyY TomásTomásRF19‌‌‌,2016,AZ,140,530,72,144,30,1,31,83,31,136,2,4,.272,.313,.508,.821
22TonyT ClarkClark1B22‌‌‌,2005,AZ,130,349,47,106,22,2,30,87,37,88,0,0,.304,.366,.636,1.002
22DavidD PeraltaPeraltaLF22‌‌‌,2018,AZ,146,560,75,164,25,5,30,87,48,124,4,0,.293,.352,.516,.868
22JakeJ LambLamb3B22‌‌‌,2017,AZ,149,536,89,133,30,4,30,105,87,152,6,4,.248,.357,.487,.844
22JasonJ KubelKubelLF22‌‌‌,2012,AZ,141,506,75,128,30,4,30,90,57,151,1,1,.253,.327,.506,.833
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
26JakeJ LambLamb3B26‌‌‌,2016,AZ,151,523,81,130,31,9,29,91,64,154,6,1,.249,.332,.509,.841
26J.D.J MartinezMartinezRF26‌‌‌,2017,AZ,62,232,47,70,13,1,29,65,24,74,2,0,.302,.366,.741,1.107
26ChristianC WalkerWalker1B26‌‌‌,2019,AZ,152,529,86,137,26,1,29,73,67,155,8,1,.259,.348,.476,.824
29LuisL GonzalezGonzalezLF29‌‌‌,2002,AZ,148,524,90,151,19,3,28,103,97,76,9,2,.288,.400,.496,.896
29MarkM ReynoldsReynolds3B29‌‌‌,2008,AZ,152,539,87,129,28,3,28,97,64,204,11,2,.239,.320,.458,.778
31ChrisC YoungYoungCF31‌‌‌,2010,AZ,156,584,94,150,33,0,27,91,74,145,28,7,.257,.341,.452,.793
31DaultonD VarshoVarshoRF31‌‌‌,2022,AZ,151,531,79,125,23,3,27,74,46,145,16,6,.235,.302,.443,.745
31ChadC TracyTracy1B31‌‌‌,2005,AZ,145,503,73,155,34,4,27,72,35,78,3,1,.308,.359,.553,.912
34LuisL GonzalezGonzalezLF34‌‌‌,1999,AZ,153,614,112,206,45,4,26,111,66,63,9,5,.336,.403,.549,.952
34AaronA HillHill2B34‌‌‌,2012,AZ,156,609,93,184,44,6,26,85,52,86,14,5,.302,.360,.522,.882
34EricE ByrnesByrnesCF34‌‌‌,2006,AZ,143,562,82,150,37,3,26,79,34,88,25,3,.267,.313,.482,.795
34KellyK JohnsonJohnson2B34‌‌‌,2010,AZ,154,585,93,166,36,5,26,71,79,148,13,7,.284,.370,.496,.866
34LuisL GonzalezGonzalezLF34‌‌‌,2003,AZ,156,579,92,176,46,4,26,104,94,67,5,3,.304,.402,.532,.934
34JustinJ UptonUptonRF34‌‌‌,2009,AZ,138,526,84,158,30,7,26,86,55,137,20,5,.300,.366,.532,.898
40KetelK MarteMarte2B40‌‌‌,2023,AZ,150,569,94,157,26,9,25,82,71,109,8,2,.276,.358,.485,.843
40AdamA LaRocheLaRoche1B40‌‌‌,2010,AZ,151,560,75,146,37,2,25,100,48,172,0,1,.261,.320,.468,.788
40CorbinC CarrollCarrollLF40‌‌‌,2023,AZ,155,565,116,161,30,10,25,76,57,125,54,5,.285,.362,.506,.868
40SteveS FinleyFinleyCF40‌‌‌,2002,AZ,150,505,82,145,24,4,25,89,65,73,16,4,.287,.370,.499,.869
44LourdesL Gurriel Jr.GurrielLF44‌‌‌,2023,AZ,145,551,65,144,35,2,24,82,33,103,5,0,.261,.309,.463,.772
44PaulP GoldschmidtGoldschmidt1B44‌‌‌,2016,AZ,158,579,106,172,33,3,24,95,110,150,32,5,.297,.411,.489,.900
44LuisL GonzalezGonzalezLF44‌‌‌,2005,AZ,155,579,90,157,37,0,24,79,78,90,4,1,.271,.366,.459,.825
47SteveS FinleyFinleyCF47‌‌‌,2004,AZ,104,404,61,111,16,1,23,48,40,52,8,4,.275,.338,.490,.828
48DevonD WhiteWhiteCF48‌‌‌,1998,AZ,146,563,84,157,32,1,22,85,42,102,22,8,.279,.335,.456,.791
48TravisT LeeLee1B48‌‌‌,1998,AZ,146,562,71,151,20,2,22,72,67,123,8,1,.269,.346,.429,.775
48EduardoE EscobarEscobar3B48‌‌‌,2021,AZ,98,370,50,91,14,3,22,65,29,85,1,0,.246,.300,.478,.778
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
48SteveS FinleyFinleyCF48‌‌‌,2003,AZ,147,516,82,148,24,10,22,70,57,94,15,8,.287,.363,.500,.863
48ShawnS GreenGreenRF48‌‌‌,2005,AZ,158,581,87,166,37,4,22,73,62,95,8,4,.286,.355,.477,.832
48ChrisC YoungYoungCF48‌‌‌,2008,AZ,160,625,85,155,42,7,22,85,62,165,14,5,.248,.315,.443,.758
54EricE ByrnesByrnesLF54‌‌‌,2007,AZ,160,626,103,179,30,8,21,83,57,98,50,7,.286,.353,.460,.813
54AJA PollockPollockCF54‌‌‌,2018,AZ,113,413,61,106,21,5,21,65,31,100,13,2,.257,.316,.484,.800
