PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1ShawnS GreenGreenRF1‌‌‌,2001,LA,161,619,121,184,31,4,49,125,72,107,20,4,.297,.372,.598,.970
2AdriánA BeltréBeltré3B2‌‌‌,2004,LA,156,598,104,200,32,0,48,121,53,87,7,2,.334,.388,.629,1.017
3CodyC BellingerBellingerRF3‌‌‌,2019,LAD,156,558,121,170,34,3,47,115,95,108,15,5,.305,.406,.629,1.035
4DukeD SniderSniderCF4‌‌‌,1956,BRO,151,542,112,158,33,2,43,101,99,101,3,3,.292,.399,.598,.997
4GaryG SheffieldSheffieldLF4‌‌‌,2000,LA,141,501,105,163,24,3,43,109,101,71,4,6,.325,.438,.643,1.081
6GilG HodgesHodges1B6‌‌‌,1954,BRO,154,579,106,176,23,5,42,130,74,84,3,3,.304,.373,.579,.952
6ShawnS GreenGreenRF6‌‌‌,2002,LA,158,582,110,166,31,1,42,114,93,112,8,5,.285,.385,.558,.943
6DukeD SniderSniderCF6‌‌‌,1955,BRO,148,538,126,166,34,6,42,136,104,87,9,7,.309,.418,.628,1.046
6DukeD SniderSniderCF6‌‌‌,1953,BRO,153,590,132,198,38,4,42,126,82,90,16,7,.336,.419,.627,1.046
10RoyR CampanellaCampanellaC10‌‌‌,1953,BRO,144,519,103,162,26,3,41,142,67,58,4,2,.312,.395,.611,1.006
11DukeD SniderSniderCF11‌‌‌,1957,BRO,139,508,91,139,25,7,40,92,77,104,3,4,.274,.368,.587,.955
11MikeM PiazzaPiazzaC11‌‌‌,1997,LA,152,556,104,201,32,1,40,124,69,77,5,1,.362,.431,.638,1.069
11DukeD SniderSniderCF11‌‌‌,1954,BRO,149,584,120,199,39,10,40,130,84,96,6,6,.341,.423,.647,1.070
11GilG HodgesHodges1B11‌‌‌,1951,BRO,158,582,118,156,25,3,40,103,93,99,9,7,.268,.374,.527,.901
15CodyC BellingerBellinger1B15‌‌‌,2017,LAD,132,480,87,128,26,4,39,97,64,146,10,3,.267,.352,.581,.933
15MookieM BettsBettsRF15‌‌‌,2023,LAD,152,584,126,179,40,1,39,107,96,107,14,3,.307,.408,.579,.987
15MattM KempKempCF15‌‌‌,2011,LAD,161,602,115,195,33,4,39,126,74,159,40,11,.324,.399,.586,.985
18MaxM MuncyMuncy1B18‌‌‌,2021,LAD,144,497,95,124,26,2,36,94,83,120,2,1,.249,.368,.527,.895
18MikeM PiazzaPiazzaC18‌‌‌,1996,LA,148,547,87,184,16,0,36,105,81,93,0,3,.336,.422,.563,.985
18MaxM MuncyMuncy3B18‌‌‌,2023,LAD,135,482,95,102,17,1,36,105,85,153,1,2,.212,.333,.475,.808
18JocJ PedersonPedersonLF18‌‌‌,2019,LAD,149,450,83,112,16,3,36,74,50,111,1,1,.249,.339,.538,.877
18GaryG SheffieldSheffieldLF18‌‌‌,2001,LA,143,515,98,160,28,2,36,100,94,67,10,4,.311,.417,.583,1.000
23MaxM MuncyMuncy2B23‌‌‌,2019,LAD,141,487,101,122,22,1,35,98,90,149,4,1,.251,.374,.515,.889
23BabeB HermanHermanRF23‌‌‌,1930,BRO,153,614,143,241,48,11,35,130,66,56,18,--,.393,.455,.678,1.133
23MikeM PiazzaPiazzaC23‌‌‌,1993,LA,149,547,81,174,24,2,35,112,46,86,3,4,.318,.370,.561,.931
23MookieM BettsBettsRF23‌‌‌,2022,LAD,142,572,117,154,40,3,35,82,55,104,12,2,.269,.340,.533,.873
23MaxM MuncyMuncy1B23‌‌‌,2018,LAD,137,395,75,104,17,2,35,79,79,131,3,0,.263,.391,.582,.973
28EricE KarrosKarros1B28‌‌‌,1999,LA,153,578,74,176,40,0,34,112,53,119,8,5,.304,.362,.550,.912
28EricE KarrosKarros1B28‌‌‌,1996,LA,154,608,84,158,29,1,34,111,53,121,8,0,.260,.316,.479,.795
28GaryG SheffieldSheffieldLF28‌‌‌,1999,LA,152,549,103,165,20,0,34,101,101,64,11,5,.301,.407,.523,.930
28DolphD CamilliCamilli1B28‌‌‌,1941,BRO,149,529,92,151,29,6,34,120,104,115,3,--,.285,.407,.556,.963
32SteveS GarveyGarvey1B32‌‌‌,1977,LA,162,646,91,192,25,3,33,115,38,90,9,6,.297,.335,.498,.833
32RoyR CampanellaCampanellaC32‌‌‌,1951,BRO,143,505,90,164,33,1,33,108,53,51,1,2,.325,.393,.590,.983
32J.D.J MartinezMartinezDH32‌‌‌,2023,LAD,113,432,61,117,27,2,33,103,34,149,1,0,.271,.321,.572,.893
32RaulR MondesiMondesiRF32‌‌‌,1999,LA,159,601,98,152,29,5,33,99,71,134,36,9,.253,.332,.483,.815
32PedroP GuerreroGuerreroLF32‌‌‌,1985,LA,137,487,99,156,22,2,33,87,83,68,12,4,.320,.422,.577,.999
37EricE KarrosKarros1B37‌‌‌,1995,LA,143,551,83,164,29,3,32,105,61,115,4,4,.298,.369,.535,.904
37GilG HodgesHodges1B37‌‌‌,1952,BRO,153,508,87,129,27,1,32,102,107,90,2,4,.254,.386,.500,.886
37JimmyJ WynnWynnCF37‌‌‌,1974,LA,150,535,104,145,17,4,32,108,108,104,18,15,.271,.387,.497,.884
37PedroP GuerreroGuerreroRF37‌‌‌,1982,LA,150,575,87,175,27,5,32,100,65,89,22,5,.304,.378,.536,.914
37RoyR CampanellaCampanellaC37‌‌‌,1955,BRO,123,446,81,142,20,1,32,107,56,41,2,3,.318,.395,.583,.978
37PedroP GuerreroGuerrero3B37‌‌‌,1983,LA,160,584,87,174,28,6,32,103,72,110,23,7,.298,.373,.531,.904
37GilG HodgesHodges1B37‌‌‌,1950,BRO,153,561,98,159,26,2,32,113,73,73,6,--,.283,.367,.508,.875
37ReggieR SmithSmithRF37‌‌‌,1977,LA,148,488,104,150,27,4,32,87,104,76,7,5,.307,.427,.576,1.003
37MikeM PiazzaPiazzaC37‌‌‌,1995,LA,112,434,82,150,17,0,32,93,39,80,1,0,.346,.400,.606,1.006
37GilG HodgesHodges1B37‌‌‌,1956,BRO,153,550,86,146,29,4,32,87,76,91,3,3,.265,.354,.507,.861
47GilG HodgesHodges1B47‌‌‌,1953,BRO,141,520,101,157,22,7,31,122,75,84,1,4,.302,.393,.550,.943
47ToddT ZeileZeile3B47‌‌‌,1997,LA,160,575,89,154,17,0,31,90,85,112,8,7,.268,.365,.459,.824
47AndreA EthierEthierRF47‌‌‌,2009,LAD,160,596,92,162,42,3,31,106,72,116,6,4,.272,.361,.508,.869
47RoyR CampanellaCampanellaC47‌‌‌,1950,BRO,126,437,70,123,19,3,31,89,55,51,1,--,.281,.364,.551,.915
47FrankF HowardHowardRF47‌‌‌,1962,LA,141,493,80,146,25,6,31,119,39,108,1,0,.296,.346,.560,.906
47DukeD SniderSniderCF47‌‌‌,1950,BRO,152,620,109,199,31,10,31,107,58,79,16,--,.321,.379,.553,.932
47EricE KarrosKarros1B47‌‌‌,1997,LA,162,628,86,167,28,0,31,104,61,116,15,7,.266,.329,.459,.788
47EricE KarrosKarros1B47‌‌‌,2000,LA,155,584,84,146,29,0,31,106,63,122,4,3,.250,.321,.459,.780
55RaulR MondesiMondesiRF55‌‌‌,1997,LA,159,616,95,191,42,5,30,87,44,105,32,15,.310,.360,.541,.901
55RonR CeyCey3B55‌‌‌,1977,LA,153,564,77,136,22,3,30,110,93,106,3,4,.241,.347,.450,.797
55RaulR MondesiMondesiCF55‌‌‌,1998,LA,148,580,85,162,26,5,30,90,30,112,16,10,.279,.316,.497,.813
55DustyJ Baker Jr.BakerLF55‌‌‌,1977,LA,153,533,86,155,26,1,30,86,58,89,2,6,.291,.364,.512,.876
59DustyJ Baker Jr.BakerLF59‌‌‌,1980,LA,153,579,80,170,26,4,29,97,43,66,12,10,.294,.339,.503,.842
59FreddieF FreemanFreeman1B59‌‌‌,2023,LAD,161,637,131,211,59,2,29,102,72,121,23,1,.331,.410,.567,.977
59DukeD SniderSniderCF59‌‌‌,1951,BRO,150,606,96,168,26,6,29,101,62,97,14,10,.277,.344,.483,.827
59ReggieR SmithSmithRF59‌‌‌,1978,LA,128,447,82,132,27,2,29,93,70,90,12,5,.295,.382,.559,.941
59JeffJ KentKent2B59‌‌‌,2005,LAD,149,553,100,160,36,0,29,105,72,85,6,2,.289,.377,.512,.889
64RonR CeyCey3B64‌‌‌,1979,LA,150,487,77,137,20,1,28,81,86,85,3,3,.281,.389,.499,.888
64MattM KempKempCF64‌‌‌,2010,LAD,162,602,82,150,25,6,28,89,53,170,19,15,.249,.310,.450,.760
64FrankF HowardHowardRF64‌‌‌,1963,LA,123,417,58,114,16,1,28,64,33,116,1,2,.273,.330,.518,.848
64YasielY PuigPuigRF64‌‌‌,2017,LAD,152,499,72,131,24,2,28,74,64,100,15,6,.263,.346,.487,.833
64DaveyD LopesLopes2B64‌‌‌,1979,LA,153,582,109,154,20,6,28,73,97,88,44,4,.265,.372,.464,.836
64ShawnS GreenGreen1B64‌‌‌,2004,LA,157,590,92,157,28,1,28,86,71,114,5,2,.266,.352,.459,.811
64SteveS GarveyGarvey1B64‌‌‌,1979,LA,162,648,92,204,32,1,28,110,37,59,3,6,.315,.351,.497,.848
64DarrylD StrawberryStrawberryRF64‌‌‌,1991,LA,139,505,86,134,22,4,28,99,75,125,10,8,.265,.361,.491,.852
64MikeM MarshallMarshallRF64‌‌‌,1985,LA,135,518,72,152,27,2,28,95,37,137,3,10,.293,.342,.515,.857
64AdriánA GonzálezGonzález1B64‌‌‌,2015,LAD,156,571,76,157,33,0,28,90,62,107,0,1,.275,.350,.480,.830
64RonR CeyCey3B64‌‌‌,1980,LA,157,551,81,140,25,0,28,77,69,92,2,2,.254,.342,.452,.794
75PedroP GuerreroGuerreroLF75‌‌‌,1987,LA,152,545,89,184,25,2,27,89,74,85,9,7,.338,.416,.539,.955
75JustinJ TurnerTurner3B75‌‌‌,2019,LAD,135,479,80,139,24,0,27,67,51,88,2,0,.290,.372,.509,.881
75JackJ FournierFournier1B75‌‌‌,1924,BRO,154,563,93,188,25,4,27,116,83,46,7,5,.334,.428,.536,.964
75YasmaniY GrandalGrandalC75‌‌‌,2016,LAD,126,390,49,89,14,1,27,72,64,116,1,3,.228,.339,.477,.816
75GilG HodgesHodges1B75‌‌‌,1955,BRO,150,546,75,158,24,5,27,102,80,91,2,1,.289,.377,.500,.877
75GilG HodgesHodges1B75‌‌‌,1957,BRO,150,579,94,173,28,7,27,98,63,91,5,3,.299,.366,.511,.877
75JustinJ TurnerTurner3B75‌‌‌,2016,LAD,151,556,79,153,34,3,27,90,48,107,4,1,.275,.339,.493,.832
75KalK DanielsDanielsLF75‌‌‌,1990,LA,130,450,81,133,23,1,27,94,68,104,4,3,.296,.389,.531,.920
75TommyT DavisDavisLF75‌‌‌,1962,LA,163,665,120,230,27,9,27,153,33,65,18,6,.346,.374,.535,.909
75AdriánA GonzálezGonzález1B75‌‌‌,2014,LAD,159,591,83,163,41,0,27,116,56,112,1,1,.276,.335,.482,.817
75JustinJ TurnerTurner3B75‌‌‌,2021,LAD,151,533,87,148,22,0,27,87,61,98,3,0,.278,.361,.471,.832
86DolphD CamilliCamilli1B86‌‌‌,1939,BRO,157,565,105,164,30,12,26,104,110,107,1,--,.290,.409,.524,.933
86DolphD CamilliCamilli1B86‌‌‌,1942,BRO,150,524,89,132,23,7,26,109,97,85,10,--,.252,.372,.471,.843
86JocJ PedersonPedersonCF86‌‌‌,2015,LAD,151,480,67,101,19,1,26,54,92,170,4,7,.210,.346,.417,.763
86MattM KempKempCF86‌‌‌,2009,LAD,159,606,97,180,25,7,26,101,52,139,34,8,.297,.352,.490,.842
86CoreyC SeagerSeagerSS86‌‌‌,2016,LAD,157,627,105,193,40,5,26,72,54,133,3,3,.308,.365,.512,.877
86EddieE MurrayMurray1B86‌‌‌,1990,LA,155,558,96,184,22,3,26,95,82,64,8,5,.330,.414,.520,.934
86CarlC FurilloFurilloRF86‌‌‌,1955,BRO,140,523,83,164,24,3,26,95,43,43,4,5,.314,.371,.520,.891
86RaulR MondesiMondesiRF86‌‌‌,1995,LA,139,536,91,153,23,6,26,88,33,96,27,4,.285,.328,.496,.824
86SteveS GarveyGarvey1B86‌‌‌,1980,LA,163,658,78,200,27,1,26,106,36,67,6,11,.304,.341,.467,.808
95PaulP Lo DucaLo DucaC95‌‌‌,2001,LA,125,460,71,147,28,0,25,90,39,30,2,4,.320,.374,.543,.917
95JocJ PedersonPedersonLF95‌‌‌,2018,LAD,148,395,65,98,27,3,25,56,40,85,1,5,.248,.321,.522,.843
95DelD BissonetteBissonette1B95‌‌‌,1928,BRO,155,587,90,188,30,13,25,106,70,75,5,--,.320,.396,.543,.939
95GilG HodgesHodges1B95‌‌‌,1959,LA,124,413,57,114,19,2,25,80,58,92,3,2,.276,.367,.513,.880
95JocJ PedersonPedersonCF95‌‌‌,2016,LAD,137,406,64,100,26,0,25,68,63,130,6,2,.246,.352,.495,.847
95JoeJ FergusonFergusonC95‌‌‌,1973,LA,136,487,84,128,26,0,25,88,87,81,1,1,.263,.369,.470,.839
95RonR CeyCey3B95‌‌‌,1975,LA,158,566,72,160,29,2,25,101,78,74,5,2,.283,.372,.473,.845
95KirkK GibsonGibsonLF95‌‌‌,1988,LA,150,542,106,157,28,1,25,76,73,120,31,4,.290,.377,.483,.860
95WillW SmithSmithC95‌‌‌,2021,LAD,130,414,71,107,19,2,25,76,58,101,3,0,.258,.365,.495,.860
95CodyC BellingerBellinger1B95‌‌‌,2018,LAD,162,557,84,145,28,7,25,76,69,151,14,1,.260,.343,.470,.813
95MattM KempKempRF95‌‌‌,2014,LAD,150,541,77,155,38,3,25,89,52,145,8,5,.287,.346,.506,.852
106WillW SmithSmithC106‌‌‌,2022,LAD,137,508,68,132,26,3,24,87,56,96,1,0,.260,.343,.465,.808
106JimJ LefebvreLefebvre2B106‌‌‌,1966,LA,152,544,69,149,23,3,24,74,48,72,1,1,.274,.333,.460,.793
106DolphD CamilliCamilli1B106‌‌‌,1938,BRO,146,509,106,128,25,11,24,100,119,101,6,--,.251,.393,.485,.878
106ShawnS GreenGreenRF106‌‌‌,2000,LA,162,610,98,164,44,4,24,99,90,121,24,5,.269,.367,.472,.839
106RonR CeyCey3B106‌‌‌,1982,LA,150,556,62,141,23,1,24,79,57,99,3,2,.254,.323,.428,.751
106MikeM PiazzaPiazzaC106‌‌‌,1994,LA,107,405,64,129,18,0,24,92,33,65,1,3,.319,.370,.541,.911
106RaulR MondesiMondesiRF106‌‌‌,1996,LA,157,634,98,188,40,7,24,88,32,122,14,7,.297,.334,.495,.829
106JohnnyJ FrederickFrederickCF106‌‌‌,1929,BRO,148,628,127,206,52,6,24,75,39,34,6,--,.328,.372,.545,.917
106YasmaniY GrandalGrandalC106‌‌‌,2018,LAD,140,440,65,106,23,2,24,68,72,124,2,1,.241,.349,.466,.815
106ToddT HundleyHundleyC106‌‌‌,1999,LA,114,376,49,78,14,0,24,55,44,113,3,0,.207,.295,.436,.731
106ToddT HundleyHundleyC106‌‌‌,2000,LA,90,299,49,85,16,0,24,70,45,69,0,1,.284,.375,.579,.954
106FrankF HowardHowardRF106‌‌‌,1964,LA,134,433,60,98,13,2,24,69,51,113,1,0,.226,.303,.432,.735
118HackH WilsonWilsonRF118‌‌‌,1932,BRO,135,481,77,143,37,5,23,123,51,85,2,--,.297,.366,.538,.904
118DukeD SniderSniderRF118‌‌‌,1959,LA,126,370,59,114,11,2,23,88,58,71,1,5,.308,.400,.535,.935
118FranklinF StubbsStubbsLF118‌‌‌,1986,LA,132,420,55,95,11,1,23,58,37,107,7,1,.226,.291,.421,.712
118DolphD CamilliCamilli1B118‌‌‌,1940,BRO,142,512,92,147,29,13,23,96,89,83,9,--,.287,.397,.529,.926
118EricE KarrosKarros1B118‌‌‌,1993,LA,158,619,74,153,27,2,23,80,34,82,0,1,.247,.287,.409,.696
118RonR CeyCey3B118‌‌‌,1978,LA,159,555,84,150,32,0,23,84,96,96,2,5,.270,.380,.452,.832
118JamesJ OutmanOutmanCF118‌‌‌,2023,LAD,151,483,86,120,16,3,23,70,68,181,16,3,.248,.353,.437,.790
118YasielY PuigPuigRF118‌‌‌,2018,LAD,125,405,60,108,21,1,23,63,36,87,15,5,.267,.327,.494,.821
118EricE KarrosKarros1B118‌‌‌,1998,LA,139,507,59,150,20,1,23,87,47,93,7,2,.296,.355,.475,.830
118DustyJ Baker Jr.BakerLF118‌‌‌,1982,LA,147,570,80,171,19,1,23,88,56,62,17,10,.300,.361,.458,.819
118DickD AllenAllen3B118‌‌‌,1971,LA,155,549,82,162,24,1,23,90,93,113,8,1,.295,.395,.468,.863
118GilG HodgesHodges1B118‌‌‌,1949,BRO,156,596,94,170,23,4,23,115,66,64,10,--,.285,.360,.453,.813
118DustyJ Baker Jr.BakerLF118‌‌‌,1979,LA,151,554,86,152,29,1,23,88,56,70,11,4,.274,.340,.455,.795
118AndreA EthierEthierRF118‌‌‌,2010,LAD,139,517,71,151,33,1,23,82,59,102,2,1,.292,.364,.493,.857
118DukeD SniderSniderCF118‌‌‌,1949,BRO,146,552,100,161,28,7,23,92,56,92,12,--,.292,.361,.493,.854
118TimT WallachWallach3B118‌‌‌,1994,LA,113,414,68,116,21,1,23,78,46,80,0,2,.280,.356,.502,.858
118FrankF HowardHowardRF118‌‌‌,1960,LA,117,448,54,120,15,2,23,77,32,108,0,1,.268,.320,.464,.784
