PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1BarryB BondsBondsLF1‌‌‌,2001,SF,153,476,129,156,32,2,73,137,177,93,13,3,.328,.515,.863,1.378
2WillieW MaysMaysCF2‌‌‌,1965,SF,157,558,118,177,21,3,52,112,76,71,9,4,.317,.398,.645,1.043
3JohnnyJ MizeMize1B3‌‌‌,1947,NYG,154,586,137,177,26,2,51,138,74,42,2,--,.302,.384,.614,.998
3WillieW MaysMaysCF3‌‌‌,1955,NYG,152,580,123,185,18,13,51,127,79,60,24,4,.319,.400,.659,1.059
5BarryB BondsBondsLF5‌‌‌,2000,SF,143,480,129,147,28,4,49,106,117,77,11,3,.306,.440,.688,1.128
5WillieW MaysMaysCF5‌‌‌,1962,SF,162,621,130,189,36,5,49,141,78,85,18,2,.304,.384,.615,.999
7KevinK MitchellMitchellLF7‌‌‌,1989,SF,154,543,100,158,34,6,47,125,87,115,3,4,.291,.388,.635,1.023
7WillieW MaysMaysCF7‌‌‌,1964,SF,157,578,121,171,21,9,47,111,82,72,19,5,.296,.383,.607,.990
9OrlandoO CepedaCepeda1B9‌‌‌,1961,SF,152,585,105,182,28,4,46,142,39,91,12,8,.311,.362,.609,.971
9BarryB BondsBondsLF9‌‌‌,1993,SF,159,539,129,181,38,4,46,123,126,79,29,12,.336,.458,.677,1.135
9BarryB BondsBondsLF9‌‌‌,2002,SF,143,403,117,149,31,2,46,110,198,47,9,2,.370,.582,.799,1.381
12BarryB BondsBondsLF12‌‌‌,2004,SF,147,373,129,135,27,3,45,101,232,41,6,1,.362,.609,.812,1.421
12WillieW McCoveyMcCovey1B12‌‌‌,1969,SF,149,491,101,157,26,2,45,126,121,66,0,0,.320,.453,.656,1.109
12BarryB BondsBondsLF12‌‌‌,2003,SF,130,390,111,133,22,1,45,90,148,58,7,0,.341,.529,.749,1.278
15WillieW McCoveyMcCoveyLF15‌‌‌,1963,SF,152,564,103,158,19,5,44,102,50,119,1,1,.280,.350,.566,.916
16MattM WilliamsWilliams3B16‌‌‌,1994,SF,112,445,74,119,16,3,43,96,33,87,1,0,.267,.319,.607,.926
17BarryB BondsBondsLF17‌‌‌,1996,SF,158,517,122,159,27,3,42,129,151,76,40,7,.308,.461,.615,1.076
17MelM OttOttRF17‌‌‌,1929,NYG,150,545,138,179,37,2,42,151,113,38,6,--,.328,.449,.635,1.084
19WillieW MaysMaysCF19‌‌‌,1954,NYG,151,565,119,195,33,13,41,110,66,57,8,5,.345,.411,.667,1.078
20BarryB BondsBondsLF20‌‌‌,1997,SF,159,532,123,155,26,5,40,101,145,87,37,8,.291,.446,.585,1.031
20WillieW MaysMaysCF20‌‌‌,1961,SF,154,572,129,176,32,3,40,123,81,77,18,9,.308,.393,.584,.977
20JohnnyJ MizeMize1B20‌‌‌,1948,NYG,152,560,110,162,26,4,40,125,94,37,4,--,.289,.395,.564,.959
23WillieW McCoveyMcCovey1B23‌‌‌,1970,SF,152,495,98,143,39,2,39,126,137,75,0,0,.289,.444,.612,1.056
23WillieW McCoveyMcCovey1B23‌‌‌,1965,SF,160,540,93,149,17,4,39,92,88,118,0,4,.276,.381,.539,.920
23BobbyB BondsBondsRF23‌‌‌,1973,SF,160,643,131,182,34,4,39,96,87,148,43,17,.283,.370,.530,.900
26MattM WilliamsWilliams3B26‌‌‌,1993,SF,145,579,105,170,33,4,38,110,27,80,1,3,.294,.325,.561,.886
26MelM OttOttRF26‌‌‌,1932,NYG,154,566,119,180,30,8,38,123,100,39,6,--,.318,.424,.601,1.025
26WillieW MaysMaysCF26‌‌‌,1963,SF,157,596,115,187,32,7,38,103,66,83,8,3,.314,.380,.582,.962
29RichR AuriliaAuriliaSS29‌‌‌,2001,SF,156,636,114,206,37,5,37,97,47,83,1,3,.324,.369,.572,.941
29WillieW MaysMaysCF29‌‌‌,1966,SF,152,552,99,159,29,4,37,103,70,81,5,1,.288,.368,.556,.924
29JeffJ KentKent2B29‌‌‌,2002,SF,152,623,102,195,42,2,37,108,52,101,5,1,.313,.368,.565,.933
29BarryB BondsBondsLF29‌‌‌,1998,SF,156,552,120,167,44,7,37,122,130,92,28,12,.303,.438,.609,1.047
29BarryB BondsBondsLF29‌‌‌,1994,SF,112,391,89,122,18,1,37,81,74,43,29,9,.312,.426,.647,1.073
34WillieW McCoveyMcCovey1B34‌‌‌,1968,SF,148,523,81,153,16,4,36,105,72,71,4,2,.293,.378,.545,.923
34WillardW MarshallMarshallRF34‌‌‌,1947,NYG,155,587,102,171,19,6,36,107,67,30,3,--,.291,.366,.528,.894
34WillieW MaysMaysCF34‌‌‌,1956,NYG,152,578,101,171,27,8,36,84,68,65,40,10,.296,.369,.557,.926
34MelM OttOtt3B34‌‌‌,1938,NYG,150,527,116,164,23,6,36,116,118,47,2,--,.311,.442,.583,1.025
34WillieW McCoveyMcCovey1B34‌‌‌,1966,SF,150,502,85,148,26,6,36,96,76,100,2,1,.295,.391,.586,.977
39OrlandoO CepedaCepeda1B39‌‌‌,1962,SF,162,625,105,191,26,1,35,114,37,97,10,4,.306,.347,.518,.865
39KevinK MitchellMitchellLF39‌‌‌,1990,SF,140,524,90,152,24,2,35,93,58,87,4,7,.290,.360,.544,.904
39MelM OttOttRF39‌‌‌,1934,NYG,153,582,119,190,29,10,35,135,85,43,0,--,.326,.415,.591,1.006
39WillieW MaysMaysCF39‌‌‌,1957,NYG,152,585,112,195,26,20,35,97,76,62,38,19,.333,.407,.626,1.033
39WillW ClarkClark1B39‌‌‌,1987,SF,150,529,89,163,29,5,35,91,49,98,5,17,.308,.371,.580,.951
39WalkerW CooperCooperC39‌‌‌,1947,NYG,140,515,79,157,24,8,35,122,24,43,2,--,.305,.339,.586,.925
45OrlandoO CepedaCepeda1B45‌‌‌,1963,SF,156,579,100,183,33,4,34,97,37,70,8,3,.316,.366,.563,.929
45BarryB BondsBondsLF45‌‌‌,1999,SF,102,355,91,93,20,2,34,83,73,62,15,2,.262,.389,.617,1.006
45WillieW MaysMaysCF45‌‌‌,1959,SF,151,575,125,180,43,5,34,104,65,58,27,4,.313,.381,.583,.964
45MattM WilliamsWilliams3B45‌‌‌,1991,SF,157,589,72,158,24,5,34,98,33,128,5,5,.268,.310,.499,.809
49MelM OttOttRF49‌‌‌,1936,NYG,150,534,120,175,28,6,33,135,111,41,6,--,.328,.448,.588,1.036
49MattM WilliamsWilliams3B49‌‌‌,1990,SF,159,617,87,171,27,2,33,122,33,138,7,4,.277,.319,.488,.807
49Jim RayJ HartHart3B49‌‌‌,1966,SF,156,578,88,165,23,4,33,93,48,75,2,5,.285,.342,.510,.852
49JeffJ KentKent2B49‌‌‌,2000,SF,159,587,114,196,41,7,33,125,90,107,12,9,.334,.424,.596,1.020
49BarryB BondsBondsLF49‌‌‌,1995,SF,144,506,109,149,30,7,33,104,120,83,31,10,.294,.431,.577,1.008
49BobbyB BondsBondsRF49‌‌‌,1971,SF,155,619,110,178,32,4,33,102,62,137,26,8,.288,.355,.512,.867
55BobbyB BondsBondsRF55‌‌‌,1969,SF,158,622,120,161,25,6,32,90,81,187,45,4,.259,.351,.473,.824
55BobbyB ThomsonThomson3B55‌‌‌,1951,NYG,148,518,89,152,27,8,32,101,73,57,5,5,.293,.385,.562,.947
57EllisE BurksBurksRF57‌‌‌,1999,SF,120,390,73,110,19,0,31,96,69,86,7,5,.282,.394,.569,.963
57Jim RayJ HartHart3B57‌‌‌,1964,SF,153,566,71,162,15,6,31,81,47,94,5,2,.286,.342,.498,.840
57MelM OttOttRF57‌‌‌,1937,NYG,151,545,99,160,28,2,31,95,102,69,7,--,.294,.408,.523,.931
57WillieW McCoveyMcCovey1B57‌‌‌,1967,SF,135,456,73,126,17,4,31,91,71,110,3,3,.276,.378,.535,.913
57JeffJ KentKent2B57‌‌‌,1998,SF,137,526,94,156,37,3,31,128,48,110,9,4,.297,.359,.555,.914
57OrlandoO CepedaCepeda1B57‌‌‌,1964,SF,142,529,75,161,27,2,31,97,43,83,9,4,.304,.361,.539,.900
57MelM OttOttRF57‌‌‌,1935,NYG,152,593,113,191,33,6,31,114,82,58,7,--,.322,.407,.555,.962
64MelM OttOttRF64‌‌‌,1942,NYG,152,549,118,162,21,0,30,93,109,61,6,--,.295,.415,.497,.912
64SidS GordonGordon3B64‌‌‌,1948,NYG,142,521,100,156,26,4,30,107,74,39,8,--,.299,.390,.537,.927
64DarrellD EvansEvans1B64‌‌‌,1983,SF,142,523,94,145,29,3,30,82,84,81,6,6,.277,.378,.516,.894
67BrandonB BeltBelt1B67‌‌‌,2021,SF,97,325,65,89,14,2,29,59,48,103,3,2,.274,.378,.597,.975
67WillieW MaysMaysCF67‌‌‌,1958,SF,152,600,121,208,33,11,29,96,78,56,31,6,.347,.419,.583,1.002
67DaveD KingmanKingman3B67‌‌‌,1972,SF,135,472,65,106,17,4,29,83,51,140,16,6,.225,.303,.462,.765
67MelM OttOttCF67‌‌‌,1931,NYG,138,497,104,145,23,8,29,115,80,44,10,--,.292,.392,.545,.937
67WillieW McCoveyMcCovey1B67‌‌‌,1973,SF,130,383,52,102,14,3,29,75,105,78,1,0,.266,.420,.546,.966
67WillW ClarkClark1B67‌‌‌,1988,SF,162,575,102,162,31,6,29,109,100,129,9,1,.282,.386,.508,.894
67WillW ClarkClark1B67‌‌‌,1991,SF,148,565,84,170,32,7,29,116,51,91,4,2,.301,.359,.536,.895
67Jim RayJ HartHart3B67‌‌‌,1967,SF,158,578,98,167,26,7,29,99,77,100,1,1,.289,.373,.509,.882
67WillieW MaysMaysCF67‌‌‌,1960,SF,153,595,107,190,29,12,29,103,61,70,25,10,.319,.381,.555,.936
67JeffJ KentKent2B67‌‌‌,1997,SF,155,580,90,145,38,2,29,121,48,133,11,3,.250,.316,.472,.788
67BobbyB ThomsonThomsonCF67‌‌‌,1947,NYG,138,545,105,154,26,5,29,85,40,78,1,--,.283,.336,.508,.844
78BillB TerryTerry1B78‌‌‌,1932,NYG,154,643,124,225,42,11,28,117,32,23,4,--,.350,.382,.580,.962
78BarryB BondsBondsLF78‌‌‌,2007,SF,126,340,75,94,14,0,28,66,132,54,5,0,.276,.480,.565,1.045
78WillieW McCoveyMcCovey1B78‌‌‌,1977,SF,141,478,54,134,21,0,28,86,67,106,3,0,.280,.367,.500,.867
78WillieW MaysMaysCF78‌‌‌,1970,SF,139,478,94,139,15,2,28,83,79,90,5,0,.291,.390,.506,.896
78J.T.J SnowSnow1B78‌‌‌,1997,SF,157,531,81,149,36,1,28,104,96,124,6,4,.281,.387,.510,.897
83TomT HallerHallerC83‌‌‌,1966,SF,142,471,74,113,19,2,27,67,53,74,1,3,.240,.323,.461,.784
83MelM OttOttRF83‌‌‌,1941,NYG,148,525,89,150,29,0,27,90,100,68,5,--,.286,.403,.495,.898
83OrlandoO CepedaCepeda1B83‌‌‌,1959,SF,151,605,92,192,35,4,27,105,33,100,23,9,.317,.355,.522,.877
83MelM OttOttRF83‌‌‌,1939,NYG,125,396,85,122,23,2,27,80,100,50,2,--,.308,.449,.581,1.030
83HunterH PencePenceRF83‌‌‌,2013,SF,162,629,91,178,35,5,27,99,52,115,22,3,.283,.339,.483,.822
83JackJ ClarkClarkRF83‌‌‌,1982,SF,157,563,90,154,30,3,27,103,90,91,6,9,.274,.372,.481,.853
83KevinK MitchellMitchellLF83‌‌‌,1991,SF,113,371,52,95,13,1,27,69,43,57,2,3,.256,.338,.515,.853
83BobbyB ThomsonThomsonCF83‌‌‌,1949,NYG,156,641,99,198,35,9,27,109,44,45,10,--,.309,.355,.518,.873
83MikeM IvieIvie1B83‌‌‌,1979,SF,133,402,58,115,18,3,27,89,47,80,5,1,.286,.359,.547,.906
92JackJ ClarkClarkRF92‌‌‌,1979,SF,143,527,84,144,25,2,26,86,63,95,11,8,.273,.348,.476,.824
92JohnnyJ MizeMize1B92‌‌‌,1942,NYG,142,541,97,165,25,7,26,110,60,39,3,--,.305,.380,.521,.901
92BarryB BondsBondsLF92‌‌‌,2006,SF,130,367,74,99,23,0,26,77,115,51,3,0,.270,.454,.545,.999
92AubreyA HuffHuff1B92‌‌‌,2010,SF,157,569,100,165,35,5,26,86,83,91,7,0,.290,.385,.506,.891
92MelM OttOttRF92‌‌‌,1944,NYG,120,399,91,115,16,4,26,82,90,47,2,--,.288,.423,.544,.967
92HankH ThompsonThompson3B92‌‌‌,1954,NYG,136,448,76,118,18,1,26,86,90,58,3,0,.263,.389,.482,.871
92SidS GordonGordon3B92‌‌‌,1949,NYG,141,489,87,139,26,2,26,90,95,37,1,--,.284,.404,.505,.909
92HankH SauerSauerLF92‌‌‌,1957,NYG,127,378,46,98,14,1,26,76,49,59,1,0,.259,.343,.508,.851
92BobbyB BondsBondsRF92‌‌‌,1970,SF,157,663,134,200,36,10,26,78,77,189,48,10,.302,.375,.504,.879
92BobbyB ThomsonThomsonCF92‌‌‌,1953,NYG,154,608,80,175,22,6,26,106,43,57,4,2,.288,.338,.472,.810
