PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1JimJ ThomeThome1B1‌‌‌,2002,CLE,147,480,101,146,19,2,52,118,122,139,1,2,.304,.445,.677,1.122
2AlbertA BelleBelleLF2‌‌‌,1995,CLE,143,546,121,173,52,1,50,126,73,80,5,2,.317,.401,.690,1.091
3JimJ ThomeThome1B3‌‌‌,2001,CLE,156,526,101,153,26,1,49,124,111,185,0,1,.291,.416,.624,1.040
4AlbertA BelleBelleLF4‌‌‌,1996,CLE,158,602,124,187,38,3,48,148,99,87,11,0,.311,.410,.623,1.033
5MannyM RamirezRamirezRF5‌‌‌,1998,CLE,150,571,108,168,35,2,45,145,76,121,5,3,.294,.377,.599,.976
6MannyM RamirezRamirezRF6‌‌‌,1999,CLE,147,522,131,174,34,3,44,165,96,131,2,4,.333,.442,.663,1.105
7AlA RosenRosen3B7‌‌‌,1953,CLE,155,599,115,201,27,5,43,145,85,48,8,7,.336,.422,.613,1.035
8RockyR ColavitoColavitoRF8‌‌‌,1959,CLE,154,588,90,151,24,0,42,111,71,86,3,3,.257,.337,.512,.849
8HalH TroskyTrosky1B8‌‌‌,1936,CLE,151,629,124,216,45,9,42,162,36,58,6,5,.343,.382,.644,1.026
8TravisT HafnerHafnerDH8‌‌‌,2006,CLE,129,454,100,140,31,1,42,117,100,111,0,0,.308,.439,.659,1.098
11RockyR ColavitoColavitoRF11‌‌‌,1958,CLE,143,489,80,148,26,3,41,113,84,89,0,2,.303,.405,.620,1.025
12JimJ ThomeThome1B12‌‌‌,1997,CLE,147,496,104,142,25,0,40,102,120,146,1,1,.286,.423,.579,1.002
13JoséJ RamírezRamírez3B13‌‌‌,2018,CLE,157,578,110,156,38,4,39,105,106,80,34,6,.270,.387,.552,.939
14MannyM RamirezRamirezRF14‌‌‌,2000,CLE,118,439,92,154,34,2,38,122,86,117,1,1,.351,.457,.697,1.154
14FranciscoF LindorLindorSS14‌‌‌,2018,CLE,158,661,129,183,42,2,38,92,70,107,25,10,.277,.352,.519,.871
14AlbertA BelleBelleLF14‌‌‌,1993,CLE,159,594,93,172,36,3,38,129,76,96,23,12,.290,.370,.552,.922
14JimJ ThomeThome3B14‌‌‌,1996,CLE,151,505,122,157,28,5,38,116,123,141,2,2,.311,.450,.612,1.062
14EdwinE EncarnaciónEncarnaciónDH14‌‌‌,2017,CLE,157,554,96,143,20,1,38,107,104,133,2,0,.258,.377,.504,.881
19JimJ ThomeThome1B19‌‌‌,2000,CLE,158,557,106,150,33,1,37,106,118,171,1,0,.269,.398,.531,.929
19AlA RosenRosen3B19‌‌‌,1950,CLE,155,554,100,159,23,4,37,116,100,72,5,7,.287,.405,.543,.948
21JoséJ RamírezRamírez3B21‌‌‌,2021,CLE,152,552,111,147,32,5,36,103,72,87,27,4,.266,.355,.538,.893
21AlbertA BelleBelleLF21‌‌‌,1994,CLE,106,412,90,147,35,2,36,101,58,71,9,6,.357,.438,.714,1.152
23JuanJ GonzalezGonzalezRF23‌‌‌,2001,CLE,140,532,97,173,34,1,35,140,41,94,1,0,.325,.370,.590,.960
23HalH TroskyTrosky1B23‌‌‌,1934,CLE,154,625,117,206,45,9,35,142,58,49,2,2,.330,.388,.598,.986
23JoeJ CarterCarterCF23‌‌‌,1989,CLE,162,651,84,158,32,4,35,105,39,112,13,5,.243,.292,.465,.757
26CarlosC SantanaSantanaDH26‌‌‌,2016,CLE,158,582,89,151,31,3,34,87,99,99,5,2,.259,.366,.498,.864
26CarlosC SantanaSantana1B26‌‌‌,2019,CLE,158,573,110,161,30,1,34,93,108,108,4,0,.281,.397,.515,.912
26AlbertA BelleBelleDH26‌‌‌,1992,CLE,153,585,81,152,23,1,34,112,52,128,8,2,.260,.320,.477,.797
26MikeM NapoliNapoli1B26‌‌‌,2016,CLE,150,557,92,133,22,1,34,101,78,194,5,1,.239,.335,.465,.800
30TravisT HafnerHafnerDH30‌‌‌,2005,CLE,137,486,94,148,42,0,33,108,79,123,0,0,.305,.408,.595,1.003
30GradyG SizemoreSizemoreCF30‌‌‌,2008,CLE,157,634,101,170,39,5,33,90,98,130,38,5,.268,.374,.502,.876
30AndreA ThorntonThornton1B30‌‌‌,1978,CLE,145,508,97,133,22,4,33,105,93,72,4,7,.262,.377,.516,.893
30CoryC SnyderSnyderRF30‌‌‌,1987,CLE,157,577,74,136,24,2,33,82,31,166,5,1,.236,.273,.456,.729
30FranciscoF LindorLindorSS30‌‌‌,2017,CLE,159,651,99,178,44,4,33,89,60,93,15,3,.273,.337,.505,.842
30JimJ ThomeThome1B30‌‌‌,1999,CLE,146,494,101,137,27,2,33,108,127,171,0,0,.277,.426,.540,.966
30AndreA ThorntonThorntonDH30‌‌‌,1984,CLE,155,587,91,159,26,0,33,99,91,79,6,5,.271,.366,.484,.850
30MannyM RamirezRamirezRF30‌‌‌,1996,CLE,152,550,94,170,45,3,33,112,85,104,8,5,.309,.399,.582,.981
30DavidD JusticeJusticeLF30‌‌‌,1997,CLE,139,495,84,163,31,1,33,101,80,79,3,5,.329,.418,.596,1.014
39FranciscoF LindorLindorSS39‌‌‌,2019,CLE,143,598,101,170,40,2,32,74,46,98,22,5,.284,.335,.518,.853
39HalH TroskyTrosky1B39‌‌‌,1937,CLE,153,601,104,179,36,9,32,128,65,60,3,1,.298,.367,.547,.914
39EdwinE EncarnaciónEncarnaciónDH39‌‌‌,2018,CLE,137,500,74,123,16,1,32,107,63,132,3,0,.246,.336,.474,.810
39MattM WilliamsWilliams3B39‌‌‌,1997,CLE,151,596,86,157,32,3,32,105,34,108,12,4,.263,.307,.488,.795
39JoeJ CarterCarter1B39‌‌‌,1987,CLE,149,588,83,155,27,2,32,106,27,105,31,6,.264,.304,.480,.784
39EllisE BurksBurksDH39‌‌‌,2002,CLE,138,518,92,156,28,0,32,91,44,108,2,3,.301,.362,.541,.903
39LarryL DobyDobyCF39‌‌‌,1952,CLE,140,519,104,143,26,8,32,104,90,111,5,2,.276,.383,.541,.924
39VicV WertzWertz1B39‌‌‌,1956,CLE,136,481,65,127,22,0,32,106,75,87,0,0,.264,.364,.509,.873
39LarryL DobyDobyCF39‌‌‌,1954,CLE,153,577,94,157,18,4,32,126,85,94,3,1,.272,.364,.484,.848
39AndreA ThorntonThorntonDH39‌‌‌,1982,CLE,161,589,90,161,26,1,32,116,109,81,6,7,.273,.386,.484,.870
39JoeJ GordonGordon2B39‌‌‌,1948,CLE,144,550,96,154,21,4,32,124,77,68,5,2,.280,.371,.507,.878
39EarlE AverillAverillCF39‌‌‌,1932,CLE,153,631,116,198,37,14,32,124,75,40,5,8,.314,.392,.569,.961
39EarlE AverillAverillCF39‌‌‌,1931,CLE,155,627,140,209,36,10,32,143,68,38,9,9,.333,.404,.576,.980
39BrookB JacobyJacoby3B39‌‌‌,1987,CLE,155,540,73,162,26,4,32,69,75,73,2,3,.300,.387,.541,.928
53MannyM RamirezRamirezRF53‌‌‌,1995,CLE,137,484,85,149,26,1,31,107,75,112,6,6,.308,.402,.558,.960
53LeonL WagnerWagnerLF53‌‌‌,1964,CLE,163,641,94,162,19,2,31,100,56,121,14,2,.253,.316,.434,.750
53LukeL EasterEaster1B53‌‌‌,1952,CLE,127,437,63,115,10,3,31,97,44,84,1,1,.263,.337,.513,.850
53KenK KeltnerKeltner3B53‌‌‌,1948,CLE,153,558,91,166,24,4,31,119,89,52,2,1,.297,.395,.522,.917
53EarlE AverillAverillCF53‌‌‌,1934,CLE,154,598,128,187,48,6,31,113,99,44,5,3,.313,.414,.569,.983
53RichieR SexsonSexson1B53‌‌‌,1999,CLE,134,479,72,122,17,7,31,116,34,117,3,3,.255,.305,.514,.819
59RockyR ColavitoColavitoRF59‌‌‌,1966,CLE,151,533,68,127,13,0,30,72,76,81,2,1,.238,.336,.432,.768
59FranmilF ReyesReyesDH59‌‌‌,2021,CLE,115,418,57,106,18,2,30,85,43,149,4,1,.254,.324,.522,.846
59JimJ ThomeThome1B59‌‌‌,1998,CLE,123,440,89,129,34,2,30,85,89,141,1,0,.293,.413,.584,.997
62JoséJ RamírezRamírez3B62‌‌‌,2022,CLE,157,601,90,168,44,5,29,126,69,82,20,7,.280,.355,.514,.869
62WoodieW HeldHeldSS62‌‌‌,1959,CLE,143,525,82,132,19,3,29,71,46,118,1,2,.251,.313,.465,.778
62JoeJ GordonGordon2B62‌‌‌,1947,CLE,155,562,89,153,27,6,29,93,62,49,7,3,.272,.346,.496,.842
62LarryL DobyDobyCF62‌‌‌,1953,CLE,149,513,92,135,18,5,29,102,96,121,3,2,.263,.385,.487,.872
62JoeJ CarterCarterRF62‌‌‌,1986,CLE,162,663,108,200,36,9,29,121,32,95,29,7,.302,.335,.514,.849
62JoséJ RamírezRamírez3B62‌‌‌,2017,CLE,152,585,107,186,56,6,29,83,52,69,17,5,.318,.374,.583,.957
68AlA RosenRosen3B68‌‌‌,1952,CLE,148,567,101,171,32,5,28,105,75,54,8,6,.302,.387,.524,.911
68CaseyC BlakeBlake3B68‌‌‌,2004,CLE,152,587,93,159,36,3,28,88,68,139,5,8,.271,.354,.486,.840
68GraigG NettlesNettles3B68‌‌‌,1971,CLE,158,598,78,156,18,1,28,86,82,56,7,4,.261,.350,.435,.785
68AlbertA BelleBelleLF68‌‌‌,1991,CLE,123,461,60,130,31,2,28,95,25,99,3,1,.282,.323,.540,.863
68TravisT HafnerHafnerDH68‌‌‌,2004,CLE,140,482,96,150,41,3,28,109,68,111,3,2,.311,.410,.583,.993
68EllisE BurksBurksDH68‌‌‌,2001,CLE,124,439,83,123,29,1,28,74,62,85,5,1,.280,.369,.542,.911
68GradyG SizemoreSizemoreCF68‌‌‌,2006,CLE,162,655,134,190,53,11,28,76,78,153,22,6,.290,.375,.533,.908
68TravisT FrymanFryman3B68‌‌‌,1998,CLE,146,557,74,160,33,2,28,96,44,125,10,8,.287,.340,.504,.844
68VicV WertzWertz1B68‌‌‌,1957,CLE,144,515,84,145,21,0,28,105,78,88,2,3,.282,.371,.485,.856
68LukeL EasterEaster1B68‌‌‌,1950,CLE,141,540,96,151,20,4,28,107,70,95,0,3,.280,.373,.487,.860
68AndreA ThorntonThornton1B68‌‌‌,1977,CLE,131,433,77,114,20,5,28,70,70,82,3,4,.263,.378,.527,.905
68LeonL WagnerWagnerLF68‌‌‌,1965,CLE,144,517,91,152,18,1,28,79,60,52,12,2,.294,.369,.495,.864
68EarlE AverillAverillCF68‌‌‌,1936,CLE,152,614,136,232,39,15,28,126,65,35,3,3,.378,.438,.627,1.065
81TonyT HortonHorton1B81‌‌‌,1969,CLE,159,625,77,174,25,4,27,93,37,91,3,3,.278,.319,.461,.780
81CarlosC SantanaSantana1B81‌‌‌,2014,CLE,152,541,68,125,25,0,27,85,113,124,5,2,.231,.365,.427,.792
81JoeJ CarterCarterCF81‌‌‌,1988,CLE,157,621,85,168,36,6,27,98,35,82,27,5,.271,.314,.478,.792
81BoogB PowellPowell1B81‌‌‌,1975,CLE,134,435,64,129,18,0,27,86,59,72,1,3,.297,.377,.524,.901
81KenK HarrelsonHarrelsonRF81‌‌‌,1969,CLE,149,519,83,115,13,4,27,84,95,96,17,8,.222,.341,.418,.759
81WillieW KirklandKirklandRF81‌‌‌,1961,CLE,146,525,84,136,22,5,27,95,48,77,7,0,.259,.318,.474,.792
81FredF WhitfieldWhitfield1B81‌‌‌,1966,CLE,137,502,59,121,15,2,27,78,27,76,1,2,.241,.283,.440,.723
81CarlosC SantanaSantanaC81‌‌‌,2011,CLE,155,552,84,132,35,2,27,79,97,133,5,3,.239,.351,.457,.808
81LukeL EasterEaster1B81‌‌‌,1951,CLE,128,486,65,131,12,5,27,103,37,71,0,1,.270,.333,.481,.814
90MannyM RamirezRamirezRF90‌‌‌,1997,CLE,150,561,99,184,40,0,26,88,79,115,2,3,.328,.415,.538,.953
90AndreA ThorntonThornton1B90‌‌‌,1979,CLE,143,515,89,120,31,1,26,93,90,93,5,4,.233,.347,.449,.796
90HalH TroskyTrosky1B90‌‌‌,1935,CLE,154,632,84,171,33,7,26,113,46,60,1,2,.271,.321,.468,.789
90RockyR ColavitoColavitoRF90‌‌‌,1965,CLE,162,592,92,170,25,2,26,108,93,63,1,1,.287,.383,.468,.851
90EdE MorganMorgan1B90‌‌‌,1930,CLE,150,584,122,204,47,11,26,136,62,66,8,4,.349,.413,.601,1.014
90LarryL DobyDobyCF90‌‌‌,1955,CLE,131,491,91,143,17,5,26,75,61,100,2,0,.291,.369,.505,.874
90KenK KeltnerKeltner3B90‌‌‌,1938,CLE,149,576,86,159,31,9,26,113,33,75,4,3,.276,.319,.497,.816
90CoryC SnyderSnyderRF90‌‌‌,1988,CLE,142,511,71,139,24,3,26,75,42,101,5,1,.272,.326,.483,.809
90GraigG NettlesNettles3B90‌‌‌,1970,CLE,157,549,81,129,13,1,26,62,81,77,3,1,.235,.336,.404,.740
90PatP SeereySeereyRF90‌‌‌,1946,CLE,117,404,57,91,17,2,26,62,65,101,2,3,.225,.334,.470,.804
90FredF WhitfieldWhitfield1B90‌‌‌,1965,CLE,132,468,49,137,23,1,26,90,16,42,2,2,.293,.316,.513,.829
101AsdrúbalA CabreraCabreraSS101‌‌‌,2011,CLE,151,604,87,165,32,3,25,92,44,119,17,5,.273,.332,.460,.792
101HalH TroskyTrosky1B101‌‌‌,1939,CLE,122,448,89,150,31,4,25,104,52,28,2,3,.335,.405,.589,.994
101RockyR ColavitoColavitoRF101‌‌‌,1957,CLE,134,461,66,116,26,0,25,84,71,80,1,6,.252,.348,.471,.819
