PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1KenK GriffeyGriffeyCF1‌‌‌,1997,SEA,157,608,125,185,34,3,56,147,76,121,15,4,.304,.382,.646,1.028
1KenK GriffeyGriffeyCF1‌‌‌,1998,SEA,161,633,120,180,33,3,56,146,76,121,20,5,.284,.365,.611,.976
3KenK GriffeyGriffeyCF3‌‌‌,1996,SEA,140,545,125,165,26,2,49,140,78,104,16,1,.303,.392,.628,1.020
4KenK GriffeyGriffeyCF4‌‌‌,1999,SEA,160,606,123,173,26,3,48,134,91,108,24,7,.285,.384,.576,.960
5KenK GriffeyGriffeyCF5‌‌‌,1993,SEA,156,582,113,180,38,3,45,109,96,91,17,9,.309,.408,.617,1.025
6NelsonN CruzCruzRF6‌‌‌,2015,SEA,152,590,90,178,22,1,44,93,59,164,3,2,.302,.369,.566,.935
6JayJ BuhnerBuhnerRF6‌‌‌,1996,SEA,150,564,107,153,29,0,44,138,84,159,0,1,.271,.369,.557,.926
8NelsonN CruzCruzDH8‌‌‌,2016,SEA,155,589,96,169,27,1,43,105,62,159,2,0,.287,.360,.555,.915
9AlexA RodriguezRodriguezSS9‌‌‌,1999,SEA,129,502,110,143,25,0,42,111,56,109,21,7,.285,.357,.586,.943
9AlexA RodriguezRodriguezSS9‌‌‌,1998,SEA,161,686,123,213,35,5,42,124,45,121,46,13,.310,.360,.560,.920
11AlexA RodriguezRodriguezSS11‌‌‌,2000,SEA,148,554,134,175,34,2,41,132,100,121,15,4,.316,.420,.606,1.026
12JayJ BuhnerBuhnerRF12‌‌‌,1997,SEA,157,540,104,131,18,2,40,109,119,175,0,0,.243,.383,.506,.889
12JayJ BuhnerBuhnerRF12‌‌‌,1995,SEA,126,470,86,123,23,0,40,121,60,120,0,1,.262,.343,.566,.909
12KenK GriffeyGriffeyCF12‌‌‌,1994,SEA,111,433,94,140,24,4,40,90,56,73,11,3,.323,.402,.674,1.076
