0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1GiancarloG StantonStantonRF1‌‌‌,2017,MIA,159,597,123,168,32,0,59,132,85,163,2,2,.281,.376,.631,1.007
2GaryG SheffieldSheffieldRF2‌‌‌,1996,FLA,161,519,118,163,33,1,42,120,142,66,16,9,.314,.465,.624,1.089
3GiancarloG StantonStantonRF3‌‌‌,2014,MIA,145,539,89,155,31,1,37,105,94,170,13,1,.288,.395,.555,.950
3MarcellM OzunaOzunaLF3‌‌‌,2017,MIA,159,613,93,191,30,2,37,124,64,144,1,3,.312,.376,.548,.924
3GiancarloG StantonStantonRF3‌‌‌,2012,MIA,123,449,75,130,30,1,37,86,46,143,6,2,.290,.361,.608,.969
6JorgeJ SolerSolerDH6‌‌‌,2023,MIA,137,504,77,126,24,0,36,75,66,141,1,0,.250,.341,.512,.853
7GiancarloG StantonStantonRF7‌‌‌,2011,FLA,150,516,79,135,30,5,34,87,70,166,5,5,.262,.356,.537,.893
7MiguelM CabreraCabrera3B7‌‌‌,2007,FLA,157,588,91,188,38,2,34,119,79,127,2,1,.320,.401,.565,.966
9CarlosC DelgadoDelgado1B9‌‌‌,2005,FLA,144,521,81,157,41,3,33,115,72,121,0,0,.301,.399,.582,.981
9MiguelM CabreraCabreraLF9‌‌‌,2005,FLA,158,613,106,198,43,2,33,116,64,125,1,0,.323,.385,.561,.946
9DanD UgglaUggla2B9‌‌‌,2010,FLA,159,589,100,169,31,0,33,105,78,149,4,1,.287,.369,.508,.877
9HanleyH RamirezRamirezSS9‌‌‌,2008,FLA,153,589,125,177,34,4,33,67,92,122,35,12,.301,.400,.540,.940
9MiguelM CabreraCabreraRF9‌‌‌,2004,FLA,160,603,101,177,31,1,33,112,68,148,5,2,.294,.366,.512,.878
14MikeM LowellLowell3B14‌‌‌,2003,FLA,130,492,76,136,27,1,32,105,56,78,3,1,.276,.350,.530,.880
14DanD UgglaUggla2B14‌‌‌,2008,FLA,146,531,97,138,37,1,32,92,77,171,5,5,.260,.360,.514,.874
14MikeM JacobsJacobs1B14‌‌‌,2008,FLA,141,477,67,118,27,2,32,93,36,119,1,0,.247,.299,.514,.813
17DanD UgglaUggla2B17‌‌‌,2009,FLA,158,564,84,137,27,1,31,90,92,150,2,1,.243,.354,.459,.813
17DanD UgglaUggla2B17‌‌‌,2007,FLA,159,632,113,155,49,3,31,88,68,167,2,1,.245,.326,.479,.805
17CliffC FloydFloydLF17‌‌‌,2001,FLA,149,555,123,176,44,4,31,103,59,101,18,3,.317,.390,.578,.968
17DerrekD LeeLee1B17‌‌‌,2003,FLA,155,539,91,146,31,2,31,92,88,131,21,8,.271,.379,.508,.887
17PrestonP WilsonWilsonCF17‌‌‌,2000,FLA,161,605,94,160,35,3,31,121,55,187,36,14,.264,.331,.486,.817
22JorgeJ CantuCantu3B22‌‌‌,2008,FLA,155,628,92,174,41,0,29,95,40,111,6,2,.277,.327,.481,.808
22HanleyH RamirezRamirezSS22‌‌‌,2007,FLA,154,639,125,212,48,6,29,81,52,95,51,14,.332,.386,.562,.948
24DerrekD LeeLee1B24‌‌‌,2000,FLA,158,477,70,134,18,3,28,70,63,123,0,3,.281,.368,.507,.875
25GiancarloG StantonStantonRF25‌‌‌,2015,MIA,74,279,47,74,12,1,27,67,34,95,4,2,.265,.346,.606,.952
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
25MikeM LowellLowell3B25‌‌‌,2004,FLA,158,598,87,175,44,1,27,85,64,77,5,1,.293,.365,.505,.870
25DerrekD LeeLee1B25‌‌‌,2002,FLA,162,581,95,157,35,7,27,86,98,164,19,9,.270,.378,.494,.872
25GaryG SheffieldSheffieldRF25‌‌‌,1994,FLA,87,322,61,89,16,1,27,78,51,50,12,6,.276,.380,.584,.964
25DanD UgglaUggla2B25‌‌‌,2006,FLA,154,611,105,172,26,7,27,90,48,123,6,6,.282,.339,.480,.819
25GiancarloG StantonStantonRF25‌‌‌,2016,MIA,119,413,56,99,20,1,27,74,50,140,0,0,.240,.326,.489,.815
