PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1PeteP AlonsoAlonso1B1‌‌‌,2019,NYM,161,597,103,155,30,2,53,120,72,183,1,0,.260,.358,.583,.941
2PeteP AlonsoAlonso1B2‌‌‌,2023,NYM,154,568,92,123,21,2,46,118,65,151,4,1,.217,.318,.504,.822
3ToddT HundleyHundleyC3‌‌‌,1996,NYM,153,540,85,140,32,1,41,112,79,146,1,3,.259,.356,.550,.906
3CarlosC BeltránBeltránCF3‌‌‌,2006,NYM,140,510,127,140,38,1,41,116,95,99,18,3,.275,.388,.594,.982
5MikeM PiazzaPiazzaC5‌‌‌,1999,NYM,141,534,100,162,25,0,40,124,51,70,2,2,.303,.361,.575,.936
5PeteP AlonsoAlonso1B5‌‌‌,2022,NYM,160,597,95,162,27,0,40,131,67,128,5,1,.271,.352,.518,.870
7DarrylD StrawberryStrawberryRF7‌‌‌,1988,NYM,153,543,101,146,27,3,39,101,85,127,29,14,.269,.366,.545,.911
7DarrylD StrawberryStrawberryRF7‌‌‌,1987,NYM,154,532,108,151,32,5,39,104,97,122,36,12,.284,.398,.583,.981
9MikeM PiazzaPiazzaC9‌‌‌,2000,NYM,136,482,90,156,26,0,38,113,58,69,4,2,.324,.398,.614,1.012
9CarlosC DelgadoDelgado1B9‌‌‌,2008,NYM,159,598,96,162,32,1,38,115,72,124,1,1,.271,.353,.518,.871
9HowardH JohnsonJohnson3B9‌‌‌,1991,NYM,156,564,108,146,34,4,38,117,78,120,30,16,.259,.342,.535,.877
9CarlosC DelgadoDelgado1B9‌‌‌,2006,NYM,144,524,89,139,30,2,38,114,74,120,0,0,.265,.361,.548,.909
13PeteP AlonsoAlonso1B13‌‌‌,2021,NYM,152,561,81,147,27,3,37,94,60,127,3,0,.262,.344,.519,.863
13DarrylD StrawberryStrawberryRF13‌‌‌,1990,NYM,152,542,92,150,18,1,37,108,70,110,15,8,.277,.361,.518,.879
13DaveD KingmanKingman1B13‌‌‌,1982,NYM,149,535,80,109,9,1,37,99,59,156,4,0,.204,.285,.432,.717
13DaveD KingmanKingmanRF13‌‌‌,1976,NYM,123,474,70,113,14,1,37,86,28,135,7,4,.238,.286,.506,.792
17DaveD KingmanKingmanLF17‌‌‌,1975,NYM,134,502,65,116,22,1,36,88,34,153,7,5,.231,.284,.494,.778
17MikeM PiazzaPiazzaC17‌‌‌,2001,NYM,141,503,81,151,29,0,36,94,67,87,0,2,.300,.384,.573,.957
17HowardH JohnsonJohnson3B17‌‌‌,1987,NYM,157,554,93,147,22,1,36,99,83,113,32,10,.265,.364,.504,.868
17HowardH JohnsonJohnson3B17‌‌‌,1989,NYM,153,571,104,164,41,3,36,101,77,126,41,8,.287,.369,.559,.928
21CliffC FloydFloydLF21‌‌‌,2005,NYM,150,550,85,150,22,2,34,98,63,98,12,2,.273,.358,.505,.863
21FrankF ThomasThomasLF21‌‌‌,1962,NYM,156,571,69,152,23,3,34,94,48,95,2,1,.266,.329,.496,.825
21BobbyB BonillaBonillaRF21‌‌‌,1993,NYM,139,502,81,133,21,3,34,87,72,96,3,3,.265,.352,.522,.874
24MichaelM ConfortoConfortoRF24‌‌‌,2019,NYM,151,549,90,141,29,1,33,92,84,149,7,2,.257,.363,.494,.857
24CarlosC BeltránBeltránCF24‌‌‌,2007,NYM,144,554,93,153,33,3,33,112,69,111,23,2,.276,.353,.525,.878
24DavidD WrightWright3B24‌‌‌,2008,NYM,160,626,115,189,42,2,33,124,94,118,15,5,.302,.390,.534,.924
24MikeM PiazzaPiazzaC24‌‌‌,2002,NYM,135,478,69,134,23,2,33,98,57,82,0,3,.280,.359,.544,.903
28RobinR VenturaVentura3B28‌‌‌,1999,NYM,161,588,88,177,38,0,32,120,74,109,1,1,.301,.379,.529,.908
28GaryG CarterCarterC28‌‌‌,1985,NYM,149,555,83,156,17,1,32,100,69,46,1,1,.281,.365,.488,.853
28IkeI DavisDavis1B28‌‌‌,2012,NYM,156,519,66,118,26,0,32,90,61,141,0,2,.227,.308,.462,.770
31FranciscoF LindorLindorSS31‌‌‌,2023,NYM,160,602,108,153,33,2,31,98,66,137,31,4,.254,.336,.470,.806
31YoenisY CespedesCespedesLF31‌‌‌,2016,NYM,132,479,72,134,25,1,31,86,51,108,3,1,.280,.354,.530,.884
33ToddT HundleyHundleyC33‌‌‌,1997,NYM,132,417,78,114,21,2,30,86,83,116,2,3,.273,.394,.549,.943
33DavidD WrightWright3B33‌‌‌,2007,NYM,160,604,113,196,42,1,30,107,94,115,34,5,.325,.416,.546,.962
33LucasL DudaDuda1B33‌‌‌,2014,NYM,153,514,74,130,27,0,30,92,69,135,3,2,.253,.349,.481,.830
33MikeM CameronCameronCF33‌‌‌,2004,NYM,140,493,76,114,30,1,30,76,57,143,22,6,.231,.319,.479,.798
