0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1AlfonsoA SorianoSorianoLF1‌‌‌,2006,WSH,159,647,119,179,41,2,46,95,67,160,41,17,.277,.351,.560,.911
2VladimirV GuerreroGuerreroRF2‌‌‌,2000,MON,154,571,101,197,28,11,44,123,58,74,9,10,.345,.410,.664,1.074
3VladimirV GuerreroGuerreroRF3‌‌‌,1999,MON,160,610,102,193,37,5,42,131,55,62,14,7,.316,.378,.600,.978
3BryceB HarperHarperRF3‌‌‌,2015,WSH,153,521,118,172,38,1,42,99,124,131,6,4,.330,.460,.649,1.109
5VladimirV GuerreroGuerreroRF5‌‌‌,2002,MON,161,614,106,206,37,2,39,111,84,70,40,20,.336,.417,.593,1.010
6AdamA DunnDunn1B6‌‌‌,2009,WSH,159,546,81,146,29,0,38,105,116,177,0,1,.267,.398,.529,.927
6AdamA DunnDunn1B6‌‌‌,2010,WSH,158,558,85,145,36,2,38,103,77,199,0,1,.260,.356,.536,.892
6VladimirV GuerreroGuerreroRF6‌‌‌,1998,MON,159,623,108,202,37,7,38,109,42,95,11,9,.324,.371,.589,.960
9HenryH RodriguezRodriguezLF9‌‌‌,1996,MON,145,532,81,147,42,1,36,103,37,160,2,0,.276,.325,.562,.887
9RyanR ZimmermanZimmerman1B9‌‌‌,2017,WSH,144,524,90,159,33,0,36,108,44,126,1,0,.303,.358,.573,.931
11JuanJ SotoSotoLF11‌‌‌,2019,WSH,150,542,110,153,32,5,34,110,108,132,12,1,.282,.401,.548,.949
11BryceB HarperHarperRF11‌‌‌,2018,WSH,159,550,103,137,34,0,34,100,130,169,13,3,.249,.393,.496,.889
11VladimirV GuerreroGuerreroRF11‌‌‌,2001,MON,159,599,107,184,45,4,34,108,60,88,37,16,.307,.377,.566,.943
11AnthonyA RendonRendon3B11‌‌‌,2019,WSH,146,545,117,174,44,3,34,126,80,86,5,1,.319,.412,.598,1.010
15AdamA LaRocheLaRoche1B15‌‌‌,2012,WSH,154,571,76,155,35,1,33,100,67,138,1,1,.271,.343,.510,.853
15RyanR ZimmermanZimmerman3B15‌‌‌,2009,WSH,157,610,110,178,37,3,33,106,72,119,2,0,.292,.364,.525,.889
17AndreA DawsonDawsonCF17‌‌‌,1983,MON,159,633,104,189,36,10,32,113,38,81,25,11,.299,.338,.539,.877
17BradB WilkersonWilkerson1B17‌‌‌,2004,MON,160,572,112,146,39,2,32,67,106,152,13,6,.255,.374,.498,.872
17TonyT BatistaBatista3B17‌‌‌,2004,MON,157,606,76,146,30,2,32,110,26,78,14,6,.241,.272,.455,.727
20MichaelM MorseMorse1B20‌‌‌,2011,WSH,146,522,73,158,36,0,31,95,36,126,2,3,.303,.360,.550,.910
20GaryG CarterCarterC20‌‌‌,1977,MON,154,522,86,148,29,2,31,84,58,103,5,5,.284,.356,.525,.881
22RustyR StaubStaubRF22‌‌‌,1970,MON,160,569,98,156,23,7,30,94,112,93,12,11,.274,.394,.497,.891
22LarryL ParrishParrish3B22‌‌‌,1979,MON,153,544,83,167,39,2,30,82,41,101,5,1,.307,.357,.551,.908
24AndresA GalarragaGalarraga1B24‌‌‌,1988,MON,157,609,99,184,42,8,29,92,39,153,13,4,.302,.352,.540,.892
24RustyR StaubStaubRF24‌‌‌,1969,MON,158,549,89,166,26,5,29,79,110,61,3,4,.302,.426,.526,.952
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
24GaryG CarterCarterC24‌‌‌,1982,MON,154,557,91,163,32,1,29,97,78,64,2,5,.293,.381,.510,.891
24JuanJ SotoSotoRF24‌‌‌,2021,WSH,151,502,111,157,20,2,29,95,145,93,9,7,.313,.465,.534,.999
24GaryG CarterCarterC24‌‌‌,1980,MON,154,549,76,145,25,5,29,101,58,78,3,2,.264,.331,.486,.817
24BryceB HarperHarperRF24‌‌‌,2017,WSH,111,420,95,134,27,1,29,87,68,99,4,2,.319,.413,.595,1.008
30TimT WallachWallach3B30‌‌‌,1982,MON,158,596,89,160,31,3,28,97,36,81,6,4,.268,.313,.471,.784
30BobB BaileyBailey3B30‌‌‌,1970,MON,131,352,77,101,19,3,28,84,72,70,5,3,.287,.407,.597,1.004
30LaneL ThomasThomasRF30‌‌‌,2023,WSH,157,628,101,168,36,3,28,86,36,176,20,5,.268,.315,.468,.783
30RondellR WhiteWhiteCF30‌‌‌,1997,MON,151,592,84,160,29,5,28,82,31,111,16,8,.270,.316,.478,.794
34GaryG CarterCarterC34‌‌‌,1984,MON,159,596,75,175,32,1,27,106,64,57,2,2,.294,.366,.487,.853
34JoshJ BellBell1B34‌‌‌,2021,WSH,144,498,75,130,24,1,27,88,65,101,0,0,.261,.347,.476,.823
36TimT WallachWallach3B36‌‌‌,1987,MON,153,593,89,177,42,4,26,123,37,98,9,5,.298,.343,.514,.857
36RyanR ZimmermanZimmerman3B36‌‌‌,2013,WSH,147,568,84,156,26,2,26,79,60,133,6,0,.275,.344,.465,.809
36AdamA LaRocheLaRoche1B36‌‌‌,2014,WSH,140,494,73,128,19,0,26,92,82,108,3,0,.259,.362,.455,.817
36BobB BaileyBailey3B36‌‌‌,1973,MON,151,513,77,140,25,4,26,86,88,99,5,8,.273,.379,.489,.868
36HenryH RodriguezRodriguezLF36‌‌‌,1997,MON,132,476,55,116,28,3,26,83,42,149,3,3,.244,.306,.479,.785
41IanI DesmondDesmondSS41‌‌‌,2012,WSH,130,513,72,150,33,2,25,73,30,113,21,6,.292,.335,.511,.846
41DanielD MurphyMurphy2B41‌‌‌,2016,WSH,142,531,88,184,47,5,25,104,35,57,5,3,.347,.390,.595,.985
41JaysonJ WerthWerthRF41‌‌‌,2013,WSH,129,462,84,147,24,0,25,82,60,101,10,1,.318,.398,.532,.930
41AndreA DawsonDawsonCF41‌‌‌,1979,MON,155,639,90,176,24,12,25,92,27,115,35,10,.275,.309,.468,.777
41KyleK SchwarberSchwarberLF41‌‌‌,2021,WSH,72,265,42,67,9,0,25,53,31,88,1,1,.253,.340,.570,.910
41AnthonyA RendonRendon3B41‌‌‌,2017,WSH,147,508,81,153,41,1,25,100,84,82,7,2,.301,.403,.533,.936
41ShaneS AndrewsAndrews3B41‌‌‌,1998,MON,150,492,48,117,30,1,25,69,58,137,1,6,.238,.314,.455,.769
41RyanR ZimmermanZimmerman3B41‌‌‌,2012,WSH,145,578,93,163,36,1,25,95,57,116,5,2,.282,.346,.478,.824
41AndreA DawsonDawsonCF41‌‌‌,1978,MON,157,609,84,154,24,8,25,72,30,128,28,11,.253,.299,.442,.741
41LeeL StevensStevens1B41‌‌‌,2001,MON,152,542,77,133,35,1,25,95,74,157,2,1,.245,.338,.452,.790
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
41EllisE ValentineValentineRF41‌‌‌,1978,MON,151,570,75,165,35,2,25,76,35,88,13,8,.289,.330,.489,.819
41RyanR ZimmermanZimmerman3B41‌‌‌,2010,WSH,142,525,85,161,32,0,25,85,69,98,4,1,.307,.388,.510,.898
41EllisE ValentineValentineRF41‌‌‌,1977,MON,127,508,63,149,28,2,25,76,30,58,13,5,.293,.331,.504,.835
41VladimirV GuerreroGuerreroRF41‌‌‌,2003,MON,112,394,71,130,20,3,25,79,63,53,9,5,.330,.426,.586,1.012
55JoshJ WillinghamWillinghamLF55‌‌‌,2009,WSH,133,427,70,111,29,0,24,61,61,104,4,3,.260,.367,.496,.863
