PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1ChrisC DavisDavis1B1‌‌‌,2013,BAL,160,584,103,167,42,1,53,138,72,199,4,1,.286,.370,.634,1.004
2BradyB AndersonAndersonCF2‌‌‌,1996,BAL,149,579,117,172,37,5,50,110,76,106,21,8,.297,.396,.637,1.033
3FrankF RobinsonRobinsonRF3‌‌‌,1966,BAL,155,576,122,182,34,2,49,122,87,90,8,5,.316,.410,.637,1.047
4MarkM TrumboTrumboRF4‌‌‌,2016,BAL,159,613,94,157,27,1,47,108,51,170,2,0,.256,.316,.533,.849
4ChrisC DavisDavis1B4‌‌‌,2015,BAL,160,573,100,150,31,0,47,117,84,208,2,3,.262,.361,.562,.923
6JimJ GentileGentile1B6‌‌‌,1961,BAL,148,486,96,147,25,2,46,141,96,106,1,1,.302,.423,.646,1.069
7RafaelR PalmeiroPalmeiro1B7‌‌‌,1998,BAL,162,619,98,183,36,1,43,121,79,91,11,7,.296,.379,.565,.944
8NelsonN CruzCruzDH8‌‌‌,2014,BAL,159,613,87,166,32,2,40,108,55,140,4,5,.271,.333,.525,.858
9RafaelR PalmeiroPalmeiro1B9‌‌‌,1995,BAL,143,554,89,172,30,2,39,104,62,65,3,1,.310,.380,.583,.963
9BoogB PowellPowellLF9‌‌‌,1964,BAL,134,424,74,123,17,0,39,99,76,91,0,0,.290,.399,.606,1.005
9KenK WilliamsWilliamsLF9‌‌‌,1922,SLB,153,585,128,194,34,11,39,155,74,31,37,20,.332,.413,.627,1.040
9RafaelR PalmeiroPalmeiro1B9‌‌‌,1996,BAL,162,626,110,181,40,2,39,142,95,96,8,0,.289,.381,.546,.927
13RafaelR PalmeiroPalmeiro1B13‌‌‌,1997,BAL,158,614,95,156,24,2,38,110,67,109,5,2,.254,.329,.485,.814
13ChrisC DavisDavis1B13‌‌‌,2016,BAL,157,566,99,125,21,0,38,84,88,219,1,0,.221,.332,.459,.791
15AlbertA BelleBelleRF15‌‌‌,1999,BAL,161,610,108,181,36,1,37,117,101,82,17,3,.297,.400,.541,.941
15MannyM MachadoMachado3B15‌‌‌,2016,BAL,157,640,105,188,40,1,37,96,48,120,0,3,.294,.343,.533,.876
15MarkM ReynoldsReynolds3B15‌‌‌,2011,BAL,155,534,84,118,27,1,37,86,75,196,6,4,.221,.323,.483,.806
15BoogB PowellPowell1B15‌‌‌,1969,BAL,152,533,83,162,25,0,37,121,72,76,1,1,.304,.383,.559,.942
19BoogB PowellPowell1B19‌‌‌,1970,BAL,154,526,82,156,28,0,35,114,104,80,1,1,.297,.412,.549,.961
19TreyT ManciniManciniRF19‌‌‌,2019,BAL,154,602,106,175,38,2,35,97,63,143,1,0,.291,.364,.535,.899
19MannyM MachadoMachado3B19‌‌‌,2015,BAL,162,633,102,181,30,1,35,86,70,111,20,8,.286,.359,.502,.861
19KenK SingletonSingletonRF19‌‌‌,1979,BAL,159,570,93,168,29,1,35,111,109,118,3,1,.295,.405,.533,.938
23HarlondH CliftClift3B23‌‌‌,1938,SLB,149,534,119,155,25,7,34,118,118,67,10,5,.290,.423,.554,.977
23MiguelM TejadaTejadaSS23‌‌‌,2004,BAL,162,653,107,203,40,2,34,150,48,73,4,1,.311,.360,.534,.894
23CalC Ripken Jr.RipkenSS23‌‌‌,1991,BAL,162,650,99,210,46,5,34,114,53,46,6,1,.323,.374,.566,.940
23BoogB PowellPowell1B23‌‌‌,1966,BAL,140,491,78,141,18,0,34,109,67,125,0,4,.287,.372,.532,.904
27AdamA JonesJonesCF27‌‌‌,2013,BAL,160,653,100,186,35,1,33,108,25,136,14,3,.285,.318,.493,.811
27RyanR MountcastleMountcastle1B27‌‌‌,2021,BAL,144,534,77,136,23,1,33,89,41,161,4,3,.255,.309,.487,.796
27AnthonyA SantanderSantanderRF27‌‌‌,2022,BAL,152,574,78,138,24,0,33,89,55,122,0,2,.240,.318,.455,.773
27MannyM MachadoMachado3B27‌‌‌,2017,BAL,156,630,81,163,33,1,33,95,50,115,9,4,.259,.310,.471,.781
27EddieE MurrayMurray1B27‌‌‌,1983,BAL,156,582,115,178,30,3,33,111,86,90,5,1,.306,.393,.538,.931
27ChrisC DavisDavisDH27‌‌‌,2012,BAL,139,515,75,139,20,0,33,85,37,169,2,3,.270,.326,.501,.827
27JimJ GentileGentile1B27‌‌‌,1962,BAL,152,545,80,137,21,1,33,87,77,100,1,0,.251,.346,.475,.821
34EddieE MurrayMurray1B34‌‌‌,1980,BAL,158,621,100,186,36,2,32,116,54,71,7,2,.300,.354,.519,.873
34JonathanJ SchoopSchoop2B34‌‌‌,2017,BAL,160,622,92,182,35,0,32,105,35,142,1,0,.293,.338,.503,.841
34AdamA JonesJonesCF34‌‌‌,2012,BAL,162,648,103,186,39,3,32,82,34,126,16,7,.287,.334,.505,.839
34AubreyA HuffHuffDH34‌‌‌,2008,BAL,154,598,96,182,48,2,32,108,53,89,4,0,.304,.360,.552,.912
34FrankF RobinsonRobinsonRF34‌‌‌,1969,BAL,148,539,111,166,19,5,32,100,88,62,9,3,.308,.415,.540,.955
34EddieE MurrayMurray1B34‌‌‌,1982,BAL,151,550,87,174,30,1,32,110,70,82,7,2,.316,.391,.549,.940
40RenatoR NúñezNúñezDH40‌‌‌,2019,BAL,151,541,72,132,24,0,31,90,44,143,1,1,.244,.311,.460,.771
40LarryL SheetsSheetsLF40‌‌‌,1987,BAL,135,469,74,148,23,0,31,94,31,67,1,1,.316,.358,.563,.921
40EddieE MurrayMurray1B40‌‌‌,1985,BAL,156,583,111,173,37,1,31,124,84,68,5,2,.297,.383,.523,.906
40TonyT BatistaBatista3B40‌‌‌,2002,BAL,161,615,90,150,36,1,31,87,50,107,5,4,.244,.309,.457,.766
44CedricC MullinsMullinsCF44‌‌‌,2021,BAL,159,602,91,175,37,5,30,59,59,125,30,8,.291,.360,.518,.878
44GusG TriandosTriandosC44‌‌‌,1958,BAL,137,474,59,116,10,0,30,79,60,65,1,0,.245,.327,.456,.783
44J.J.J HardyHardySS44‌‌‌,2011,BAL,129,527,76,142,27,0,30,80,31,92,0,0,.269,.310,.491,.801
44GooseG GoslinGoslinLF44‌‌‌,1930,SLB,101,396,81,129,25,7,30,100,48,35,14,9,.326,.400,.652,1.052
44EddieE MurrayMurray1B44‌‌‌,1987,BAL,160,618,89,171,28,3,30,91,73,80,1,2,.277,.352,.477,.829
44FrankF RobinsonRobinsonRF44‌‌‌,1967,BAL,129,479,83,149,23,7,30,94,71,84,2,3,.311,.403,.576,.979
50AdamA JonesJonesCF50‌‌‌,2014,BAL,159,644,88,181,30,2,29,96,19,133,7,1,.281,.311,.469,.780
50HarlondH CliftClift3B50‌‌‌,1937,SLB,155,571,103,175,36,7,29,118,98,80,8,5,.306,.413,.546,.959
50ChrisC HoilesHoilesC50‌‌‌,1993,BAL,126,419,80,130,28,0,29,82,69,94,1,1,.310,.416,.585,1.001
50EddieE MurrayMurray1B50‌‌‌,1984,BAL,162,588,97,180,26,3,29,110,107,87,10,2,.306,.410,.509,.919
50AdamA JonesJonesCF50‌‌‌,2016,BAL,152,619,86,164,19,0,29,83,39,115,2,0,.265,.310,.436,.746
50KenK WilliamsWilliamsLF50‌‌‌,1923,SLB,147,555,106,198,37,12,29,91,79,32,18,17,.357,.439,.623,1.062
56DougD DeCincesDeCinces3B56‌‌‌,1978,BAL,142,511,72,146,37,1,28,80,46,81,7,7,.286,.346,.526,.872
56FrankF RobinsonRobinsonRF56‌‌‌,1971,BAL,133,455,82,128,16,2,28,99,72,62,3,0,.281,.384,.510,.894
56GunnarG HendersonHenderson3B56‌‌‌,2023,BAL,150,560,100,143,29,9,28,82,56,159,10,3,.255,.325,.489,.814
56EddieE MurrayMurray1B56‌‌‌,1988,BAL,161,603,75,171,27,2,28,84,75,78,5,2,.284,.361,.474,.835
56CalC Ripken Jr.RipkenSS56‌‌‌,1982,BAL,160,598,90,158,32,5,28,93,46,95,3,3,.264,.317,.475,.792
56BobbyB BonillaBonillaRF56‌‌‌,1996,BAL,159,595,107,171,27,5,28,116,75,85,1,3,.287,.363,.491,.854
56AnthonyA SantanderSantanderRF56‌‌‌,2023,BAL,153,591,81,152,41,1,28,95,55,152,5,1,.257,.325,.472,.797
