PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1GregG VaughnVaughnLF1‌‌‌,1998,SD,158,573,112,156,28,4,50,119,79,121,11,4,.272,.363,.597,.960
2FernandoF Tatis Jr.TatisSS2‌‌‌,2021,SD,130,478,99,135,31,0,42,97,62,153,25,4,.282,.364,.611,.975
3PhilP NevinNevin3B3‌‌‌,2001,SD,149,546,97,167,31,0,41,126,71,147,4,4,.306,.388,.588,.976
4AdriánA GonzálezGonzález1B4‌‌‌,2009,SD,160,552,90,153,27,2,40,99,119,109,1,1,.277,.407,.551,.958
4KenK CaminitiCaminiti3B4‌‌‌,1996,SD,146,546,109,178,37,2,40,130,78,99,11,5,.326,.408,.621,1.029
6NateN ColbertColbert1B6‌‌‌,1970,SD,156,572,84,148,17,6,38,86,56,150,3,5,.259,.328,.509,.837
6NateN ColbertColbert1B6‌‌‌,1972,SD,151,563,87,141,27,2,38,111,70,127,15,6,.250,.333,.508,.841
8AdriánA GonzálezGonzález1B8‌‌‌,2008,SD,162,616,103,172,32,1,36,119,74,142,0,0,.279,.361,.510,.871
9JuanJ SotoSotoLF9‌‌‌,2023,SD,162,568,97,156,32,1,35,109,132,129,12,5,.275,.410,.519,.929
9FredF McGriffMcGriff1B9‌‌‌,1992,SD,152,531,79,152,30,4,35,104,96,108,8,6,.286,.394,.556,.950
11PhilP PlantierPlantierLF11‌‌‌,1993,SD,138,462,67,111,20,1,34,100,61,124,4,5,.240,.335,.509,.844
11DaveD WinfieldWinfieldRF11‌‌‌,1979,SD,159,597,97,184,27,10,34,118,85,71,15,9,.308,.395,.558,.953
13GaryG SheffieldSheffield3B13‌‌‌,1992,SD,146,557,87,184,34,3,33,100,48,40,5,6,.330,.385,.580,.965
13HunterH RenfroeRenfroeRF13‌‌‌,2019,SD,140,440,64,95,19,1,33,64,46,154,5,0,.216,.289,.489,.778
15MannyM MachadoMachado3B15‌‌‌,2022,SD,150,578,100,172,37,1,32,102,63,133,9,1,.298,.366,.531,.897
