PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1RyanR HowardHoward1B1‌‌‌,2006,PHI,159,581,104,182,25,1,58,149,108,181,0,0,.313,.425,.659,1.084
2RyanR HowardHoward1B2‌‌‌,2008,PHI,162,610,105,153,26,4,48,146,81,199,1,1,.251,.339,.543,.882
2MikeM SchmidtSchmidt3B2‌‌‌,1980,PHI,150,548,104,157,25,8,48,121,89,119,12,5,.286,.380,.624,1.004
4RyanR HowardHoward1B4‌‌‌,2007,PHI,144,529,94,142,26,0,47,136,107,199,1,0,.268,.392,.584,.976
4KyleK SchwarberSchwarberLF4‌‌‌,2023,PHI,160,585,108,115,19,1,47,104,126,215,0,2,.197,.343,.474,.817
4JimJ ThomeThome1B4‌‌‌,2003,PHI,159,578,111,154,30,3,47,131,111,182,0,3,.266,.385,.573,.958
7KyleK SchwarberSchwarberLF7‌‌‌,2022,PHI,155,577,100,126,21,3,46,94,86,200,10,1,.218,.323,.504,.827
8RyanR HowardHoward1B8‌‌‌,2009,PHI,160,616,105,172,37,4,45,141,75,186,8,1,.279,.360,.571,.931
8MikeM SchmidtSchmidt3B8‌‌‌,1979,PHI,160,541,109,137,25,4,45,114,120,115,9,5,.253,.386,.564,.950
10ChuckC KleinKleinRF10‌‌‌,1929,PHI,149,616,126,219,45,6,43,145,54,61,5,--,.356,.407,.657,1.064
11JimJ ThomeThome1B11‌‌‌,2004,PHI,143,508,97,139,28,1,42,105,104,144,0,2,.274,.396,.581,.977
12CyC WilliamsWilliamsCF12‌‌‌,1923,PHI,136,535,98,157,22,3,41,114,59,57,11,10,.293,.371,.576,.947
13ChuckC KleinKleinRF13‌‌‌,1930,PHI,156,648,158,250,59,8,40,170,54,50,4,--,.386,.436,.687,1.123
13MikeM SchmidtSchmidt3B13‌‌‌,1983,PHI,154,534,104,136,16,4,40,109,128,148,7,8,.255,.399,.524,.923
13DickD AllenAllen3B13‌‌‌,1966,PHI,141,524,112,166,25,10,40,110,68,136,10,6,.317,.396,.632,1.028
16GregG LuzinskiLuzinskiLF16‌‌‌,1977,PHI,149,554,99,171,35,3,39,130,80,140,3,2,.309,.394,.594,.988
17MikeM SchmidtSchmidt3B17‌‌‌,1977,PHI,154,544,114,149,27,11,38,101,104,122,15,8,.274,.393,.574,.967
17MikeM SchmidtSchmidt3B17‌‌‌,1976,PHI,160,584,112,153,31,4,38,107,100,149,14,9,.262,.376,.524,.900
17ChuckC KleinKleinRF17‌‌‌,1932,PHI,154,650,152,226,50,15,38,137,60,49,20,--,.348,.404,.646,1.050
17MikeM SchmidtSchmidt3B17‌‌‌,1975,PHI,158,562,93,140,34,3,38,95,101,180,29,12,.249,.367,.523,.890
21PatP BurrellBurrellLF21‌‌‌,2002,PHI,157,586,96,165,39,2,37,116,89,153,1,0,.282,.376,.544,.920
21MikeM SchmidtSchmidt3B21‌‌‌,1986,PHI,160,552,97,160,29,1,37,119,89,84,1,2,.290,.390,.547,.937
23MikeM SchmidtSchmidt3B23‌‌‌,1984,PHI,151,528,93,146,23,3,36,106,92,116,5,7,.277,.383,.536,.919
23MikeM SchmidtSchmidt3B23‌‌‌,1974,PHI,162,568,108,160,28,7,36,116,106,138,23,11,.282,.395,.546,.941
23JaysonJ WerthWerthRF23‌‌‌,2009,PHI,159,571,98,153,26,1,36,99,91,156,20,3,.268,.373,.506,.879
26BryceB HarperHarperRF26‌‌‌,2019,PHI,157,573,98,149,36,1,35,114,99,178,15,3,.260,.372,.510,.882
26MikeM SchmidtSchmidt3B26‌‌‌,1982,PHI,148,514,108,144,26,3,35,87,107,131,14,7,.280,.403,.547,.950
26MikeM SchmidtSchmidt3B26‌‌‌,1987,PHI,147,522,88,153,28,0,35,113,83,80,2,1,.293,.388,.548,.936
26GregG LuzinskiLuzinskiLF26‌‌‌,1978,PHI,155,540,85,143,32,2,35,101,100,135,8,7,.265,.388,.526,.914
26BryceB HarperHarperRF26‌‌‌,2021,PHI,141,488,101,151,42,1,35,84,100,134,13,3,.309,.429,.615,1.044
31RaulR IbanezIbanezLF31‌‌‌,2009,PHI,134,500,93,136,32,3,34,93,56,119,4,0,.272,.347,.552,.899
31GregG LuzinskiLuzinskiLF31‌‌‌,1975,PHI,161,596,85,179,35,3,34,120,89,151,3,6,.300,.394,.540,.934
31DeronD JohnsonJohnson1B31‌‌‌,1971,PHI,158,582,74,154,29,0,34,95,72,146,0,1,.265,.347,.490,.837
31RhysR HoskinsHoskinsLF31‌‌‌,2018,PHI,153,558,89,137,38,0,34,96,87,150,5,3,.246,.354,.496,.850
35PatP BurrellBurrellLF35‌‌‌,2008,PHI,157,536,74,134,33,3,33,86,102,136,0,0,.250,.367,.507,.874
35MikeM SchmidtSchmidt1B35‌‌‌,1985,PHI,158,549,89,152,31,5,33,93,87,117,1,3,.277,.375,.532,.907
35ChaseC UtleyUtley2B35‌‌‌,2008,PHI,159,607,113,177,41,4,33,104,64,104,14,2,.292,.380,.535,.915
35DickD AllenAllenLF35‌‌‌,1968,PHI,152,521,87,137,17,9,33,90,74,161,7,7,.263,.352,.520,.872
35RyanR HowardHoward1B35‌‌‌,2011,PHI,152,557,81,141,30,1,33,116,75,172,1,0,.253,.346,.488,.834
40StanS LopataLopataC40‌‌‌,1956,PHI,146,535,96,143,33,7,32,95,75,93,5,2,.267,.353,.535,.888
40ChaseC UtleyUtley2B40‌‌‌,2006,PHI,160,658,131,203,40,4,32,102,63,132,15,4,.309,.379,.527,.906
40DickD AllenAllen1B40‌‌‌,1969,PHI,118,438,79,126,23,3,32,89,64,144,9,3,.288,.375,.573,.948
40PatP BurrellBurrellLF40‌‌‌,2005,PHI,154,562,78,158,27,1,32,117,99,160,0,0,.281,.389,.504,.893
40JohnnyJ CallisonCallisonRF40‌‌‌,1965,PHI,160,619,93,162,25,16,32,101,57,117,6,5,.262,.328,.509,.837
40LeftyL O'DoulO'DoulLF40‌‌‌,1929,PHI,154,638,152,254,35,6,32,122,76,19,2,--,.398,.465,.622,1.087
46MikeM LieberthalLieberthalC46‌‌‌,1999,PHI,145,510,84,153,33,1,31,96,44,86,0,0,.300,.363,.551,.914
46ScottS RolenRolen3B46‌‌‌,1998,PHI,160,601,120,174,45,4,31,110,93,141,14,7,.290,.391,.532,.923
46BobbyB AbreuAbreuRF46‌‌‌,2001,PHI,162,588,118,170,48,4,31,110,106,137,36,14,.289,.393,.543,.936
46DelD EnnisEnnisRF46‌‌‌,1950,PHI,153,595,92,185,34,8,31,126,56,59,2,--,.311,.372,.551,.923
46JohnnyJ CallisonCallisonRF46‌‌‌,1964,PHI,162,654,101,179,30,10,31,104,36,95,6,3,.274,.316,.492,.808
46RyanR HowardHoward1B46‌‌‌,2010,PHI,143,550,87,152,23,5,31,108,59,157,1,1,.276,.353,.505,.858
46ChaseC UtleyUtley2B46‌‌‌,2009,PHI,156,571,112,161,28,4,31,93,88,110,23,0,.282,.397,.508,.905
46MikeM SchmidtSchmidt3B46‌‌‌,1981,PHI,102,354,78,112,19,2,31,91,73,71,12,4,.316,.435,.644,1.079
46ChuckC KleinKleinLF46‌‌‌,1931,PHI,148,594,121,200,34,10,31,121,59,49,7,--,.337,.398,.584,.982
46DonD HurstHurst1B46‌‌‌,1929,PHI,154,589,100,179,29,4,31,125,80,36,10,--,.304,.390,.525,.915
56CyC WilliamsWilliamsRF56‌‌‌,1927,PHI,131,492,86,135,18,2,30,98,61,57,0,--,.274,.365,.502,.867
56BenitoB SantiagoSantiagoC56‌‌‌,1996,PHI,136,481,71,127,21,2,30,85,49,104,2,0,.264,.332,.503,.835
56PatP BurrellBurrellLF56‌‌‌,2007,PHI,155,472,77,121,26,0,30,97,114,120,0,0,.256,.400,.502,.902
56BobbyB AbreuAbreuRF56‌‌‌,2004,PHI,159,574,118,173,47,1,30,105,127,116,40,5,.301,.428,.544,.972
56WillieW MontanezMontanezCF56‌‌‌,1971,PHI,158,599,78,153,27,6,30,99,67,105,4,7,.255,.327,.471,.798
56RhysR HoskinsHoskins1B56‌‌‌,2022,PHI,156,589,81,145,33,2,30,79,72,169,2,1,.246,.332,.462,.794
56JimmyJ RollinsRollinsSS56‌‌‌,2007,PHI,162,716,139,212,38,20,30,94,49,85,41,6,.296,.344,.531,.875
56DelD EnnisEnnisRF56‌‌‌,1948,PHI,152,589,86,171,40,4,30,95,47,58,2,--,.290,.345,.525,.870
64GregG LuzinskiLuzinskiLF64‌‌‌,1973,PHI,161,610,76,174,26,4,29,97,51,135,3,3,.285,.346,.484,.830
64DelD EnnisEnnisLF64‌‌‌,1955,PHI,146,564,82,167,24,7,29,120,46,46,4,2,.296,.346,.518,.864
64DonD DemeterDemeter3B64‌‌‌,1962,PHI,153,550,85,169,24,3,29,107,41,93,2,7,.307,.359,.520,.879
64DickD AllenAllen3B64‌‌‌,1964,PHI,162,632,125,201,38,13,29,91,67,138,3,4,.318,.382,.557,.939
64RhysR HoskinsHoskins1B64‌‌‌,2019,PHI,160,570,86,129,33,5,29,85,116,173,2,2,.226,.364,.454,.818
64DelD EnnisEnnisLF64‌‌‌,1953,PHI,152,578,79,165,22,3,29,125,57,53,1,3,.285,.355,.484,.839
64NickN CastellanosCastellanosRF64‌‌‌,2023,PHI,157,626,79,170,37,2,29,106,36,185,11,2,.272,.311,.476,.787
64PatP BurrellBurrellLF64‌‌‌,2006,PHI,144,462,80,119,24,1,29,95,98,131,0,0,.258,.388,.502,.890
72ChaseC UtleyUtley2B72‌‌‌,2005,PHI,147,543,93,158,39,6,28,105,69,109,16,3,.291,.376,.540,.916
72DolphD CamilliCamilli1B72‌‌‌,1936,PHI,150,530,106,167,29,13,28,102,116,84,5,--,.315,.441,.577,1.018
72JuanJ SamuelSamuel2B72‌‌‌,1987,PHI,160,655,113,178,37,15,28,100,60,162,35,15,.272,.335,.502,.837
72ChuckC KleinKleinRF72‌‌‌,1933,PHI,152,606,101,223,44,7,28,120,56,36,15,--,.368,.422,.602,1.024
72DickD StuartStuart1B72‌‌‌,1965,PHI,149,538,53,126,19,1,28,95,39,136,1,0,.234,.287,.429,.716
77JaysonJ WerthWerthRF77‌‌‌,2010,PHI,156,554,106,164,46,2,27,85,82,147,13,3,.296,.388,.532,.920
77DaveD HollinsHollins3B77‌‌‌,1992,PHI,156,586,104,158,28,4,27,93,76,110,9,6,.270,.369,.469,.838
77DarrenD DaultonDaultonC77‌‌‌,1992,PHI,145,485,80,131,32,5,27,109,88,103,11,2,.270,.385,.524,.909
77DomonicD BrownBrownLF77‌‌‌,2013,PHI,139,496,65,135,21,4,27,83,39,97,8,3,.272,.324,.494,.818
77RhysR HoskinsHoskins1B77‌‌‌,2021,PHI,107,389,64,96,29,0,27,71,47,108,3,2,.247,.334,.530,.864
77PatP BurrellBurrellLF77‌‌‌,2001,PHI,155,539,70,139,29,2,27,89,70,162,2,1,.258,.346,.469,.815
77DeronD JohnsonJohnson1B77‌‌‌,1970,PHI,159,574,66,147,28,3,27,93,72,132,0,0,.256,.338,.456,.794
77AndrewA McCutchenMcCutchenLF77‌‌‌,2021,PHI,144,482,78,107,24,1,27,80,81,132,6,1,.222,.334,.444,.778
77AaronA RowandRowandCF77‌‌‌,2007,PHI,161,612,105,189,45,0,27,89,47,119,6,3,.309,.374,.515,.889
77DolphD CamilliCamilli1B77‌‌‌,1937,PHI,131,475,101,161,23,7,27,80,90,82,6,--,.339,.446,.587,1.033
87JohnnyJ CallisonCallisonRF87‌‌‌,1963,PHI,157,626,96,178,36,11,26,78,50,111,8,3,.284,.339,.502,.841
87TreaT TurnerTurnerSS87‌‌‌,2023,PHI,155,639,102,170,35,5,26,76,45,150,30,0,.266,.320,.459,.779
87ScottS RolenRolen3B87‌‌‌,1999,PHI,112,421,74,113,28,1,26,77,67,114,12,2,.268,.368,.525,.893
87ScottS RolenRolen3B87‌‌‌,2000,PHI,128,483,88,144,32,6,26,89,51,99,8,1,.298,.370,.551,.921
87DelD EnnisEnnisLF87‌‌‌,1956,PHI,153,630,80,164,23,3,26,95,33,62,7,3,.260,.299,.430,.729
87VonV HayesHayesRF87‌‌‌,1989,PHI,154,540,93,140,27,2,26,78,101,103,28,7,.259,.376,.461,.837
87CyC WilliamsWilliamsCF87‌‌‌,1922,PHI,151,584,98,180,30,6,26,92,74,49,11,14,.308,.392,.514,.906
94J.T.J RealmutoRealmutoC94‌‌‌,2019,PHI,145,538,92,148,36,3,25,83,41,123,9,1,.275,.328,.493,.821
94MarlonM ByrdByrdRF94‌‌‌,2014,PHI,154,591,71,156,28,2,25,85,35,185,3,2,.264,.312,.445,.757
94DolphD CamilliCamilli1B94‌‌‌,1935,PHI,156,602,88,157,23,5,25,83,65,113,9,--,.261,.336,.440,.776
94BobbyB AbreuAbreuRF94‌‌‌,2000,PHI,154,576,103,182,42,10,25,79,100,116,28,8,.316,.416,.554,.970
94BillB RobinsonRobinsonRF94‌‌‌,1973,PHI,124,452,62,130,32,1,25,65,27,91,5,4,.288,.326,.529,.855
94ScottS RolenRolen3B94‌‌‌,2001,PHI,151,554,96,160,39,1,25,107,74,127,16,5,.289,.378,.498,.876
94DelD EnnisEnnisLF94‌‌‌,1949,PHI,154,610,92,184,39,11,25,110,59,61,2,--,.302,.367,.525,.892
94MaikelM FrancoFranco3B94‌‌‌,2016,PHI,152,581,67,148,23,1,25,88,40,106,1,1,.255,.306,.427,.733
94JimmyJ RollinsRollinsSS94‌‌‌,2006,PHI,158,689,127,191,45,9,25,83,57,80,36,4,.277,.334,.478,.812
94DelD EnnisEnnisLF94‌‌‌,1954,PHI,145,556,73,145,23,2,25,119,50,60,2,1,.261,.318,.444,.762
94WillieW JonesJones3B94‌‌‌,1950,PHI,157,610,100,163,28,6,25,88,61,40,5,--,.267,.337,.456,.793
94RyanR HowardHoward1B94‌‌‌,2016,PHI,112,331,35,65,10,0,25,59,27,114,0,1,.196,.257,.453,.710
