0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1RalphR KinerKinerLF1‌‌‌,1949,PIT,152,549,116,170,19,5,54,127,117,61,6,--,.310,.432,.658,1.090
2RalphR KinerKinerLF2‌‌‌,1947,PIT,152,565,118,177,23,4,51,127,98,81,1,--,.313,.417,.639,1.056
3WillieW StargellStargellLF3‌‌‌,1971,PIT,141,511,104,151,26,0,48,125,83,154,0,0,.295,.398,.628,1.026
4RalphR KinerKinerLF4‌‌‌,1950,PIT,150,547,112,149,21,6,47,118,122,79,2,--,.272,.408,.590,.998
5WillieW StargellStargellLF5‌‌‌,1973,PIT,148,522,106,156,43,3,44,119,80,129,0,0,.299,.392,.646,1.038
6RalphR KinerKinerLF6‌‌‌,1951,PIT,151,531,124,164,31,6,42,109,137,57,2,1,.309,.452,.627,1.079
7RalphR KinerKinerLF7‌‌‌,1948,PIT,156,555,104,147,19,5,40,123,112,61,1,--,.265,.391,.533,.924
8BrianB GilesGilesCF8‌‌‌,1999,PIT,141,521,109,164,33,3,39,115,95,80,6,2,.315,.418,.614,1.032
9BrianB GilesGilesLF9‌‌‌,2002,PIT,153,497,95,148,37,5,38,103,135,74,15,6,.298,.450,.622,1.072
10BrianB GilesGilesLF10‌‌‌,2001,PIT,160,576,116,178,37,7,37,95,90,67,13,6,.309,.404,.590,.994
10RalphR KinerKinerLF10‌‌‌,1952,PIT,149,516,90,126,17,2,37,87,110,77,3,0,.244,.384,.500,.884
10JoshJ BellBell1B10‌‌‌,2019,PIT,143,527,94,146,37,3,37,116,74,118,0,1,.277,.367,.569,.936
13PedroP ÁlvarezÁlvarez3B13‌‌‌,2013,PIT,152,558,70,130,22,2,36,100,48,186,2,0,.233,.296,.473,.769
14BrianB GilesGilesCF14‌‌‌,2000,PIT,156,559,111,176,37,7,35,123,114,69,6,0,.315,.432,.594,1.026
