0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1AlexA RodriguezRodriguezSS1‌‌‌,2002,TEX,162,624,125,187,27,2,57,142,87,122,9,4,.300,.392,.623,1.015
2AlexA RodriguezRodriguezSS2‌‌‌,2001,TEX,162,632,133,201,34,1,52,135,75,131,18,3,.318,.399,.622,1.021
3FrankF HowardHowardLF3‌‌‌,1969,WAS,161,592,111,175,17,2,48,111,102,96,1,0,.296,.402,.574,.976
4JuanJ GonzalezGonzalezRF4‌‌‌,1996,TEX,134,541,89,170,33,2,47,144,45,82,2,0,.314,.368,.643,1.011
4RafaelR PalmeiroPalmeiroDH4‌‌‌,1999,TEX,158,565,96,183,30,1,47,148,97,69,2,4,.324,.420,.630,1.050
4RafaelR PalmeiroPalmeiro1B4‌‌‌,2001,TEX,160,600,98,164,33,0,47,123,101,90,1,1,.273,.381,.563,.944
4AlexA RodriguezRodriguezSS4‌‌‌,2003,TEX,161,607,124,181,30,6,47,118,87,126,17,3,.298,.396,.600,.996
8JuanJ GonzalezGonzalezLF8‌‌‌,1993,TEX,140,536,105,166,33,1,46,118,37,99,4,1,.310,.368,.632,1.000
9JuanJ GonzalezGonzalezRF9‌‌‌,1998,TEX,154,606,110,193,50,2,45,157,46,126,2,1,.318,.366,.630,.996
10FrankF HowardHowardLF10‌‌‌,1968,WAS,158,598,79,164,28,3,44,106,54,141,0,0,.274,.338,.552,.890
10FrankF HowardHowardLF10‌‌‌,1970,WAS,161,566,90,160,15,1,44,126,132,125,1,2,.283,.416,.546,.962
12RafaelR PalmeiroPalmeiro1B12‌‌‌,2002,TEX,155,546,99,149,34,0,43,105,104,94,2,0,.273,.391,.571,.962
12JuanJ GonzalezGonzalezCF12‌‌‌,1992,TEX,155,584,77,152,24,2,43,109,35,143,0,1,.260,.304,.529,.833
12JoshJ HamiltonHamiltonCF12‌‌‌,2012,TEX,148,562,103,160,31,2,43,128,60,162,7,4,.285,.354,.577,.931
12MarkM TeixeiraTeixeira1B12‌‌‌,2005,TEX,162,644,112,194,41,3,43,144,72,124,4,0,.301,.379,.575,.954
16JuanJ GonzalezGonzalezDH16‌‌‌,1997,TEX,133,533,87,158,24,3,42,131,33,107,0,0,.296,.335,.589,.924
17JoeyJ GalloGallo3B17‌‌‌,2017,TEX,145,449,85,94,18,3,41,80,75,196,7,2,.209,.333,.537,.870
18JoeyJ GalloGalloLF18‌‌‌,2018,TEX,148,500,82,103,24,1,40,92,74,207,3,4,.206,.312,.498,.810
19JuanJ GonzalezGonzalezRF19‌‌‌,1999,TEX,144,562,114,183,36,1,39,128,51,105,3,3,.326,.378,.601,.979
