PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1CarlosC PenaPena1B1‌‌‌,2007,TB,148,490,99,138,29,1,46,121,103,142,1,0,.282,.411,.627,1.038
2CarlosC PenaPena1B2‌‌‌,2009,TB,135,471,91,107,25,2,39,100,87,163,3,3,.227,.356,.537,.893
2BrandonB LoweLowe2B2‌‌‌,2021,TB,149,535,97,132,31,0,39,99,68,167,7,1,.247,.340,.523,.863
4LoganL MorrisonMorrison1B4‌‌‌,2017,TB,149,512,75,126,22,1,38,85,81,149,2,0,.246,.353,.516,.869
5EvanE LongoriaLongoria3B5‌‌‌,2016,TB,160,633,81,173,41,4,36,98,42,144,0,3,.273,.318,.521,.839
6AubreyA HuffHuffRF6‌‌‌,2003,TB,162,636,91,198,47,3,34,107,53,80,2,3,.311,.367,.555,.922
6JoseJ CansecoCansecoDH6‌‌‌,1999,TB,113,430,75,120,18,1,34,95,58,135,3,0,.279,.369,.563,.932
8MikeM ZuninoZuninoC8‌‌‌,2021,TB,109,333,64,72,11,2,33,62,34,132,0,0,.216,.301,.559,.860
8AustinA MeadowsMeadowsRF8‌‌‌,2019,TB,138,530,83,154,29,7,33,89,54,131,12,7,.291,.364,.558,.922
8EvanE LongoriaLongoria3B8‌‌‌,2009,TB,157,584,100,164,44,0,33,113,72,140,9,0,.281,.364,.526,.890
11EvanE LongoriaLongoria3B11‌‌‌,2013,TB,160,614,91,165,39,3,32,88,70,162,1,0,.269,.343,.498,.841
11FredF McGriffMcGriff1B11‌‌‌,1999,TB,144,529,75,164,30,1,32,104,86,107,1,0,.310,.405,.552,.957
13CarlosC PenaPena1B13‌‌‌,2008,TB,139,490,76,121,24,2,31,102,96,166,1,1,.247,.377,.494,.871
13EvanE LongoriaLongoria3B13‌‌‌,2011,TB,133,483,78,118,26,1,31,99,80,93,3,2,.244,.355,.495,.850
13IsaacI ParedesParedes3B13‌‌‌,2023,TB,143,492,71,123,24,0,31,98,58,104,1,0,.250,.352,.488,.840
