PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1GeorgeG FosterFosterLF1‌‌‌,1977,CIN,158,615,124,197,31,2,52,149,61,107,6,4,.320,.382,.631,1.013
2TedT KluszewskiKluszewski1B2‌‌‌,1954,CIN,149,573,104,187,28,3,49,141,78,35,0,2,.326,.407,.642,1.049
2EugenioE SuárezSuárez3B2‌‌‌,2019,CIN,159,575,87,156,22,2,49,103,70,189,3,2,.271,.358,.572,.930
4TedT KluszewskiKluszewski1B4‌‌‌,1955,CIN,153,612,116,192,25,0,47,113,66,40,1,1,.314,.382,.585,.967
5AdamA DunnDunnLF5‌‌‌,2004,CIN,161,568,105,151,34,0,46,102,108,195,6,1,.266,.388,.569,.957
6GregG VaughnVaughnLF6‌‌‌,1999,CIN,153,550,104,135,20,2,45,118,85,137,15,2,.245,.347,.535,.882
6JohnnyJ BenchBenchC6‌‌‌,1970,CIN,158,605,97,177,35,4,45,148,54,102,5,2,.293,.345,.587,.932
8GeorgeG FosterFosterLF8‌‌‌,1978,CIN,158,604,97,170,26,7,40,120,70,138,4,4,.281,.360,.546,.906
8KenK GriffeyGriffeyCF8‌‌‌,2000,CIN,145,520,100,141,22,3,40,118,94,117,6,4,.271,.387,.556,.943
8TonyA PerezPerez3B8‌‌‌,1970,CIN,158,587,107,186,28,6,40,129,83,134,8,3,.317,.401,.589,.990
8TedT KluszewskiKluszewski1B8‌‌‌,1953,CIN,149,570,97,180,25,0,40,108,55,34,2,0,.316,.380,.570,.950
8WallyW PostPostRF8‌‌‌,1955,CIN,154,601,116,186,33,3,40,109,60,102,7,4,.309,.372,.574,.946
8AdamA DunnDunnLF8‌‌‌,2006,CIN,160,561,99,131,24,0,40,92,112,194,7,0,.234,.365,.490,.855
8AdamA DunnDunnLF8‌‌‌,2007,CIN,152,522,101,138,27,2,40,106,101,165,9,2,.264,.386,.554,.940
8JohnnyJ BenchBenchC8‌‌‌,1972,CIN,147,538,87,145,22,2,40,125,100,84,6,6,.270,.379,.541,.920
8AdamA DunnDunnLF8‌‌‌,2005,CIN,160,543,107,134,35,2,40,101,114,168,4,2,.247,.387,.540,.927
17FrankF RobinsonRobinsonRF17‌‌‌,1962,CIN,162,609,134,208,51,2,39,136,76,62,18,9,.342,.421,.624,1.045
17LeeL MayMay1B17‌‌‌,1971,CIN,147,553,85,154,17,3,39,98,42,135,3,0,.278,.332,.532,.864
19FrankF RobinsonRobinsonLF19‌‌‌,1956,CIN,152,572,122,166,27,6,38,83,64,95,8,4,.290,.379,.558,.937
19LeeL MayMay1B19‌‌‌,1969,CIN,158,607,85,169,32,3,38,110,45,142,5,4,.278,.331,.529,.860
21FrankF RobinsonRobinsonRF21‌‌‌,1961,CIN,153,545,117,176,32,7,37,124,71,64,22,3,.323,.404,.611,1.015
21EricE DavisDavisCF21‌‌‌,1987,CIN,129,474,120,139,23,4,37,100,84,134,50,6,.293,.399,.593,.992
21TonyA PerezPerez3B21‌‌‌,1969,CIN,160,629,103,185,31,2,37,122,63,131,4,2,.294,.357,.526,.883
21JoeyJ VottoVotto1B21‌‌‌,2010,CIN,150,547,106,177,36,2,37,113,91,125,16,5,.324,.424,.600,1.024
25FrankF RobinsonRobinson1B25‌‌‌,1959,CIN,146,540,106,168,31,4,36,125,69,93,18,8,.311,.391,.583,.974
25JoeyJ VottoVotto1B25‌‌‌,2017,CIN,162,559,106,179,34,1,36,100,134,83,5,1,.320,.454,.578,1.032
25JoeyJ VottoVotto1B25‌‌‌,2021,CIN,129,448,73,119,23,1,36,99,77,127,1,0,.266,.375,.563,.938
25WallyW PostPostRF25‌‌‌,1956,CIN,143,539,94,134,25,3,36,83,37,124,6,0,.249,.301,.506,.807
