PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1DavidD OrtizOrtizDH1‌‌‌,2006,BOS,151,558,115,160,29,2,54,137,119,117,1,0,.287,.413,.636,1.049
2JimmieJ FoxxFoxx1B2‌‌‌,1938,BOS,149,565,139,197,33,9,50,175,119,76,5,4,.349,.462,.704,1.166
3DavidD OrtizOrtizDH3‌‌‌,2005,BOS,159,601,119,180,40,1,47,148,102,124,1,0,.300,.397,.604,1.001
4JimJ RiceRiceLF4‌‌‌,1978,BOS,163,677,121,213,25,15,46,139,58,126,7,5,.315,.370,.600,.970
5MannyM RamirezRamirezLF5‌‌‌,2005,BOS,152,554,112,162,30,1,45,144,80,119,1,0,.292,.388,.594,.982
6MoM VaughnVaughn1B6‌‌‌,1996,BOS,161,635,118,207,29,1,44,143,95,154,2,0,.326,.420,.583,1.003
6CarlC YastrzemskiYastrzemskiLF6‌‌‌,1967,BOS,161,579,112,189,31,4,44,121,91,69,10,8,.326,.418,.622,1.040
8MannyM RamirezRamirezLF8‌‌‌,2004,BOS,152,568,108,175,44,0,43,130,82,124,2,4,.308,.397,.613,1.010
8TonyT ArmasArmasCF8‌‌‌,1984,BOS,157,639,107,171,29,5,43,123,32,156,1,3,.268,.300,.531,.831
8J.D.J MartinezMartinezDH8‌‌‌,2018,BOS,150,569,111,188,37,2,43,130,69,146,6,1,.330,.402,.629,1.031
8TedT WilliamsWilliamsLF8‌‌‌,1949,BOS,155,566,150,194,39,3,43,159,162,48,1,1,.343,.490,.650,1.140
12DickD StuartStuart1B12‌‌‌,1963,BOS,157,612,81,160,25,4,42,118,44,144,0,0,.261,.312,.521,.833
13JimmieJ FoxxFoxx1B13‌‌‌,1936,BOS,155,585,130,198,32,8,41,143,105,119,13,4,.338,.440,.631,1.071
13DavidD OrtizOrtizDH13‌‌‌,2004,BOS,150,582,94,175,47,3,41,139,75,133,0,0,.301,.380,.603,.983
13MannyM RamirezRamirezDH13‌‌‌,2001,BOS,142,529,93,162,33,2,41,125,81,147,0,1,.306,.405,.609,1.014
16CarlC YastrzemskiYastrzemski1B16‌‌‌,1970,BOS,161,566,125,186,29,0,40,102,128,66,23,13,.329,.452,.592,1.044
16RicoR PetrocelliPetrocelliSS16‌‌‌,1969,BOS,154,535,92,159,32,2,40,97,98,68,3,5,.297,.403,.589,.992
16MoM VaughnVaughn1B16‌‌‌,1998,BOS,154,609,107,205,31,2,40,115,61,144,0,0,.337,.402,.591,.993
16CarlC YastrzemskiYastrzemskiLF16‌‌‌,1969,BOS,162,603,96,154,28,2,40,111,101,91,15,7,.255,.362,.507,.869
20JimJ RiceRiceLF20‌‌‌,1983,BOS,155,626,90,191,34,1,39,126,52,102,0,2,.305,.361,.550,.911
20JimJ RiceRiceLF20‌‌‌,1979,BOS,158,619,117,201,39,6,39,130,57,97,9,4,.325,.381,.596,.977
20FredF LynnLynnCF20‌‌‌,1979,BOS,147,531,116,177,42,1,39,122,82,79,2,2,.333,.423,.637,1.060
20MoM VaughnVaughn1B20‌‌‌,1995,BOS,140,550,98,165,28,3,39,126,68,150,11,4,.300,.388,.575,.963
20VernV StephensStephensSS20‌‌‌,1949,BOS,155,610,113,177,31,2,39,159,101,73,2,2,.290,.391,.539,.930
20JimJ RiceRiceDH20‌‌‌,1977,BOS,160,644,104,206,29,15,39,114,53,120,5,4,.320,.376,.593,.969
26TedT WilliamsWilliamsLF26‌‌‌,1957,BOS,132,420,96,163,28,1,38,87,119,43,0,1,.388,.526,.731,1.257
26DavidD OrtizOrtizDH26‌‌‌,2016,BOS,151,537,79,169,48,1,38,127,80,86,2,0,.315,.401,.620,1.021
26TedT WilliamsWilliamsLF26‌‌‌,1946,BOS,150,514,142,176,37,8,38,123,156,44,0,0,.342,.497,.667,1.164
26RafaelR DeversDevers3B26‌‌‌,2021,BOS,156,591,101,165,37,1,38,113,62,143,5,5,.279,.352,.538,.890
30MannyM RamirezRamirezLF30‌‌‌,2003,BOS,154,569,117,185,36,1,37,104,97,94,3,1,.325,.427,.587,1.014
