0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1LarryL WalkerWalkerRF1‌‌‌,1997,COL,153,568,143,208,46,4,49,130,78,90,33,8,.366,.452,.720,1.172
1ToddT HeltonHelton1B1‌‌‌,2001,COL,159,587,132,197,54,2,49,146,98,104,7,5,.336,.432,.685,1.117
3AndresA GalarragaGalarraga1B3‌‌‌,1996,COL,159,626,119,190,39,3,47,150,40,157,18,8,.304,.357,.601,.958
4VinnyV CastillaCastilla3B4‌‌‌,1998,COL,162,645,108,206,28,4,46,144,40,89,5,9,.319,.362,.589,.951
5ToddT HeltonHelton1B5‌‌‌,2000,COL,160,580,138,216,59,2,42,147,103,61,5,3,.372,.463,.698,1.161
5NolanN ArenadoArenado3B5‌‌‌,2015,COL,157,616,97,177,43,4,42,130,34,110,2,5,.287,.323,.575,.898
7AndresA GalarragaGalarraga1B7‌‌‌,1997,COL,154,600,120,191,31,3,41,140,54,141,15,8,.318,.389,.585,.974
7NolanN ArenadoArenado3B7‌‌‌,2016,COL,160,618,116,182,35,6,41,133,68,103,2,3,.294,.362,.570,.932
7NolanN ArenadoArenado3B7‌‌‌,2019,COL,155,588,102,185,31,2,41,118,62,93,3,2,.315,.379,.583,.962
10EllisE BurksBurksLF10‌‌‌,1996,COL,156,613,142,211,45,8,40,128,61,114,32,6,.344,.408,.639,1.047
10CarlosC GonzálezGonzálezRF10‌‌‌,2015,COL,153,554,87,150,25,2,40,97,46,133,2,0,.271,.325,.540,.865
10DanteD BichetteBichetteLF10‌‌‌,1995,COL,139,579,102,197,38,2,40,128,22,96,13,9,.340,.364,.620,.984
10VinnyV CastillaCastilla3B10‌‌‌,1997,COL,159,612,94,186,25,2,40,113,44,108,2,4,.304,.356,.547,.903
10VinnyV CastillaCastilla3B10‌‌‌,1996,COL,160,629,97,191,34,0,40,113,35,88,7,2,.304,.343,.548,.891
15LarryL WalkerWalkerRF15‌‌‌,2001,COL,142,497,107,174,35,3,38,123,82,103,14,5,.350,.449,.662,1.111
15NolanN ArenadoArenado3B15‌‌‌,2018,COL,156,590,104,175,38,2,38,110,73,122,2,2,.297,.374,.561,.935
17CharlieC BlackmonBlackmonCF17‌‌‌,2017,COL,159,644,137,213,35,14,37,104,65,135,14,10,.331,.399,.601,1.000
17LarryL WalkerWalkerRF17‌‌‌,1999,COL,127,438,108,166,26,4,37,115,57,52,11,4,.379,.458,.710,1.168
17NolanN ArenadoArenado3B17‌‌‌,2017,COL,159,606,100,187,43,7,37,130,62,106,3,2,.309,.373,.586,.959
17TrevorT StoryStorySS17‌‌‌,2018,COL,157,598,88,174,42,6,37,108,47,168,27,6,.291,.348,.567,.915
17JeromyJ BurnitzBurnitzRF17‌‌‌,2004,COL,150,540,94,153,30,4,37,110,58,124,5,6,.283,.356,.559,.915
