0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1JorgeJ SolerSolerDH1‌‌‌,2019,KC,162,589,95,156,33,1,48,117,73,178,3,1,.265,.354,.569,.923
1SalvadorS PerezPerezC1‌‌‌,2021,KC,161,620,88,169,24,0,48,121,28,170,1,0,.273,.316,.544,.860
3MikeM MoustakasMoustakas3B3‌‌‌,2017,KC,148,555,75,151,24,0,38,85,34,94,0,0,.272,.314,.521,.835
4SteveS BalboniBalboni1B4‌‌‌,1985,KC,160,600,74,146,28,2,36,88,52,166,1,1,.243,.307,.477,.784
5GaryG GaettiGaetti3B5‌‌‌,1995,KC,137,514,76,134,27,0,35,96,47,91,3,3,.261,.329,.518,.847
6DannyD TartabullTartabullRF6‌‌‌,1987,KC,158,582,95,180,27,3,34,101,79,136,9,4,.309,.390,.541,.931
6DeanD PalmerPalmer3B6‌‌‌,1998,KC,152,572,84,159,27,2,34,119,48,134,8,2,.278,.333,.510,.843
6JohnJ MayberryMayberry1B6‌‌‌,1975,KC,156,554,95,161,38,1,34,106,119,73,5,3,.291,.416,.547,.963
9JermaineJ DyeDyeRF9‌‌‌,2000,KC,157,601,107,193,41,2,33,118,69,99,0,1,.321,.390,.561,.951
10BoB JacksonJacksonLF10‌‌‌,1989,KC,135,515,86,132,15,6,32,105,39,172,26,9,.256,.310,.495,.805
11DannyD TartabullTartabullRF11‌‌‌,1991,KC,132,484,78,153,35,3,31,100,65,121,6,3,.316,.397,.593,.990
12GeorgeG BrettBrett3B12‌‌‌,1985,KC,155,550,108,184,38,5,30,112,103,49,9,1,.335,.436,.585,1.021
12ChiliC DavisDavisDH12‌‌‌,1997,KC,140,477,71,133,20,0,30,90,85,96,6,3,.279,.386,.509,.895
12KendrysK MoralesMoralesDH12‌‌‌,2016,KC,154,558,65,147,24,0,30,93,48,120,0,0,.263,.327,.468,.795
12BobbyB Witt Jr.WittSS12‌‌‌,2023,KC,158,641,97,177,28,11,30,96,40,121,49,15,.276,.319,.495,.814
16MikeM SweeneySweeney1B16‌‌‌,2001,KC,147,559,97,170,46,0,29,99,64,64,10,3,.304,.374,.542,.916
16SteveS BalboniBalboni1B16‌‌‌,1986,KC,138,512,54,117,25,1,29,88,43,146,0,0,.229,.286,.451,.737
16CarlosC BeltránBeltránCF16‌‌‌,2002,KC,162,637,114,174,44,7,29,105,71,135,35,7,.273,.346,.501,.847
16MikeM SweeneySweeney1B16‌‌‌,2000,KC,159,618,105,206,30,0,29,144,71,67,8,3,.333,.407,.523,.930
16BillyB ButlerButlerDH16‌‌‌,2012,KC,161,614,72,192,32,1,29,107,54,111,2,1,.313,.373,.510,.883
21SteveS BalboniBalboni1B21‌‌‌,1984,KC,126,438,58,107,23,2,28,77,45,139,0,0,.244,.320,.498,.818
21JeffJ KingKing1B21‌‌‌,1997,KC,155,543,84,129,30,1,28,112,89,96,16,5,.238,.341,.451,.792
21BoB JacksonJacksonCF21‌‌‌,1990,KC,111,405,74,110,16,1,28,78,44,128,15,9,.272,.342,.523,.865
