PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1HankH GreenbergGreenberg1B1‌‌‌,1938,DET,155,556,144,175,23,4,58,146,119,92,7,5,.315,.438,.683,1.121
2CecilC FielderFielder1B2‌‌‌,1990,DET,159,573,104,159,25,1,51,132,90,182,0,1,.277,.377,.592,.969
3RockyR ColavitoColavitoLF3‌‌‌,1961,DET,163,583,129,169,30,2,45,140,113,75,1,2,.290,.402,.580,.982
4MiguelM CabreraCabrera3B4‌‌‌,2012,DET,161,622,109,205,40,0,44,139,66,98,4,1,.330,.393,.606,.999
4HankH GreenbergGreenberg1B4‌‌‌,1946,DET,142,523,91,145,29,5,44,127,80,88,5,1,.277,.373,.604,.977
4MiguelM CabreraCabrera3B4‌‌‌,2013,DET,148,555,103,193,26,1,44,137,90,94,3,0,.348,.442,.636,1.078
4CecilC FielderFielder1B4‌‌‌,1991,DET,162,624,102,163,25,0,44,133,78,151,0,0,.261,.347,.513,.860
8HankH GreenbergGreenbergLF8‌‌‌,1940,DET,148,573,129,195,50,8,41,150,93,75,6,3,.340,.433,.670,1.103
8NormN CashCash1B8‌‌‌,1961,DET,159,535,119,193,22,8,41,132,124,85,11,5,.361,.487,.662,1.149
10DarrellD EvansEvans1B10‌‌‌,1985,DET,151,505,81,125,17,0,40,94,85,85,0,4,.248,.356,.519,.875
10HankH GreenbergGreenberg1B10‌‌‌,1937,DET,154,594,137,200,49,14,40,183,102,101,8,3,.337,.436,.668,1.104
12NormN CashCash1B12‌‌‌,1962,DET,148,507,94,123,16,2,39,89,104,82,6,3,.243,.382,.513,.895
13MiguelM CabreraCabrera1B13‌‌‌,2016,DET,158,595,92,188,31,1,38,108,75,116,0,0,.316,.393,.563,.956
13DeanD PalmerPalmer3B13‌‌‌,1999,DET,150,560,92,147,25,2,38,100,57,153,3,3,.263,.339,.518,.857
13MiguelM CabreraCabrera1B13‌‌‌,2010,DET,150,548,111,180,45,1,38,126,89,95,3,3,.328,.420,.622,1.042
13J.D.J MartinezMartinezRF13‌‌‌,2015,DET,158,596,93,168,33,2,38,102,53,178,3,2,.282,.344,.535,.879
17RockyR ColavitoColavitoLF17‌‌‌,1962,DET,161,601,90,164,30,2,37,112,96,68,2,0,.273,.371,.514,.885
17MiguelM CabreraCabrera1B17‌‌‌,2008,DET,160,616,85,180,36,2,37,127,56,126,1,0,.292,.349,.537,.886
19WillieW HortonHortonLF19‌‌‌,1968,DET,143,512,68,146,20,2,36,85,49,110,0,3,.285,.352,.543,.895
19HankH GreenbergGreenberg1B19‌‌‌,1935,DET,152,619,121,203,46,16,36,170,87,91,4,3,.328,.411,.628,1.039
21RockyR ColavitoColavitoRF21‌‌‌,1960,DET,145,555,67,138,18,1,35,87,53,80,3,6,.249,.317,.474,.791
21CecilC FielderFielder1B21‌‌‌,1992,DET,155,594,80,145,22,0,35,124,73,151,0,0,.244,.325,.458,.783
21RudyR YorkYorkC21‌‌‌,1937,DET,104,375,72,115,18,3,35,103,41,52,3,2,.307,.375,.651,1.026
24TonyT ClarkClark1B24‌‌‌,1998,DET,157,602,84,175,37,0,34,103,63,128,3,3,.291,.358,.522,.880
