PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1HarmonH KillebrewKillebrew3B1‌‌‌,1969,MIN,162,555,106,153,20,2,49,140,145,84,8,2,.276,.427,.584,1.011
1HarmonH KillebrewKillebrewLF1‌‌‌,1964,MIN,158,577,95,156,11,1,49,111,93,135,0,0,.270,.377,.548,.925
3HarmonH KillebrewKillebrewLF3‌‌‌,1962,MIN,155,552,85,134,21,1,48,126,106,142,1,2,.243,.366,.545,.911
4HarmonH KillebrewKillebrew1B4‌‌‌,1961,MIN,150,541,94,156,20,7,46,122,107,109,1,2,.288,.405,.606,1.011
5HarmonH KillebrewKillebrewLF5‌‌‌,1963,MIN,142,515,88,133,18,0,45,96,72,105,0,0,.258,.349,.555,.904
6HarmonH KillebrewKillebrew1B6‌‌‌,1967,MIN,163,547,105,147,24,1,44,113,131,111,1,0,.269,.408,.558,.966
7RoyR SieversSieversLF7‌‌‌,1957,WAS,152,572,99,172,23,5,42,114,76,55,1,1,.301,.388,.579,.967
7HarmonH KillebrewKillebrew3B7‌‌‌,1959,WAS,153,546,98,132,20,2,42,105,90,116,3,2,.242,.354,.516,.870
7BrianB DozierDozier2B7‌‌‌,2016,MIN,155,615,104,165,35,5,42,99,61,138,18,2,.268,.340,.546,.886
10HarmonH KillebrewKillebrew3B10‌‌‌,1970,MIN,157,527,96,143,20,1,41,113,128,84,0,3,.271,.411,.546,.957
10NelsonN CruzCruzDH10‌‌‌,2019,MIN,120,454,81,141,26,0,41,108,56,131,0,1,.311,.392,.639,1.031
12RoyR SieversSieversLF12‌‌‌,1958,WAS,148,550,85,162,18,1,39,108,53,63,3,1,.295,.357,.544,.901
12HarmonH KillebrewKillebrew3B12‌‌‌,1966,MIN,162,569,89,160,27,1,39,110,103,98,0,2,.281,.391,.538,.929
14JimJ LemonLemonLF14‌‌‌,1960,WAS,148,528,81,142,10,1,38,100,67,114,2,0,.269,.354,.508,.862
15MaxM KeplerKeplerRF15‌‌‌,2019,MIN,134,524,98,132,32,0,36,90,60,99,1,5,.252,.336,.519,.855
16BobB AllisonAllisonRF16‌‌‌,1963,MIN,148,527,99,143,25,4,35,91,90,109,6,1,.271,.378,.533,.911
16JoshJ WillinghamWillinghamLF16‌‌‌,2012,MIN,145,519,85,135,30,1,35,110,76,141,3,2,.260,.366,.524,.890
18KentK HrbekHrbek1B18‌‌‌,1987,MIN,143,477,85,136,20,1,34,90,84,60,5,2,.285,.389,.545,.934
18GaryG GaettiGaetti3B18‌‌‌,1986,MIN,157,596,91,171,34,1,34,108,52,108,14,15,.287,.347,.518,.865
18MiguelM SanóSanó3B18‌‌‌,2019,MIN,105,380,76,94,19,2,34,79,55,159,0,1,.247,.346,.576,.922
18JustinJ MorneauMorneau1B18‌‌‌,2006,MIN,157,592,97,190,37,1,34,130,53,93,3,3,.321,.375,.559,.934
18BrianB DozierDozier2B18‌‌‌,2017,MIN,152,617,106,167,30,4,34,93,78,141,16,7,.271,.359,.498,.857
23JorgeJ PolancoPolanco2B23‌‌‌,2021,MIN,152,588,97,158,35,2,33,98,45,118,11,6,.269,.323,.503,.826
23JimmieJ HallHallCF23‌‌‌,1963,MIN,156,497,88,129,21,5,33,80,63,101,3,3,.260,.342,.521,.863
23JimJ LemonLemonLF23‌‌‌,1959,WAS,147,531,73,148,18,3,33,100,46,99,5,2,.279,.334,.510,.844
26TomT BrunanskyBrunanskyRF26‌‌‌,1987,MIN,155,532,83,138,22,2,32,85,74,104,11,11,.259,.352,.489,.841
26BobB AllisonAllison1B26‌‌‌,1964,MIN,149,492,90,141,27,4,32,86,92,99,10,1,.287,.404,.553,.957
26MichaelM CuddyerCuddyerRF26‌‌‌,2009,MIN,153,588,93,162,34,7,32,94,54,118,6,1,.276,.342,.520,.862
26TonyT OlivaOlivaRF26‌‌‌,1964,MIN,161,672,109,217,43,9,32,94,34,68,12,6,.323,.359,.557,.916
26EddieE RosarioRosarioLF26‌‌‌,2019,MIN,137,562,91,155,28,1,32,109,22,86,3,1,.276,.300,.500,.800
26TomT BrunanskyBrunanskyRF26‌‌‌,1984,MIN,155,567,75,144,21,0,32,85,57,94,4,5,.254,.320,.460,.780
32KirbyK PuckettPuckettCF32‌‌‌,1986,MIN,161,680,119,223,37,6,31,96,34,99,20,12,.328,.366,.537,.903
32JustinJ MorneauMorneau1B32‌‌‌,2007,MIN,157,590,84,160,31,3,31,111,64,91,1,1,.271,.343,.492,.835
32HarmonH KillebrewKillebrew1B32‌‌‌,1960,WAS,124,442,84,122,19,1,31,80,71,106,1,0,.276,.375,.534,.909
32MitchM GarverGarverC32‌‌‌,2019,MIN,93,311,70,85,16,1,31,67,41,87,0,0,.273,.365,.630,.995
32GaryG GaettiGaetti3B32‌‌‌,1987,MIN,154,584,95,150,36,2,31,109,37,92,10,7,.257,.303,.485,.788
32ToriiT HunterHunterCF32‌‌‌,2006,MIN,147,557,86,155,21,2,31,98,45,108,12,6,.278,.336,.490,.826
38JustinJ MorneauMorneau1B38‌‌‌,2009,MIN,135,508,85,139,31,1,30,100,72,86,0,0,.274,.363,.516,.879
38BobB AllisonAllisonCF38‌‌‌,1959,WAS,150,570,83,149,18,9,30,85,60,92,13,8,.261,.333,.482,.815
38MiguelM SanóSanó1B38‌‌‌,2021,MIN,135,470,68,105,24,0,30,75,59,183,2,1,.223,.312,.466,.778
41KentK HrbekHrbek1B41‌‌‌,1986,MIN,149,550,85,147,27,1,29,91,71,81,2,2,.267,.353,.478,.831
41BobB AllisonAllisonRF41‌‌‌,1961,MIN,159,556,83,136,21,3,29,105,103,100,2,7,.245,.363,.450,.813
