PLAYER,YEAR,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1AlbertA BelleBelleLF1‌‌‌,1998,CWS,163,609,113,200,48,2,49,152,81,84,6,4,.328,.399,.655,1.054
2JermaineJ DyeDyeRF2‌‌‌,2006,CWS,146,539,103,170,27,3,44,120,59,118,7,3,.315,.385,.622,1.007
3FrankF ThomasThomasDH3‌‌‌,2000,CWS,159,582,115,191,44,0,43,143,112,94,1,3,.328,.436,.625,1.061
4JimJ ThomeThomeDH4‌‌‌,2006,CWS,143,490,108,141,26,0,42,109,107,147,0,0,.288,.416,.598,1.014
4FrankF ThomasThomasDH4‌‌‌,2003,CWS,153,546,87,146,35,0,42,105,100,115,0,0,.267,.390,.562,.952
6AdamA DunnDunnDH6‌‌‌,2012,CWS,151,539,87,110,19,0,41,96,105,222,2,1,.204,.333,.468,.801
6FrankF ThomasThomas1B6‌‌‌,1993,CWS,153,549,106,174,36,0,41,128,112,54,4,2,.317,.426,.607,1.033
6PaulP KonerkoKonerko1B6‌‌‌,2004,CWS,155,563,84,156,22,0,41,117,69,107,1,0,.277,.359,.535,.894
9ToddT FrazierFrazier3B9‌‌‌,2016,CWS,158,590,89,133,21,0,40,98,64,163,15,5,.225,.302,.464,.766
9FrankF ThomasThomas1B9‌‌‌,1995,CWS,145,493,102,152,27,0,40,111,136,74,3,2,.308,.454,.606,1.060
9PaulP KonerkoKonerko1B9‌‌‌,2005,CWS,158,575,98,163,24,0,40,100,81,109,0,0,.283,.375,.534,.909
9FrankF ThomasThomas1B9‌‌‌,1996,CWS,141,527,110,184,26,0,40,134,109,70,1,1,.349,.459,.626,1.085
13PaulP KonerkoKonerko1B13‌‌‌,2010,CWS,149,548,89,171,30,1,39,111,72,110,0,1,.312,.393,.584,.977
14FrankF ThomasThomas1B14‌‌‌,1994,CWS,113,399,106,141,34,1,38,101,109,61,2,3,.353,.487,.729,1.216
14LuisL Robert Jr.RobertCF14‌‌‌,2023,CWS,145,546,90,144,36,1,38,80,30,172,20,4,.264,.315,.542,.857
14MagglioM OrdonezOrdonezRF14‌‌‌,2002,CWS,153,590,116,189,47,1,38,135,53,77,7,5,.320,.381,.597,.978
17CarltonC FiskFiskC17‌‌‌,1985,CWS,153,543,85,129,23,1,37,107,52,81,17,9,.238,.320,.488,.808
17DickD AllenAllen1B17‌‌‌,1972,CWS,148,506,90,156,28,5,37,113,99,126,19,8,.308,.420,.603,1.023
19JoséJ AbreuAbreu1B19‌‌‌,2014,CWS,145,556,80,176,35,2,36,107,51,131,3,1,.317,.383,.581,.964
19CarlosC QuentinQuentinLF19‌‌‌,2008,CWS,130,480,96,138,26,1,36,100,66,80,7,3,.288,.394,.571,.965
21JimJ ThomeThomeDH21‌‌‌,2007,CWS,130,432,79,119,19,0,35,96,95,134,0,1,.275,.410,.563,.973
21PaulP KonerkoKonerko1B21‌‌‌,2006,CWS,152,566,97,177,30,0,35,113,60,104,1,0,.313,.381,.551,.932
21FrankF ThomasThomas1B21‌‌‌,1997,CWS,146,530,110,184,35,0,35,125,109,69,1,1,.347,.456,.611,1.067
21RonR KittleKittleLF21‌‌‌,1983,CWS,145,520,75,132,19,3,35,100,39,150,8,3,.254,.314,.504,.818
25RobinR VenturaVentura3B25‌‌‌,1996,CWS,158,586,96,168,31,2,34,105,78,81,1,3,.287,.368,.520,.888
25JimJ ThomeThomeDH25‌‌‌,2008,CWS,149,503,93,123,28,0,34,90,91,147,1,0,.245,.362,.503,.865
25AdamA DunnDunnDH25‌‌‌,2013,CWS,149,525,60,115,15,0,34,86,76,189,1,1,.219,.320,.442,.762
25JermaineJ DyeDyeRF25‌‌‌,2008,CWS,154,590,96,172,41,2,34,96,44,104,3,2,.292,.344,.541,.885
29JoséJ AbreuAbreu1B29‌‌‌,2019,CWS,159,634,85,180,38,1,33,123,36,152,2,2,.284,.330,.503,.833
29BillB MeltonMelton3B29‌‌‌,1970,CWS,141,514,74,135,15,1,33,96,56,107,2,4,.263,.340,.488,.828
29BillB MeltonMelton3B29‌‌‌,1971,CWS,150,543,72,146,18,2,33,86,61,87,3,3,.269,.352,.492,.844
29JoséJ AbreuAbreu1B29‌‌‌,2017,CWS,156,621,95,189,43,6,33,102,35,119,3,0,.304,.354,.552,.906
33MagglioM OrdonezOrdonezRF33‌‌‌,2000,CWS,153,588,102,185,34,3,32,126,60,64,18,4,.315,.371,.546,.917
33RonR KittleKittleLF33‌‌‌,1984,CWS,139,466,67,100,15,0,32,74,49,137,3,6,.215,.295,.453,.748
33DickD AllenAllen1B33‌‌‌,1974,CWS,128,462,84,139,23,1,32,88,57,89,7,1,.301,.375,.563,.938
33PaulP KonerkoKonerko1B33‌‌‌,2001,CWS,156,582,92,164,35,0,32,99,54,89,1,0,.282,.349,.507,.856
33GregG LuzinskiLuzinskiDH33‌‌‌,1983,CWS,144,502,73,128,26,1,32,95,70,117,2,1,.255,.352,.502,.854
33FrankF ThomasThomasDH33‌‌‌,1991,CWS,158,559,104,178,31,2,32,109,138,112,1,2,.318,.453,.553,1.006
39PaulP KonerkoKonerko1B39‌‌‌,2011,CWS,149,543,69,163,25,0,31,105,77,89,1,1,.300,.388,.517,.905
39EloyE JiménezJiménezLF39‌‌‌,2019,CWS,122,468,69,125,18,2,31,79,30,134,0,0,.267,.315,.513,.828
39OscarO GambleGambleDH39‌‌‌,1977,CWS,137,408,75,121,22,2,31,83,54,54,1,2,.297,.386,.588,.974
39PaulP KonerkoKonerko1B39‌‌‌,2007,CWS,151,549,71,142,34,0,31,90,78,102,0,1,.259,.351,.490,.841
39MagglioM OrdonezOrdonezRF39‌‌‌,2001,CWS,160,593,97,181,40,1,31,113,70,70,25,7,.305,.382,.533,.915
39JermaineJ DyeDyeRF39‌‌‌,2005,CWS,145,529,74,145,29,2,31,86,39,99,11,4,.274,.333,.512,.845
39CarlosC LeeLeeLF39‌‌‌,2004,CWS,153,591,103,180,37,0,31,99,54,86,11,5,.305,.366,.525,.891
39CarlosC LeeLeeLF39‌‌‌,2003,CWS,158,623,100,181,35,1,31,113,37,91,18,4,.291,.331,.499,.830
47JoeJ CredeCrede3B47‌‌‌,2006,CWS,150,544,76,154,31,0,30,94,28,58,0,2,.283,.323,.506,.829
47JoseJ ValentinValentinSS47‌‌‌,2004,CWS,125,450,73,97,20,3,30,70,43,139,8,6,.216,.287,.473,.760
47MagglioM OrdonezOrdonezRF47‌‌‌,1999,CWS,157,624,100,188,34,3,30,117,47,64,13,6,.301,.349,.510,.859
47AlbertA BelleBelleLF47‌‌‌,1997,CWS,161,634,90,174,45,1,30,116,53,105,4,4,.274,.332,.491,.823
47JoséJ AbreuAbreu1B47‌‌‌,2021,CWS,152,566,86,148,30,2,30,117,61,143,1,0,.261,.351,.481,.832
47RichieR ZiskZiskRF47‌‌‌,1977,CWS,141,531,78,154,17,6,30,101,55,98,0,4,.290,.355,.514,.869
47JoséJ AbreuAbreu1B47‌‌‌,2015,CWS,154,613,88,178,34,3,30,101,39,140,0,0,.290,.347,.502,.849
54FrankF ThomasThomasDH54‌‌‌,1998,CWS,160,585,109,155,35,2,29,109,110,93,7,0,.265,.381,.480,.861
54MagglioM OrdonezOrdonezRF54‌‌‌,2003,CWS,160,606,95,192,46,3,29,99,57,73,9,5,.317,.380,.546,.926
54HaroldH BainesBainesRF54‌‌‌,1984,CWS,147,569,72,173,28,10,29,94,54,75,1,2,.304,.361,.541,.902
54GusG ZernialZernialLF54‌‌‌,1950,CWS,143,543,75,152,16,4,29,93,38,110,0,2,.280,.330,.484,.814
54EddieE RobinsonRobinson1B54‌‌‌,1951,CWS,151,564,85,159,23,5,29,117,77,54,2,5,.282,.371,.495,.866
59PaulP KonerkoKonerko1B59‌‌‌,2009,CWS,152,546,75,151,30,1,28,88,58,89,1,0,.277,.353,.489,.842
59RoyR SieversSievers1B59‌‌‌,1960,CWS,127,444,87,131,22,0,28,93,74,69,1,1,.295,.396,.534,.930
59AlA SmithSmith3B59‌‌‌,1961,CWS,147,532,88,148,29,4,28,93,56,67,4,4,.278,.348,.506,.854
59FrankF ThomasThomasDH59‌‌‌,2002,CWS,148,523,77,132,29,1,28,92,88,115,3,0,.252,.361,.472,.833
59IvanI CalderonCalderonRF59‌‌‌,1987,CWS,144,542,93,159,38,2,28,83,60,109,10,5,.293,.362,.526,.888
59JermaineJ DyeDyeRF59‌‌‌,2007,CWS,138,508,68,129,34,0,28,78,45,107,2,1,.254,.317,.486,.803
59JoseJ ValentinValentinSS59‌‌‌,2003,CWS,144,503,79,119,26,2,28,74,54,114,8,3,.237,.313,.463,.776
59JoseJ ValentinValentin3B59‌‌‌,2001,CWS,124,438,74,113,22,2,28,68,50,114,9,6,.258,.336,.509,.845
67ZekeZ BonuraBonura1B67‌‌‌,1934,CWS,127,510,86,154,35,4,27,110,64,31,0,2,.302,.380,.545,.925
67GregG WalkerWalker1B67‌‌‌,1987,CWS,157,566,85,145,33,2,27,94,75,112,2,1,.256,.346,.465,.811
67DannyD TartabullTartabullRF67‌‌‌,1996,CWS,132,472,58,120,23,3,27,101,64,128,1,2,.254,.340,.487,.827
67JermaineJ DyeDyeRF67‌‌‌,2009,CWS,141,503,78,126,19,1,27,81,64,108,0,2,.250,.340,.453,.793
67DanielD PalkaPalkaDH67‌‌‌,2018,CWS,124,417,56,100,15,3,27,67,30,153,2,1,.240,.294,.484,.778
67PaulP KonerkoKonerko1B67‌‌‌,2002,CWS,151,570,81,173,30,0,27,104,44,72,0,0,.304,.359,.498,.857
67A.J.A PierzynskiPierzynskiC67‌‌‌,2012,CWS,135,479,68,133,18,4,27,77,28,78,0,0,.278,.326,.501,.827
67JoeJ KuhelKuhel1B67‌‌‌,1940,CWS,155,603,111,169,28,8,27,94,87,59,12,5,.280,.374,.488,.862
67RoyR SieversSievers1B67‌‌‌,1961,CWS,141,492,76,145,26,6,27,92,61,62,1,0,.295,.377,.537,.914
76CarltonC FiskFiskC76‌‌‌,1983,CWS,138,488,85,141,26,4,26,86,46,88,9,6,.289,.355,.518,.873
76CarlosC QuentinQuentinRF76‌‌‌,2010,CWS,131,453,73,110,25,2,26,87,50,83,2,2,.243,.342,.479,.821
76RonR KittleKittleLF76‌‌‌,1985,CWS,116,379,51,87,12,0,26,58,31,92,1,4,.230,.295,.467,.762
76MattM DavidsonDavidsonDH76‌‌‌,2017,CWS,118,414,43,91,16,1,26,68,19,165,0,1,.220,.260,.452,.712
76PaulP KonerkoKonerko1B76‌‌‌,2012,CWS,144,533,66,159,22,0,26,75,56,83,0,0,.298,.371,.486,.857
76CarlosC LeeLeeLF76‌‌‌,2002,CWS,140,492,82,130,26,2,26,80,75,73,1,4,.264,.359,.484,.843
76RobinR VenturaVentura3B76‌‌‌,1995,CWS,135,492,79,145,22,0,26,93,75,98,4,3,.295,.384,.498,.882
83JakeJ BurgerBurger3B83‌‌‌,2023,CWS,88,294,44,63,15,1,25,52,22,102,1,1,.214,.279,.527,.806
83HaroldH BainesBainesRF83‌‌‌,1982,CWS,161,608,89,165,29,8,25,105,49,95,10,3,.271,.321,.469,.790
83JoséJ AbreuAbreu1B83‌‌‌,2016,CWS,159,624,67,183,32,1,25,100,47,125,0,2,.293,.353,.468,.821
83GeorgeG BellBellDH83‌‌‌,1992,CWS,155,627,74,160,27,0,25,112,31,97,5,2,.255,.294,.418,.712
83YoánY MoncadaMoncada3B83‌‌‌,2019,CWS,132,511,83,161,34,5,25,79,40,154,10,3,.315,.367,.548,.915
