0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,caret-upcaret-downHRcaret-upcaret-downHR,RBIRBI,BBBB,SOSO,SBSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS
1AaronA JudgeJudgeCF1‌‌‌,2022,NYY,157,570,133,177,28,0,62,131,111,175,16,3,.311,.425,.686,1.111
2RogerR MarisMarisRF2‌‌‌,1961,NYY,161,590,132,159,16,4,61,141,94,67,0,0,.269,.372,.620,.992
3BabeB RuthRuthRF3‌‌‌,1927,NYY,151,540,158,192,29,8,60,164,137,89,7,6,.356,.486,.772,1.258
4BabeB RuthRuthLF4‌‌‌,1921,NYY,152,540,177,204,44,16,59,171,145,81,17,13,.378,.512,.846,1.358
5MickeyM MantleMantleCF5‌‌‌,1961,NYY,153,514,132,163,16,6,54,128,126,112,12,1,.317,.448,.687,1.135
5AlexA RodriguezRodriguez3B5‌‌‌,2007,NYY,158,583,143,183,31,0,54,156,95,120,24,4,.314,.422,.645,1.067
5BabeB RuthRuthRF5‌‌‌,1928,NYY,154,536,163,173,29,8,54,142,137,87,4,5,.323,.463,.709,1.172
5BabeB RuthRuthRF5‌‌‌,1920,NYY,142,458,158,172,36,9,54,137,150,80,14,14,.376,.532,.847,1.379
9AaronA JudgeJudgeRF9‌‌‌,2017,NYY,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049
9MickeyM MantleMantleCF9‌‌‌,1956,NYY,150,533,132,188,22,5,52,130,112,99,10,1,.353,.464,.705,1.169
11BabeB RuthRuthRF11‌‌‌,1930,NYY,145,518,150,186,28,9,49,153,136,61,10,10,.359,.493,.732,1.225
11LouL GehrigGehrig1B11‌‌‌,1934,NYY,154,579,128,210,40,6,49,165,109,31,9,5,.363,.465,.706,1.171
11LouL GehrigGehrig1B11‌‌‌,1936,NYY,155,579,167,205,37,7,49,152,130,46,3,4,.354,.478,.696,1.174
